member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,345.992378950119,0.7294685990338164,0.4105263157894737,1.0,112,0,56,39
True,False,0,345.992378950119,0.6555555555555556,0.2857142857142857,0.9791666666666666,47,1,30,12
False,True,0,865.7402727603912,0.8115942028985508,0.6526315789473685,0.9464285714285714,106,6,33,62
False,False,0,865.7402727603912,0.7222222222222222,0.5238095238095238,0.8958333333333334,43,5,20,22
True,True,169,301.11352610588074,0.8115942028985508,0.6210526315789474,0.9732142857142857,109,3,36,59
True,False,169,301.11352610588074,0.7222222222222222,0.42857142857142855,0.9791666666666666,47,1,24,18
False,True,169,299.79919719696045,0.8357487922705314,0.6736842105263158,0.9732142857142857,109,3,31,64
False,False,169,299.79919719696045,0.7222222222222222,0.4523809523809524,0.9583333333333334,46,2,23,19
True,True,338,356.0669274330139,0.8115942028985508,0.5894736842105263,1.0,112,0,39,56
True,False,338,356.0669274330139,0.6888888888888889,0.4523809523809524,0.8958333333333334,43,5,23,19
False,True,338,709.6739053726196,0.8115942028985508,0.5894736842105263,1.0,112,0,39,56
False,False,338,709.6739053726196,0.6888888888888889,0.4523809523809524,0.8958333333333334,43,5,23,19
True,True,507,339.43061089515686,0.7729468599033816,0.5052631578947369,1.0,112,0,47,48
True,False,507,339.43061089515686,0.7111111111111111,0.4523809523809524,0.9375,45,3,23,19
False,True,507,825.3706154823303,0.7729468599033816,0.5052631578947369,1.0,112,0,47,48
False,False,507,825.3706154823303,0.7111111111111111,0.4523809523809524,0.9375,45,3,23,19
True,True,676,337.98034620285034,0.7971014492753623,0.6947368421052632,0.8839285714285714,99,13,29,66
True,False,676,337.98034620285034,0.7777777777777778,0.6428571428571429,0.8958333333333334,43,5,15,27
False,True,676,611.6581847667694,0.8115942028985508,0.6421052631578947,0.9553571428571429,107,5,34,61
False,False,676,611.6581847667694,0.8,0.6428571428571429,0.9375,45,3,15,27
True,True,845,264.12362813949585,0.8309178743961353,0.6526315789473685,0.9821428571428571,110,2,33,62
True,False,845,264.12362813949585,0.7888888888888889,0.6190476190476191,0.9375,45,3,16,26
False,True,845,479.6754243373871,0.8405797101449275,0.6736842105263158,0.9821428571428571,110,2,31,64
False,False,845,479.6754243373871,0.8,0.6428571428571429,0.9375,45,3,15,27
True,True,1014,159.9141390323639,0.7777777777777778,0.5368421052631579,0.9821428571428571,110,2,44,51
True,False,1014,159.9141390323639,0.7111111111111111,0.47619047619047616,0.9166666666666666,44,4,22,20
False,True,1014,182.43195509910583,0.8260869565217391,0.7894736842105263,0.8571428571428571,96,16,20,75
False,False,1014,182.43195509910583,0.7333333333333333,0.7380952380952381,0.7291666666666666,35,13,11,31
True,True,1183,155.7883939743042,0.7101449275362319,0.3684210526315789,1.0,112,0,60,35
True,False,1183,155.7883939743042,0.6777777777777778,0.35714285714285715,0.9583333333333334,46,2,27,15
False,True,1183,337.33292031288147,0.8164251207729468,0.6421052631578947,0.9642857142857143,108,4,34,61
False,False,1183,337.33292031288147,0.7555555555555555,0.5714285714285714,0.9166666666666666,44,4,18,24
True,True,1352,196.91476774215698,0.7198067632850241,0.3894736842105263,1.0,112,0,58,37
