member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,-983.6094326972961,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,0,-983.6094326972961,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,0,-18.07904076576233,0.6451612903225806,0.6753246753246753,0.6238532110091743,-1,-1,-1,-1
True,False,0,-18.07904076576233,0.7283950617283951,0.7575757575757576,0.7083333333333334,-1,-1,-1,-1
True,True,169,-950.0195415019989,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,169,-950.0195415019989,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,169,-14.731408834457397,0.6666666666666666,0.7402597402597403,0.6146788990825688,-1,-1,-1,-1
True,False,169,-14.731408834457397,0.6666666666666666,0.7575757575757576,0.6041666666666666,-1,-1,-1,-1
True,True,338,-989.8784892559052,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,338,-989.8784892559052,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,338,-19.655081748962402,0.6612903225806451,0.38961038961038963,0.8532110091743119,-1,-1,-1,-1
True,False,338,-19.655081748962402,0.7160493827160493,0.3939393939393939,0.9375,-1,-1,-1,-1
True,True,507,-966.9731681346893,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,507,-966.9731681346893,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,507,-22.45202612876892,0.6989247311827957,0.7662337662337663,0.6513761467889908,-1,-1,-1,-1
True,False,507,-22.45202612876892,0.654320987654321,0.696969696969697,0.625,-1,-1,-1,-1
True,True,676,-939.0544028282166,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,676,-939.0544028282166,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,676,-23.054327964782715,0.6881720430107527,0.36363636363636365,0.9174311926605505,-1,-1,-1,-1
True,False,676,-23.054327964782715,0.6049382716049383,0.15151515151515152,0.9166666666666666,-1,-1,-1,-1
True,True,845,-915.6369881629944,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,845,-915.6369881629944,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,845,-14.338175535202026,0.7096774193548387,0.7662337662337663,0.6697247706422018,-1,-1,-1,-1
True,False,845,-14.338175535202026,0.6666666666666666,0.7272727272727273,0.625,-1,-1,-1,-1
True,True,1014,-999.4458947181702,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,1014,-999.4458947181702,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,1014,-13.537782669067383,0.6505376344086021,0.6233766233766234,0.6697247706422018,-1,-1,-1,-1
True,False,1014,-13.537782669067383,0.6790123456790124,0.5757575757575758,0.75,-1,-1,-1,-1
True,True,1183,-967.2408373355865,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,1183,-967.2408373355865,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,1183,-16.976662635803223,0.6290322580645161,0.5064935064935064,0.7155963302752294,-1,-1,-1,-1
True,False,1183,-16.976662635803223,0.5679012345679012,0.3939393939393939,0.6875,-1,-1,-1,-1
True,True,1352,-964.0443232059479,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,1352,-964.0443232059479,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,1352,-14.303201675415039,0.6397849462365591,0.19480519480519481,0.9541284403669725,-1,-1,-1,-1
True,False,1352,-14.303201675415039,0.6666666666666666,0.24242424242424243,0.9583333333333334,-1,-1,-1,-1
True,True,1521,-976.4119997024536,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
True,False,1521,-976.4119997024536,0.4074074074074074,1.0,0.0,-1,-1,-1,-1
True,True,1521,-18.524083137512207,0.6720430107526881,0.6233766233766234,0.7064220183486238,-1,-1,-1,-1
True,False,1521,-18.524083137512207,0.6296296296296297,0.5151515151515151,0.7083333333333334,-1,-1,-1,-1
True,True,1690,-1011.1826581954956,0.41397849462365593,1.0,0.0,-1,-1,-1,-1
