member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,-519.3717439174652,0.31213872832369943,0.0,1.0,-1,-1,-1,-1
True,False,0,-519.3717439174652,0.3116591928251121,0.0,1.0,-1,-1,-1,-1
True,True,0,-1.430511474609375e-06,0.31213872832369943,0.0,1.0,-1,-1,-1,-1
True,False,0,-1.430511474609375e-06,0.3116591928251121,0.0,1.0,-1,-1,-1,-1
True,True,169,-570.1856229305267,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,169,-570.1856229305267,0.31390134529147984,1.0,0.9928057553956835,-1,-1,-1,-1
True,True,169,-9.5367431640625e-07,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,169,-9.5367431640625e-07,0.31390134529147984,1.0,0.9928057553956835,-1,-1,-1,-1
True,True,338,-664.0791127681732,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,338,-664.0791127681732,0.31390134529147984,1.0,0.9928057553956835,-1,-1,-1,-1
True,True,338,-7.152557373046875e-07,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,338,-7.152557373046875e-07,0.31390134529147984,1.0,0.9928057553956835,-1,-1,-1,-1
True,True,507,-672.7974679470062,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,507,-672.7974679470062,0.31390134529147984,0.5,1.0,-1,-1,-1,-1
True,True,507,-9.5367431640625e-07,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,507,-9.5367431640625e-07,0.31390134529147984,0.5,1.0,-1,-1,-1,-1
True,True,676,-670.9513545036316,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,676,-670.9513545036316,0.31390134529147984,0.5,1.0,-1,-1,-1,-1
True,True,676,-1.1920928955078125e-06,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,676,-1.1920928955078125e-06,0.31390134529147984,0.5,1.0,-1,-1,-1,-1
True,True,845,-703.8384747505188,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,845,-703.8384747505188,0.3094170403587444,0.0,0.9928057553956835,-1,-1,-1,-1
True,True,845,-1.430511474609375e-06,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,845,-1.430511474609375e-06,0.3094170403587444,0.0,0.9928057553956835,-1,-1,-1,-1
True,True,1014,-655.2907857894897,0.315028901734104,1.0,1.0,-1,-1,-1,-1
True,False,1014,-655.2907857894897,0.3116591928251121,0.5,0.9928057553956835,-1,-1,-1,-1
