member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,735.1381883621216,0.8680851063829788,0.9074074074074074,0.99,-1,-1,-1,-1
True,False,0,735.1381883621216,0.7722772277227723,0.782608695652174,1.0,-1,-1,-1,-1
False,True,0,1.1920928955078125e-06,0.8680851063829788,0.9074074074074074,0.99,-1,-1,-1,-1
False,False,0,1.1920928955078125e-06,0.7722772277227723,0.782608695652174,1.0,-1,-1,-1,-1
True,True,169,928.4039735794067,0.8297872340425532,0.8888888888888888,1.0,-1,-1,-1,-1
True,False,169,928.4039735794067,0.6732673267326733,0.8260869565217391,1.0,-1,-1,-1,-1
False,True,169,1.430511474609375e-06,0.8297872340425532,0.8888888888888888,1.0,-1,-1,-1,-1
False,False,169,1.430511474609375e-06,0.6732673267326733,0.8260869565217391,1.0,-1,-1,-1,-1
True,True,338,1085.9275007247925,0.8595744680851064,0.9629629629629629,1.0,-1,-1,-1,-1
True,False,338,1085.9275007247925,0.7128712871287128,0.8260869565217391,0.9534883720930233,-1,-1,-1,-1
False,True,338,1.1920928955078125e-06,0.8595744680851064,0.9629629629629629,1.0,-1,-1,-1,-1
False,False,338,1.1920928955078125e-06,0.7128712871287128,0.8260869565217391,0.9534883720930233,-1,-1,-1,-1
True,True,507,765.6294739246368,0.8638297872340426,0.9444444444444444,0.99,-1,-1,-1,-1
True,False,507,765.6294739246368,0.7029702970297029,1.0,1.0,-1,-1,-1,-1
False,True,507,1.6689300537109375e-06,0.8638297872340426,0.9444444444444444,0.99,-1,-1,-1,-1
False,False,507,1.6689300537109375e-06,0.7029702970297029,1.0,1.0,-1,-1,-1,-1
True,True,676,1092.9792766571045,0.8340425531914893,0.9259259259259259,0.99,-1,-1,-1,-1
True,False,676,1092.9792766571045,0.7425742574257426,0.8695652173913043,1.0,-1,-1,-1,-1
False,True,676,1.430511474609375e-06,0.8340425531914893,0.9259259259259259,0.99,-1,-1,-1,-1
False,False,676,1.430511474609375e-06,0.7425742574257426,0.8695652173913043,1.0,-1,-1,-1,-1
True,True,845,815.5669164657593,0.7617021276595745,0.9629629629629629,1.0,-1,-1,-1,-1
True,False,845,815.5669164657593,0.693069306930693,1.0,0.9767441860465116,-1,-1,-1,-1
False,True,845,1.1920928955078125e-06,0.7617021276595745,0.9629629629629629,1.0,-1,-1,-1,-1
False,False,845,1.1920928955078125e-06,0.693069306930693,1.0,0.9767441860465116,-1,-1,-1,-1
True,True,1014,732.5946846008301,0.825531914893617,0.8518518518518519,0.98,-1,-1,-1,-1
True,False,1014,732.5946846008301,0.7029702970297029,0.9130434782608695,1.0,-1,-1,-1,-1
False,True,1014,1.430511474609375e-06,0.825531914893617,0.8518518518518519,0.98,-1,-1,-1,-1
False,False,1014,1.430511474609375e-06,0.7029702970297029,0.9130434782608695,1.0,-1,-1,-1,-1
True,True,1183,1032.9513676166534,0.8638297872340426,0.9259259259259259,1.0,-1,-1,-1,-1
True,False,1183,1032.9513676166534,0.7128712871287128,0.9130434782608695,1.0,-1,-1,-1,-1
False,True,1183,1.1920928955078125e-06,0.8638297872340426,0.9259259259259259,1.0,-1,-1,-1,-1
False,False,1183,1.1920928955078125e-06,0.7128712871287128,0.9130434782608695,1.0,-1,-1,-1,-1
True,True,1352,740.4658546447754,0.7574468085106383,0.9074074074074074,1.0,-1,-1,-1,-1
True,False,1352,740.4658546447754,0.6633663366336634,0.8695652173913043,1.0,-1,-1,-1,-1
False,True,1352,1.6689300537109375e-06,0.7574468085106383,0.9074074074074074,1.0,-1,-1,-1,-1
False,False,1352,1.6689300537109375e-06,0.6633663366336634,0.8695652173913043,1.0,-1,-1,-1,-1
True,True,1521,830.7505946159363,0.8680851063829788,0.8518518518518519,1.0,-1,-1,-1,-1
True,False,1521,830.7505946159363,0.6732673267326733,0.782608695652174,1.0,-1,-1,-1,-1
False,True,1521,1.430511474609375e-06,0.8680851063829788,0.8518518518518519,1.0,-1,-1,-1,-1
False,False,1521,1.430511474609375e-06,0.6732673267326733,0.782608695652174,1.0,-1,-1,-1,-1
