member_0,member_1,member_2,member_3,member_4
0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,7.0,6.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
4.0,4.0,4.0,4.0,4.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,4.0,1.0,4.0
7.0,7.0,7.0,7.0,6.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,6.0,5.0
0.0,7.0,7.0,7.0,5.0
0.0,0.0,0.0,0.0,0.0
7.0,7.0,7.0,0.0,7.0
5.0,5.0,7.0,5.0,5.0
1.0,1.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,4.0
7.0,7.0,7.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,4.0,4.0
1.0,1.0,1.0,1.0,1.0
0.0,7.0,7.0,0.0,7.0
0.0,7.0,7.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,5.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0
7.0,0.0,1.0,0.0,0.0
1.0,7.0,0.0,5.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0
5.0,7.0,7.0,5.0,5.0
0.0,7.0,7.0,0.0,7.0
0.0,7.0,7.0,7.0,0.0
0.0,7.0,7.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
4.0,4.0,4.0,4.0,4.0
7.0,5.0,7.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,7.0,7.0,7.0,7.0
0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0
1.0,4.0,1.0,1.0,1.0
4.0,1.0,1.0,4.0,1.0
7.0,7.0,7.0,7.0,0.0
7.0,7.0,7.0,5.0,0.0
1.0,4.0,4.0,1.0,4.0
0.0,0.0,0.0,1.0,1.0
4.0,1.0,4.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0
7.0,7.0,0.0,0.0,0.0
1.0,4.0,4.0,0.0,5.0
7.0,7.0,7.0,0.0,0.0
0.0,7.0,7.0,7.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.0,7.0,7.0,5.0,5.0
7.0,7.0,7.0,0.0,6.0
1.0,1.0,1.0,4.0,1.0
4.0,1.0,1.0,4.0,1.0
4.0,1.0,1.0,4.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,7.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,6.0
1.0,0.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.0,7.0,7.0,7.0,5.0
0.0,0.0,0.0,0.0,0.0
7.0,7.0,7.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,4.0,1.0
7.0,7.0,7.0,5.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
4.0,4.0,1.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.0,4.0,1.0
0.0,0.0,0.0,1.0,0.0
7.0,7.0,7.0,0.0,7.0
0.0,7.0,7.0,0.0,5.0
4.0,1.0,1.0,4.0,1.0
0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,4.0
5.0,5.0,7.0,5.0,5.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,7.0,7.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.0,7.0,6.0,7.0,5.0
5.0,7.0,5.0,5.0,0.0
4.0,7.0,1.0,4.0,1.0
0.0,0.0,0.0,0.0,1.0
7.0,7.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,4.0
0.0,7.0,7.0,0.0,6.0
7.0,7.0,7.0,7.0,7.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
7.0,7.0,7.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,4.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0
4.0,4.0,1.0,4.0,1.0
0.0,7.0,7.0,5.0,6.0
7.0,7.0,7.0,7.0,0.0
7.0,7.0,7.0,7.0,5.0
7.0,7.0,7.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,4.0
1.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0,4.0
0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,4.0,4.0
0.0,7.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,0.0,5.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,4.0,1.0
7.0,0.0,1.0,5.0,5.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,0.0,7.0,0.0,0.0
7.0,5.0,7.0,5.0,6.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,7.0,7.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0
