gen,nevals
1,500
2,376
3,371
4,361
5,377
6,362
7,389
8,377
9,397
10,378
11,362
12,361
13,379
14,390
15,377
16,367
17,372
18,365
19,357
20,373
21,384
22,381
23,405
24,387
25,401
26,383
27,388
28,371
29,376
30,392
31,361
32,338
33,383
34,389
35,375
36,371
37,373
38,376
39,385
40,383
41,385
42,388
43,365
44,381
45,377
46,399
47,390
48,389
49,381
50,373
51,376
52,362
53,386
54,370
55,375
56,395
57,379
58,369
59,387
60,365
61,384
62,358
63,377
64,382
65,387
66,384
67,402
68,393
69,405
70,378
71,393
72,373
73,380
74,385
75,357
76,386
77,383
78,378
79,372
80,368
81,381
82,374
83,370
84,366
85,393
86,396
87,389
88,380
89,357
90,371
91,372
92,399
93,376
94,375
95,382
96,395
97,378
98,383
99,344
100,380
