gen,nevals
1,500
2,394
3,395
4,382
5,379
6,359
7,395
8,394
9,375
10,380
11,376
12,400
13,366
14,374
15,378
16,390
17,381
18,379
19,374
20,367
21,385
22,374
23,366
24,384
25,396
26,372
27,394
28,388
29,378
30,385
31,395
32,395
33,368
34,382
35,365
36,381
37,391
38,389
39,368
40,370
41,400
42,409
43,373
44,389
45,388
46,380
47,357
48,390
49,346
50,369
51,388
52,387
53,387
54,377
55,386
56,387
57,374
58,385
59,399
60,396
61,385
62,391
63,383
64,385
65,391
66,397
67,392
68,374
69,374
70,379
71,374
72,366
73,371
74,386
75,378
76,391
77,379
78,388
79,376
80,371
81,363
82,374
83,385
84,391
85,399
86,383
87,363
88,390
89,380
90,383
91,374
92,384
93,382
94,367
95,384
96,389
97,387
98,391
99,361
100,366
