gen,nevals
1,500
2,384
3,370
4,370
5,380
6,394
7,397
8,377
9,382
10,372
11,381
12,382
13,388
14,370
15,370
16,372
17,396
18,391
19,372
20,366
21,371
22,381
23,403
24,387
25,380
26,397
27,378
28,354
29,373
30,384
31,378
32,375
33,364
34,383
35,381
36,366
37,359
38,365
39,373
40,403
41,374
42,368
43,388
44,370
45,380
46,373
47,365
48,366
49,365
50,382
51,372
52,382
53,374
54,386
55,379
56,390
57,385
58,394
59,380
60,371
61,383
62,376
63,378
64,376
65,393
66,388
67,387
68,379
69,374
70,378
71,365
72,375
73,385
74,358
75,399
76,380
77,377
78,379
79,381
80,361
81,385
82,377
83,377
84,367
85,385
86,371
87,392
88,370
89,400
90,372
91,374
92,372
93,387
94,358
95,363
96,357
97,378
98,378
99,399
100,349
