gen,nevals
1,500
2,369
3,379
4,395
5,385
6,379
7,377
8,365
9,396
10,385
11,356
12,382
13,389
14,373
15,371
16,377
17,385
18,367
19,368
20,372
21,373
22,371
23,356
24,384
25,387
26,397
27,385
28,394
29,383
30,378
31,381
32,344
33,363
34,371
35,369
36,387
37,383
38,368
39,400
40,371
41,397
42,382
43,374
44,378
45,383
46,408
47,374
48,377
49,388
50,386
51,390
52,397
53,375
54,377
55,391
56,367
57,390
58,384
59,377
60,378
61,388
62,392
63,377
64,379
65,382
66,394
67,412
68,385
69,376
70,377
71,380
72,381
73,406
74,362
75,390
76,383
77,386
78,376
79,383
80,378
81,396
82,395
83,388
84,406
85,396
86,374
87,367
88,373
89,388
90,376
91,388
92,382
93,375
94,373
95,363
96,386
97,374
98,385
99,377
100,375
