gen,nevals
1,500
2,384
3,386
4,359
5,380
6,379
7,377
8,413
9,369
10,396
11,392
12,383
13,379
14,386
15,378
16,367
17,398
18,403
19,364
20,389
21,397
22,385
23,366
24,372
25,367
26,371
27,383
28,388
29,397
30,375
31,382
32,378
33,382
34,403
35,384
36,387
37,361
38,378
39,379
40,368
41,364
42,371
43,391
44,386
45,387
46,384
47,391
48,355
49,384
50,389
51,394
52,372
53,380
54,372
55,362
56,375
57,392
58,391
59,385
60,371
61,392
62,381
63,387
64,390
65,393
66,386
67,373
68,379
69,369
70,372
71,374
72,376
73,372
74,394
75,384
76,366
77,391
78,387
79,379
80,376
81,372
82,395
83,400
84,381
85,372
86,376
87,386
88,385
89,371
90,371
91,363
92,355
93,394
94,385
95,382
96,379
97,384
98,367
99,372
100,396
