gen,nevals
1,500
2,358
3,382
4,375
5,386
6,381
7,396
8,387
9,363
10,392
11,381
12,398
13,371
14,356
15,393
16,396
17,373
18,375
19,377
20,393
21,383
22,372
23,367
24,395
25,372
26,361
27,383
28,389
29,379
30,378
31,395
32,363
33,391
34,395
35,380
36,396
37,385
38,368
39,375
40,352
41,390
42,381
43,379
44,389
45,385
46,382
47,402
48,391
49,398
50,374
51,383
52,372
53,380
54,384
55,400
56,362
57,387
58,375
59,368
60,378
61,375
62,365
63,392
64,395
65,378
66,376
67,373
68,365
69,378
70,388
71,382
72,388
73,385
74,371
75,397
76,370
77,363
78,389
79,354
80,381
81,378
82,381
83,363
84,366
85,361
86,396
87,395
88,379
89,386
90,386
91,392
92,370
93,370
94,393
95,379
96,383
97,386
98,366
99,385
100,368
