member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,280.8203094005585,0.7868852459016393,0.4117647058823529,0.9318181818181818,-1,-1,-1,-1
True,False,0,280.8203094005585,0.7777777777777778,0.14285714285714285,1.0,-1,-1,-1,-1
False,True,0,1.1920928955078125e-06,0.7868852459016393,0.4117647058823529,0.9318181818181818,-1,-1,-1,-1
False,False,0,1.1920928955078125e-06,0.7777777777777778,0.14285714285714285,1.0,-1,-1,-1,-1
True,True,169,317.8980941772461,0.8688524590163934,0.5294117647058824,1.0,-1,-1,-1,-1
True,False,169,317.8980941772461,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
False,True,169,1.430511474609375e-06,0.8688524590163934,0.5294117647058824,1.0,-1,-1,-1,-1
False,False,169,1.430511474609375e-06,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
True,True,338,279.18532037734985,0.7868852459016393,0.23529411764705882,1.0,-1,-1,-1,-1
True,False,338,279.18532037734985,0.6666666666666666,0.0,0.9,-1,-1,-1,-1
False,True,338,9.5367431640625e-07,0.7868852459016393,0.23529411764705882,1.0,-1,-1,-1,-1
False,False,338,9.5367431640625e-07,0.6666666666666666,0.0,0.9,-1,-1,-1,-1
True,True,507,288.01312589645386,0.8524590163934426,0.47058823529411764,1.0,-1,-1,-1,-1
True,False,507,288.01312589645386,0.5555555555555556,0.0,0.75,-1,-1,-1,-1
False,True,507,1.430511474609375e-06,0.8524590163934426,0.47058823529411764,1.0,-1,-1,-1,-1
False,False,507,1.430511474609375e-06,0.5555555555555556,0.0,0.75,-1,-1,-1,-1
True,True,676,351.4956171512604,0.8032786885245902,0.35294117647058826,0.9772727272727273,-1,-1,-1,-1
True,False,676,351.4956171512604,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
False,True,676,1.430511474609375e-06,0.8032786885245902,0.35294117647058826,0.9772727272727273,-1,-1,-1,-1
False,False,676,1.430511474609375e-06,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
True,True,845,300.6808466911316,0.8360655737704918,0.47058823529411764,0.9772727272727273,-1,-1,-1,-1
True,False,845,300.6808466911316,0.6296296296296297,0.14285714285714285,0.8,-1,-1,-1,-1
False,True,845,1.1920928955078125e-06,0.8360655737704918,0.47058823529411764,0.9772727272727273,-1,-1,-1,-1
False,False,845,1.1920928955078125e-06,0.6296296296296297,0.14285714285714285,0.8,-1,-1,-1,-1
True,True,1014,296.20856380462646,0.8688524590163934,0.5294117647058824,1.0,-1,-1,-1,-1
True,False,1014,296.20856380462646,0.6296296296296297,0.0,0.85,-1,-1,-1,-1
False,True,1014,9.5367431640625e-07,0.8688524590163934,0.5294117647058824,1.0,-1,-1,-1,-1
False,False,1014,9.5367431640625e-07,0.6296296296296297,0.0,0.85,-1,-1,-1,-1
True,True,1183,311.5923306941986,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
True,False,1183,311.5923306941986,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
False,True,1183,1.1920928955078125e-06,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
False,False,1183,1.1920928955078125e-06,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
True,True,1352,307.9474124908447,0.8688524590163934,0.5882352941176471,0.9772727272727273,-1,-1,-1,-1
True,False,1352,307.9474124908447,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
False,True,1352,9.5367431640625e-07,0.8688524590163934,0.5882352941176471,0.9772727272727273,-1,-1,-1,-1
False,False,1352,9.5367431640625e-07,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
True,True,1521,294.4278235435486,0.8524590163934426,0.7058823529411765,0.9090909090909091,-1,-1,-1,-1
True,False,1521,294.4278235435486,0.5185185185185185,0.42857142857142855,0.55,-1,-1,-1,-1
False,True,1521,1.1920928955078125e-06,0.8524590163934426,0.7058823529411765,0.9090909090909091,-1,-1,-1,-1
False,False,1521,1.1920928955078125e-06,0.5185185185185185,0.42857142857142855,0.55,-1,-1,-1,-1
True,True,1690,300.17170906066895,0.8360655737704918,0.7058823529411765,0.8863636363636364,-1,-1,-1,-1
True,False,1690,300.17170906066895,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
False,True,1690,9.5367431640625e-07,0.8360655737704918,0.7058823529411765,0.8863636363636364,-1,-1,-1,-1
False,False,1690,9.5367431640625e-07,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
True,True,1859,343.5259916782379,0.8688524590163934,0.7647058823529411,0.9090909090909091,-1,-1,-1,-1
True,False,1859,343.5259916782379,0.6296296296296297,0.14285714285714285,0.8,-1,-1,-1,-1
False,True,1859,1.430511474609375e-06,0.8688524590163934,0.7647058823529411,0.9090909090909091,-1,-1,-1,-1
False,False,1859,1.430511474609375e-06,0.6296296296296297,0.14285714285714285,0.8,-1,-1,-1,-1
True,True,2028,290.11294436454773,0.819672131147541,0.4117647058823529,0.9772727272727273,-1,-1,-1,-1
True,False,2028,290.11294436454773,0.6666666666666666,0.14285714285714285,0.85,-1,-1,-1,-1
False,True,2028,1.1920928955078125e-06,0.819672131147541,0.4117647058823529,0.9772727272727273,-1,-1,-1,-1
False,False,2028,1.1920928955078125e-06,0.6666666666666666,0.14285714285714285,0.85,-1,-1,-1,-1
True,True,2197,260.49756836891174,0.7868852459016393,0.47058823529411764,0.9090909090909091,-1,-1,-1,-1
True,False,2197,260.49756836891174,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
False,True,2197,9.5367431640625e-07,0.7868852459016393,0.47058823529411764,0.9090909090909091,-1,-1,-1,-1
False,False,2197,9.5367431640625e-07,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
True,True,2366,291.3050398826599,0.8688524590163934,0.6470588235294118,0.9545454545454546,-1,-1,-1,-1
True,False,2366,291.3050398826599,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
False,True,2366,1.1920928955078125e-06,0.8688524590163934,0.6470588235294118,0.9545454545454546,-1,-1,-1,-1
False,False,2366,1.1920928955078125e-06,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
True,True,2535,280.2215898036957,0.8032786885245902,0.7058823529411765,0.8409090909090909,-1,-1,-1,-1
True,False,2535,280.2215898036957,0.48148148148148145,0.2857142857142857,0.55,-1,-1,-1,-1
False,True,2535,1.1920928955078125e-06,0.8032786885245902,0.7058823529411765,0.8409090909090909,-1,-1,-1,-1
False,False,2535,1.1920928955078125e-06,0.48148148148148145,0.2857142857142857,0.55,-1,-1,-1,-1
True,True,2704,306.45521211624146,0.8688524590163934,0.7058823529411765,0.9318181818181818,-1,-1,-1,-1
True,False,2704,306.45521211624146,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
False,True,2704,1.1920928955078125e-06,0.8688524590163934,0.7058823529411765,0.9318181818181818,-1,-1,-1,-1
False,False,2704,1.1920928955078125e-06,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
True,True,2873,301.4704396724701,0.8524590163934426,0.5294117647058824,0.9772727272727273,-1,-1,-1,-1
True,False,2873,301.4704396724701,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
False,True,2873,9.5367431640625e-07,0.8524590163934426,0.5294117647058824,0.9772727272727273,-1,-1,-1,-1
False,False,2873,9.5367431640625e-07,0.5925925925925926,0.0,0.8,-1,-1,-1,-1
True,True,3042,284.84124279022217,0.8852459016393442,0.6470588235294118,0.9772727272727273,-1,-1,-1,-1
True,False,3042,284.84124279022217,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
False,True,3042,1.430511474609375e-06,0.8852459016393442,0.6470588235294118,0.9772727272727273,-1,-1,-1,-1
False,False,3042,1.430511474609375e-06,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
True,True,3211,321.15843319892883,0.8524590163934426,0.5294117647058824,0.9772727272727273,-1,-1,-1,-1
True,False,3211,321.15843319892883,0.5925925925925926,0.2857142857142857,0.7,-1,-1,-1,-1
False,True,3211,9.5367431640625e-07,0.8524590163934426,0.5294117647058824,0.9772727272727273,-1,-1,-1,-1
False,False,3211,9.5367431640625e-07,0.5925925925925926,0.2857142857142857,0.7,-1,-1,-1,-1
True,True,3380,289.54202795028687,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
True,False,3380,289.54202795028687,0.7407407407407407,0.14285714285714285,0.95,-1,-1,-1,-1
False,True,3380,1.1920928955078125e-06,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
False,False,3380,1.1920928955078125e-06,0.7407407407407407,0.14285714285714285,0.95,-1,-1,-1,-1
True,True,3549,325.4012668132782,0.7704918032786885,0.5882352941176471,0.8409090909090909,-1,-1,-1,-1
True,False,3549,325.4012668132782,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
False,True,3549,1.1920928955078125e-06,0.7704918032786885,0.5882352941176471,0.8409090909090909,-1,-1,-1,-1
False,False,3549,1.1920928955078125e-06,0.5555555555555556,0.14285714285714285,0.7,-1,-1,-1,-1
True,True,3718,286.7595446109772,0.8360655737704918,0.5294117647058824,0.9545454545454546,-1,-1,-1,-1
True,False,3718,286.7595446109772,0.8148148148148148,0.2857142857142857,1.0,-1,-1,-1,-1
False,True,3718,1.1920928955078125e-06,0.8360655737704918,0.5294117647058824,0.9545454545454546,-1,-1,-1,-1
False,False,3718,1.1920928955078125e-06,0.8148148148148148,0.2857142857142857,1.0,-1,-1,-1,-1
True,True,3887,286.8445382118225,0.8852459016393442,0.7647058823529411,0.9318181818181818,-1,-1,-1,-1
True,False,3887,286.8445382118225,0.4444444444444444,0.0,0.6,-1,-1,-1,-1
False,True,3887,9.5367431640625e-07,0.8852459016393442,0.7647058823529411,0.9318181818181818,-1,-1,-1,-1
False,False,3887,9.5367431640625e-07,0.4444444444444444,0.0,0.6,-1,-1,-1,-1
True,True,4056,291.2882776260376,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
True,False,4056,291.2882776260376,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
False,True,4056,1.1920928955078125e-06,0.8524590163934426,0.5882352941176471,0.9545454545454546,-1,-1,-1,-1
False,False,4056,1.1920928955078125e-06,0.7037037037037037,0.0,0.95,-1,-1,-1,-1
True,True,4225,318.3904709815979,0.8032786885245902,0.5882352941176471,0.8863636363636364,-1,-1,-1,-1
True,False,4225,318.3904709815979,0.6296296296296297,0.0,0.85,-1,-1,-1,-1
False,True,4225,1.430511474609375e-06,0.8032786885245902,0.5882352941176471,0.8863636363636364,-1,-1,-1,-1
False,False,4225,1.430511474609375e-06,0.6296296296296297,0.0,0.85,-1,-1,-1,-1
True,True,4394,283.5624940395355,0.8852459016393442,0.7058823529411765,0.9545454545454546,-1,-1,-1,-1
True,False,4394,283.5624940395355,0.5555555555555556,0.0,0.75,-1,-1,-1,-1
False,True,4394,1.1920928955078125e-06,0.8852459016393442,0.7058823529411765,0.9545454545454546,-1,-1,-1,-1
False,False,4394,1.1920928955078125e-06,0.5555555555555556,0.0,0.75,-1,-1,-1,-1
True,True,4563,330.37567019462585,0.7704918032786885,0.5294117647058824,0.8636363636363636,-1,-1,-1,-1
True,False,4563,330.37567019462585,0.5555555555555556,0.42857142857142855,0.6,-1,-1,-1,-1
False,True,4563,9.5367431640625e-07,0.7704918032786885,0.5294117647058824,0.8636363636363636,-1,-1,-1,-1
False,False,4563,9.5367431640625e-07,0.5555555555555556,0.42857142857142855,0.6,-1,-1,-1,-1
True,True,4732,334.09258675575256,0.8032786885245902,0.29411764705882354,1.0,-1,-1,-1,-1
True,False,4732,334.09258675575256,0.6666666666666666,0.0,0.9,-1,-1,-1,-1
False,True,4732,9.5367431640625e-07,0.8032786885245902,0.29411764705882354,1.0,-1,-1,-1,-1
False,False,4732,9.5367431640625e-07,0.6666666666666666,0.0,0.9,-1,-1,-1,-1
True,True,4901,307.41538548469543,0.819672131147541,0.35294117647058826,1.0,-1,-1,-1,-1
True,False,4901,307.41538548469543,0.7407407407407407,0.2857142857142857,0.9,-1,-1,-1,-1
False,True,4901,9.5367431640625e-07,0.819672131147541,0.35294117647058826,1.0,-1,-1,-1,-1
False,False,4901,9.5367431640625e-07,0.7407407407407407,0.2857142857142857,0.9,-1,-1,-1,-1
