member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,164.08320713043213,0.7412008281573499,0.6837209302325581,0.7873134328358209,-1,-1,-1,-1
True,False,0,164.08320713043213,0.7198067632850241,0.6304347826086957,0.7913043478260869,-1,-1,-1,-1
False,True,0,9.5367431640625e-07,0.7412008281573499,0.6837209302325581,0.7873134328358209,-1,-1,-1,-1
False,False,0,9.5367431640625e-07,0.7198067632850241,0.6304347826086957,0.7913043478260869,-1,-1,-1,-1
True,True,169,173.58018112182617,0.7370600414078675,0.6697674418604651,0.7910447761194029,-1,-1,-1,-1
True,False,169,173.58018112182617,0.7391304347826086,0.5978260869565217,0.8521739130434782,-1,-1,-1,-1
False,True,169,9.5367431640625e-07,0.7370600414078675,0.6697674418604651,0.7910447761194029,-1,-1,-1,-1
False,False,169,9.5367431640625e-07,0.7391304347826086,0.5978260869565217,0.8521739130434782,-1,-1,-1,-1
True,True,338,169.09822726249695,0.7080745341614907,0.6093023255813953,0.7873134328358209,-1,-1,-1,-1
True,False,338,169.09822726249695,0.7053140096618358,0.6086956521739131,0.782608695652174,-1,-1,-1,-1
False,True,338,1.1920928955078125e-06,0.7080745341614907,0.6093023255813953,0.7873134328358209,-1,-1,-1,-1
False,False,338,1.1920928955078125e-06,0.7053140096618358,0.6086956521739131,0.782608695652174,-1,-1,-1,-1
True,True,507,160.71101140975952,0.7370600414078675,0.772093023255814,0.7089552238805971,-1,-1,-1,-1
True,False,507,160.71101140975952,0.6859903381642513,0.717391304347826,0.6608695652173913,-1,-1,-1,-1
False,True,507,9.5367431640625e-07,0.7370600414078675,0.772093023255814,0.7089552238805971,-1,-1,-1,-1
False,False,507,9.5367431640625e-07,0.6859903381642513,0.717391304347826,0.6608695652173913,-1,-1,-1,-1
True,True,676,178.66513109207153,0.7246376811594203,0.6325581395348837,0.7985074626865671,-1,-1,-1,-1
True,False,676,178.66513109207153,0.6135265700483091,0.4891304347826087,0.7130434782608696,-1,-1,-1,-1
False,True,676,9.5367431640625e-07,0.7246376811594203,0.6325581395348837,0.7985074626865671,-1,-1,-1,-1
False,False,676,9.5367431640625e-07,0.6135265700483091,0.4891304347826087,0.7130434782608696,-1,-1,-1,-1
True,True,845,160.96900725364685,0.7246376811594203,0.7162790697674418,0.7313432835820896,-1,-1,-1,-1
True,False,845,160.96900725364685,0.7101449275362319,0.7065217391304348,0.7130434782608696,-1,-1,-1,-1
