member_0,member_1,member_2,member_3,member_4
0,6,9,3,5
9,6,9,3,8
9,6,5,9,7
0,6,9,3,8
0,7,7,0,6
0,6,7,9,7
0,5,6,9,7
0,6,9,3,5
0,7,7,0,6
0,6,6,4,8
9,6,6,3,8
9,7,9,3,8
0,7,5,0,8
0,7,6,0,8
0,7,7,0,8
9,6,9,3,8
0,7,9,3,5
9,7,9,4,5
0,6,9,3,8
9,6,6,0,8
9,7,6,3,8
0,6,9,3,8
9,7,9,3,6
0,6,6,9,8
9,7,9,3,8
9,6,5,4,7
9,6,5,2,7
0,7,9,3,5
0,5,6,7,7
0,7,7,0,8
0,7,9,3,5
9,7,9,3,8
9,7,8,0,8
9,6,4,4,8
9,7,8,0,8
0,7,9,3,8
9,7,4,0,8
0,7,6,0,6
9,6,9,3,7
9,6,5,1,7
0,7,7,0,6
0,7,9,3,5
0,7,9,3,5
0,7,9,3,8
9,5,5,3,6
9,7,9,3,8
9,7,7,3,8
9,6,5,3,7
0,7,9,3,5
9,6,7,3,8
0,7,7,0,6
0,6,7,9,7
9,6,7,4,7
9,5,9,3,6
0,7,7,0,6
0,6,9,3,5
0,7,9,4,8
0,6,9,3,5
9,7,8,3,8
0,6,5,3,8
0,7,6,0,6
0,7,5,0,8
9,5,9,4,6
9,6,6,3,7
0,6,9,3,8
0,6,9,3,7
9,6,8,3,7
9,6,7,3,7
0,6,9,3,5
0,7,7,0,6
0,7,9,3,8
0,6,9,3,8
0,6,6,5,7
9,6,9,3,8
0,7,9,3,8
0,5,5,9,7
9,5,9,3,6
0,7,6,0,8
0,7,9,3,8
9,7,5,0,8
9,7,9,4,5
0,5,5,9,7
9,5,6,3,6
0,5,6,9,7
0,6,9,3,5
9,5,9,4,6
0,7,9,3,8
0,7,6,0,8
0,7,9,4,8
0,6,9,3,6
0,7,9,3,8
9,5,8,3,6
0,7,9,3,5
0,7,5,0,6
0,7,9,3,5
0,6,9,3,5
0,7,8,0,6
0,7,9,3,8
0,7,8,0,6
0,6,9,3,8
9,7,9,3,8
9,7,6,3,8
9,7,5,3,8
0,7,9,3,5
9,7,9,3,8
0,6,9,3,8
0,7,9,3,8
9,5,9,3,6
9,7,9,4,5
0,6,9,3,8
9,6,7,9,8
0,7,9,3,8
0,7,7,0,6
0,5,6,9,7
9,6,6,4,7
9,6,7,4,8
0,7,9,3,8
0,5,6,0,7
9,7,9,3,8
9,7,6,1,8
9,6,6,4,8
9,6,6,4,8
9,6,6,3,8
0,7,9,3,8
0,6,9,3,6
9,5,7,1,6
0,7,9,4,5
0,6,9,3,5
9,5,7,1,6
0,5,6,9,7
0,6,9,3,6
0,7,9,3,5
0,7,8,0,8
0,7,7,2,8
0,5,5,3,7
0,6,8,3,8
0,5,6,9,7
0,6,8,3,8
9,5,5,0,6
0,7,8,0,6
0,6,7,6,8
0,7,9,3,5
0,7,7,0,8
0,6,6,9,8
0,6,7,6,7
