member_0,member_1
-179019302.2770459,-inf
-31426745.72863759,
-116251746.46441822,inf
-1161653883.379304,43613.71342166066
-371466594.30978173,inf
-890737667.4142954,20958.05448007407
-739142150.343306,-12497.926014091518
-200688703.2132884,inf
-117500284.87336186,-inf
-154814756.66525686,
-307974270.20291084,
-306931529.1756065,
-842573748.2309524,
-321798703.53753436,
-284549349.6829883,-inf
-147307488.94440585,-inf
-196332793.88217288,23592.95343016882
-723719990.6539514,inf
523912.9351869996,-inf
-248336929.17391074,inf
-99692732.50233963,-inf
-107811626.42680593,-inf
-719046091.6743544,35255.99703330493
-303121394.6135041,
-158739910.86632973,inf
-57218316.60607919,-45548.19550303396
393322.49017997796,-inf
-81177456.53029656,inf
-644093157.3249347,-15155.988335504786
534951.9959497191,-inf
-221756190.190422,-inf
463177.8334769029,-inf
-379058184.97557795,inf
-383464339.75790787,inf
-442874376.09647715,-41556.41489648249
562894.4429777325,-inf
-159395451.9555856,inf
-161944878.79002994,-inf
677135.5046910403,-inf
-146355670.3031032,-inf
-77500974.72653571,-inf
-1477874771.7567177,inf
-228679885.9579564,-inf
622667.0655160996,-63925.461547998435
-304259730.9401915,
-138289279.58525258,-inf
668368.6001800927,-inf
-590999874.2314277,-inf
-505214593.3158288,-inf
-581497091.0829349,40390.09640062354
-249495590.29584685,inf
-500937710.6280128,10808.301728368351
-600878248.2749529,
553420.9578340264,-inf
-312965376.94108,inf
-450451244.6271562,-inf
605497.1536260477,-inf
-195275373.8310846,inf
659329.408247083,-inf
430463.0699379714,-inf
456508.62932796,-inf
-592361358.387831,-20977.005866840376
462687.0523860285,-inf
-639712414.5093123,
612008.6771755475,-inf
-449263814.3074083,
-1129687434.7405732,
-34850528.737409756,-inf
-287436575.47368574,-inf
-49199599.4119379,15241055.566621179
-132019569.71739274,-inf
-229312921.8485335,inf
-166504591.21748388,inf
165226.97938758036,-inf
-85214296.89067414,inf
725332.3896604594,-inf
407941.16177679005,-inf
-594243793.6173787,3691.535323248967
-471135428.20262283,-33036.50718931345
-127678185.1005679,
619588.4900471409,-inf
-183218723.76349607,-inf
-388166415.2946811,4462.474648651078
-86678025.12349787,
-125467054.75337845,-inf
-153604764.15872836,-inf
488615.1755171151,-inf
-71222058.57084882,-inf
-493245925.0352851,
-569968175.5974278,inf
-62795918.90264326,inf
-126336632.58358347,-inf
-136142784.81206912,
513986.40531495505,-inf
-1146444148.9771807,35638.82615922125
-327956281.6671691,
-525741259.0167655,56323.37505246478
-118569878.85904926,inf
-120744870.76180077,inf
-164705354.18284506,-36959.84246866396
-40995532.481185935,-inf
379251.4330934619,inf
-695405239.0325252,7237.065385664329
414419.9161002531,-inf
-117250500.52059369,
-331869830.0380287,-1145.458290980097
-71611035.22641739,-29266.62474690113
-2931027400.360454,-17287.9635230016
504047.9555279948,-inf
-86835703.90186906,-inf
-374140935.4313438,-42870.9357186144
-482435935.9951657,inf
652007.2059029628,-inf
-420124050.82306224,inf
-931058996.8705577,inf
-168411723.14229748,inf
-1663201242.0788395,20887.605605525783
-323945828.4750666,-25194.111065184206
-145043995.06811637,
-565745507.3171358,
-571495213.0222445,23901.01086129937
-286557824.49201894,-30855.401412987307
-322672893.47251976,
536372.1744052054,-inf
-66164877.64452694,inf
-140985931.7999393,-inf
-329059512.3749149,inf
-78395903.0523193,-inf
-511000704.0268634,-47178.160819784796
-459891314.8528346,inf
487761.01398225746,-inf
-113522260.04574056,-inf
-173885077.04564822,
468429.37684864906,-inf
-118024647.77190347,-inf
-1355714336.815701,6805.375676231262
-596913056.0556688,inf
-24094066.95770119,-inf
-741464743.276609,-inf
563745.1053070064,
491936.34659715457,-inf
289331.4068021438,-inf
-108080776.12379616,-28266.60348581888
-177587904.8877508,-inf
817071.2106843469,-inf
-1031795931.2274508,39279.03002792765
-152910722.7367893,-47545.29210678088
735073.7178595884,-inf
-150651737.2910686,-inf
-44069235.762875125,-inf
-124720602.3539491,
-644902589.8662529,inf
-127171707.12557206,-inf
-239286034.70005316,-inf
-160667226.54200643,-inf
-68261204.36855158,-inf
-151746510.3156754,-inf
-223782576.186275,-inf
inf,43515.46461150554
-645194057.6078658,inf
-57819299.99542188,
-1096156162.2333553,37878.65129396189
492688.3197084326,-inf
-1411365940.7953444,inf
inf,15300.462418151665
477607.47526999534,-inf
-85473414.98264211,-inf
-59162453.389657736,
-295193436.13880527,-inf
-189502018.28229842,
534268.550356891,-inf
-161587649.65772128,-inf
-999186958.1426456,inf
310234.88145607035,-inf
-187047101.27199328,inf
194786.7456311292,-inf
-400603124.3919705,-inf
-184289306.3223619,
-115243985.6578295,
270277.2658411505,-inf
-774065946.0466299,33264.31646199533
-67380488.15144289,-41551.96276480264
-173879256.38310453,
-274951505.59920764,
-495617749.8008573,
-756843944.0366912,26142.012682840006
-475688916.59419215,49453.11202668024
-134016863.19045824,-70458.83784341879
-171859464.56224626,-inf
-83472386.54847385,
-137814256.53216273,-inf
810638.5096523104,-inf
-144806386.25827456,inf
-812288007.9692168,12828.531033687865
575293.7882059537,-inf
552044.4538129504,-inf
280042.5531523149,-inf
-169442195.6690971,-inf
-686342905.724677,
-29144828.02184497,-inf
-713372737.3941696,inf
-331661470.0138807,-17186.24793511458
-365673888.81392884,-inf
-60009535.04058212,-inf
-180630708.10307422,-inf
-950611485.2547417,
-111393438.63042107,-inf
