member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,413.31506085395813,0.5106382978723404,0.9259259259259259,0.3,-1,-1,-1,-1
True,False,0,413.31506085395813,0.5247524752475248,0.9130434782608695,0.3488372093023256,-1,-1,-1,-1
False,True,0,1.1920928955078125e-06,0.5106382978723404,0.9259259259259259,0.3,-1,-1,-1,-1
False,False,0,1.1920928955078125e-06,0.5247524752475248,0.9130434782608695,0.3488372093023256,-1,-1,-1,-1
True,True,169,496.3220942020416,0.5659574468085107,0.35185185185185186,0.53,-1,-1,-1,-1
True,False,169,496.3220942020416,0.5544554455445545,0.34782608695652173,0.5116279069767442,-1,-1,-1,-1
False,True,169,1.1920928955078125e-06,0.5659574468085107,0.35185185185185186,0.53,-1,-1,-1,-1
False,False,169,1.1920928955078125e-06,0.5544554455445545,0.34782608695652173,0.5116279069767442,-1,-1,-1,-1
True,True,338,626.5111629962921,0.7276595744680852,0.35185185185185186,1.0,-1,-1,-1,-1
True,False,338,626.5111629962921,0.6831683168316832,0.17391304347826086,0.9302325581395349,-1,-1,-1,-1
False,True,338,9.5367431640625e-07,0.7276595744680852,0.35185185185185186,1.0,-1,-1,-1,-1
False,False,338,9.5367431640625e-07,0.6831683168316832,0.17391304347826086,0.9302325581395349,-1,-1,-1,-1
True,True,507,482.43508529663086,0.7404255319148936,0.8518518518518519,0.95,-1,-1,-1,-1
True,False,507,482.43508529663086,0.6831683168316832,0.6521739130434783,0.9534883720930233,-1,-1,-1,-1
False,True,507,9.5367431640625e-07,0.7404255319148936,0.8518518518518519,0.95,-1,-1,-1,-1
False,False,507,9.5367431640625e-07,0.6831683168316832,0.6521739130434783,0.9534883720930233,-1,-1,-1,-1
True,True,676,640.8331751823425,0.7319148936170212,0.8148148148148148,0.75,-1,-1,-1,-1
True,False,676,640.8331751823425,0.7425742574257426,0.782608695652174,0.7906976744186046,-1,-1,-1,-1
False,True,676,1.430511474609375e-06,0.7319148936170212,0.8148148148148148,0.75,-1,-1,-1,-1
False,False,676,1.430511474609375e-06,0.7425742574257426,0.782608695652174,0.7906976744186046,-1,-1,-1,-1
True,True,845,512.3447914123535,0.7276595744680852,0.6851851851851852,0.99,-1,-1,-1,-1
True,False,845,512.3447914123535,0.7227722772277227,0.6086956521739131,1.0,-1,-1,-1,-1
False,True,845,1.1920928955078125e-06,0.7276595744680852,0.6851851851851852,0.99,-1,-1,-1,-1
False,False,845,1.1920928955078125e-06,0.7227722772277227,0.6086956521739131,1.0,-1,-1,-1,-1
True,True,1014,387.65225195884705,0.7872340425531915,0.6851851851851852,0.99,-1,-1,-1,-1
True,False,1014,387.65225195884705,0.7227722772277227,0.7391304347826086,0.9767441860465116,-1,-1,-1,-1
False,True,1014,1.1920928955078125e-06,0.7872340425531915,0.6851851851851852,0.99,-1,-1,-1,-1
False,False,1014,1.1920928955078125e-06,0.7227722772277227,0.7391304347826086,0.9767441860465116,-1,-1,-1,-1
True,True,1183,474.10634088516235,0.6382978723404256,0.0,0.99,-1,-1,-1,-1
True,False,1183,474.10634088516235,0.5643564356435643,0.0,0.9534883720930233,-1,-1,-1,-1
False,True,1183,1.1920928955078125e-06,0.6382978723404256,0.0,0.99,-1,-1,-1,-1
False,False,1183,1.1920928955078125e-06,0.5643564356435643,0.0,0.9534883720930233,-1,-1,-1,-1
True,True,1352,429.27449083328247,0.723404255319149,0.4074074074074074,0.99,-1,-1,-1,-1
True,False,1352,429.27449083328247,0.7425742574257426,0.6086956521739131,1.0,-1,-1,-1,-1
False,True,1352,1.1920928955078125e-06,0.723404255319149,0.4074074074074074,0.99,-1,-1,-1,-1
False,False,1352,1.1920928955078125e-06,0.7425742574257426,0.6086956521739131,1.0,-1,-1,-1,-1
True,True,1521,358.43542885780334,0.8042553191489362,0.5555555555555556,0.94,-1,-1,-1,-1
True,False,1521,358.43542885780334,0.801980198019802,0.6086956521739131,0.9767441860465116,-1,-1,-1,-1
False,True,1521,9.5367431640625e-07,0.8042553191489362,0.5555555555555556,0.94,-1,-1,-1,-1
False,False,1521,9.5367431640625e-07,0.801980198019802,0.6086956521739131,0.9767441860465116,-1,-1,-1,-1
True,True,1690,445.05462193489075,0.7148936170212766,0.7037037037037037,0.98,-1,-1,-1,-1
True,False,1690,445.05462193489075,0.6237623762376238,0.7391304347826086,0.9302325581395349,-1,-1,-1,-1
False,True,1690,1.430511474609375e-06,0.7148936170212766,0.7037037037037037,0.98,-1,-1,-1,-1
False,False,1690,1.430511474609375e-06,0.6237623762376238,0.7391304347826086,0.9302325581395349,-1,-1,-1,-1
True,True,1859,501.2353422641754,0.7404255319148936,0.9259259259259259,0.99,-1,-1,-1,-1
True,False,1859,501.2353422641754,0.6336633663366337,0.7391304347826086,0.9767441860465116,-1,-1,-1,-1
False,True,1859,1.1920928955078125e-06,0.7404255319148936,0.9259259259259259,0.99,-1,-1,-1,-1
False,False,1859,1.1920928955078125e-06,0.6336633663366337,0.7391304347826086,0.9767441860465116,-1,-1,-1,-1
True,True,2028,392.66043758392334,0.8468085106382979,0.7777777777777778,0.98,-1,-1,-1,-1
True,False,2028,392.66043758392334,0.7425742574257426,0.7391304347826086,0.9534883720930233,-1,-1,-1,-1
False,True,2028,9.5367431640625e-07,0.8468085106382979,0.7777777777777778,0.98,-1,-1,-1,-1
False,False,2028,9.5367431640625e-07,0.7425742574257426,0.7391304347826086,0.9534883720930233,-1,-1,-1,-1
True,True,2197,545.038604259491,0.7361702127659574,0.12962962962962962,0.99,-1,-1,-1,-1
True,False,2197,545.038604259491,0.7227722772277227,0.08695652173913043,0.9767441860465116,-1,-1,-1,-1
False,True,2197,9.5367431640625e-07,0.7361702127659574,0.12962962962962962,0.99,-1,-1,-1,-1
False,False,2197,9.5367431640625e-07,0.7227722772277227,0.08695652173913043,0.9767441860465116,-1,-1,-1,-1
True,True,2366,493.2733187675476,0.7276595744680852,0.9259259259259259,0.93,-1,-1,-1,-1
True,False,2366,493.2733187675476,0.7029702970297029,0.8260869565217391,0.9534883720930233,-1,-1,-1,-1
False,True,2366,1.1920928955078125e-06,0.7276595744680852,0.9259259259259259,0.93,-1,-1,-1,-1
False,False,2366,1.1920928955078125e-06,0.7029702970297029,0.8260869565217391,0.9534883720930233,-1,-1,-1,-1
True,True,2535,407.8938298225403,0.5319148936170213,0.8333333333333334,0.3,-1,-1,-1,-1
True,False,2535,407.8938298225403,0.5346534653465347,0.8260869565217391,0.4418604651162791,-1,-1,-1,-1
False,True,2535,1.1920928955078125e-06,0.5319148936170213,0.8333333333333334,0.3,-1,-1,-1,-1
False,False,2535,1.1920928955078125e-06,0.5346534653465347,0.8260869565217391,0.4418604651162791,-1,-1,-1,-1
True,True,2704,534.0201530456543,0.8212765957446808,0.6851851851851852,0.99,-1,-1,-1,-1
True,False,2704,534.0201530456543,0.801980198019802,0.782608695652174,0.9534883720930233,-1,-1,-1,-1
False,True,2704,1.1920928955078125e-06,0.8212765957446808,0.6851851851851852,0.99,-1,-1,-1,-1
