member_0,member_1
-310.3928571428571,3871.06792682927
46.0,-891.1749999999997
-427.7666666666667,7118.233737623759
-341.295652173913,10892.366087962964
-280.755,9248.927870370375
-140.23702112423916,6346.630652173918
21.0,-1346.525
49.0,-1458.525
-149.1359375,4017.1216209349604
-382.9826086956522,11939.533737623768
-17.066666666666666,383.04642857142846
48.0,-1467.525
2.5,96.67499999999993
-6.0,-225.23469696969713
51.0,-1440.525
22.0,-1457.525
24.0,-1671.525
48.0,-1466.025
48.0,-1467.525
21.0,-1466.525
5.25,-345.6791666666667
19.5,-1474.525
-136.33076923076925,3309.080102040816
51.0,-1440.525
-607.675,10559.305166195196
-66.25641025641025,3537.2181557377053
-696.6125000000001,10549.733737623767
-286.6166666666667,2870.5538825757567
-231.99728506787332,8114.433737623759
19.0,-1475.525
21.0,-1229.525
48.0,-1467.525
21.0,-1464.025
-236.8235294117647,3990.2924871299856
41.5,-1212.525
-59.45,1191.0750000000007
19.0,-1475.525
-338.6,9167.533737623768
-44.5,2104.380080645162
51.0,-1440.525
-187.63333333333333,3771.0181557377055
24.0,-1363.525
-253.996336996337,4943.4570305164325
23.0,-1447.525
24.0,-1443.525
11.428571428571429,-1278.525
22.0,-1376.525
18.5,-1394.525
51.0,-1440.525
24.0,-1443.525
-82.20814479638008,1455.838333333333
19.0,-1475.525
-182.81730769230768,5244.22787037037
3.5,133.76530303030293
23.0,-1447.525
4.708333333333334,-704.525
62.5,-1130.525
24.0,-1443.525
-813.82,7183.918181818184
24.0,-1442.525
17.333333333333336,-1014.525
-315.64,4296.816071428573
-439.68068181818177,10549.033737623766
-207.2060606060606,4045.410441176471
22.0,-1456.525
-253.0193452380952,5415.423697183094
-221.26375598086122,5225.849581430748
20.0,-1190.3458333333333
45.5,-1476.525
23.0,-1447.525
22.0,-1376.525
18.0,-925.8458333333333
22.0,-1447.525
-244.98253968253968,4999.690363849765
23.0,-1447.525
-240.97474747474746,628.1083333333331
24.0,-1443.525
19.0,-1447.525
53.0,-1186.8458333333333
48.0,-1467.525
-147.85151515151514,3242.38356717687
24.0,-1444.525
-60.060606060606055,1815.780080645162
49.0,-1458.525
-208.6547619047619,3542.6482843137264
43.0,-1010.525
24.0,-1444.525
24.0,-1363.525
20.0,-1232.525
-302.636090225564,5743.648697183094
22.0,-1256.525
45.5,-1476.525
-882.9135802469136,11246.733737623767
50.25,-1319.025
-547.2589763177999,3168.1749999999997
-175.98809523809524,5303.723697183094
23.0,-1367.525
21.0,-1394.525
22.0,-1336.025
19.0,-1475.525
23.0,-1448.525
50.0,-1449.525
21.0,-1464.4416666666668
-301.9419934640523,4646.239285714283
24.0,-1443.525
22.0,-1457.525
16.333333333333336,-1013.525
-290.45000000000005,5873.140882352943
22.0,-1457.525
-2.3571428571428577,-503.06011904761914
22.0,-1456.525
22.0,-1457.525
24.0,-1444.525
13.5,-1217.8458333333333
-81.475,331.0632575757577
49.0,-1458.525
18.5,-1483.525
3.0,-504.5983333333335
39.25,-890.525
-23.75,3276.8989634146346
24.0,-1443.525
23.0,-1443.525
-38.5,589.7226515151516
-79.85,2450.346827956991
23.0,-1447.025
45.5,-1476.525
21.0,-1465.525
-284.59000000000003,6883.295642385665
51.0,-1440.525
19.0,-1474.025
-43.475,1198.18130952381
-200.04761904761907,5741.795125754523
22.0,-1457.525
24.0,-1363.525
22.0,-1457.525
-182.48000000000002,5178.290882352942
-167.0790043290043,5925.273697183094
48.3,-1476.525
51.0,-1440.525
21.0,-1464.025
-34.4,3034.273536414566
54.0,-1440.525
19.0,-1465.525
51.0,-1440.525
24.0,-1443.525
-234.0487394957983,9487.000404290435
19.0,-1475.525
24.0,-1363.525
-569.3793103448276,9169.733737623767
22.0,-1324.525
-1236.8333333333335,9181.433737623767
-371.44841269841265,2244.808333333334
-4.550000000000001,327.8208333333332
24.0,-1197.025
15.75,-1474.525
-159.3028846153846,7951.7992989418035
37.214285714285715,-1046.525
24.0,-1444.525
-17.2,73.52147435897439
-256.3746286393345,6229.031126373623
-222.69117647058823,4475.5181557377055
23.0,-1367.525
24.0,-1443.525
10.976190476190474,-1053.525
48.3,-1476.525
-1211.4,9331.540882352943
44.25,-1347.525
19.0,-1474.025
-197.84166666666667,6002.827870370367
73.0,-1543.525
59.0,-560.3983333333335
-8.666666666666666,-136.72499999999985
16.45,-1625.025
19.5,-1474.525
-64.04,3791.3104411764707
-402.1428571428572,7251.665882352943
24.0,-1444.525
-284.56249999999994,2377.605080645162
24.0,-1444.525
20.0,-1102.525
49.0,-1458.525
22.0,-1447.525
22.0,-1457.525
-534.96,11930.033737623768
49.0,-1458.525
22.0,-1457.525
17.0,-987.025
14.333333333333332,-883.3250000000002
-295.6369047619048,2077.3787500000003
22.0,-1456.525
-5.333333333333334,730.3464285714286
-30.75,2412.3989634146346
65.0,-1279.525
-25.25,-109.07500000000006
50.5,-1458.525
22.0,-1457.525
48.0,-1467.525
24.0,-1443.525
19.0,-1241.525
-111.17147435897435,1288.1072115384618
-104.67261904761907,4390.918155737705
-27.0,1312.3932142857147
22.0,-1456.525
45.5,-1476.525
22.0,-1456.525
-95.51249999999999,3298.410441176471
36.0,-1230.525
-297.4477463712758,5258.725493421053
36.1875,-1015.525
21.0,-1465.525
57.0,-765.8312499999998
24.0,-1444.525
15.615384615384615,-146.95357142857142
21.0,-1385.525
22.0,-1455.025
-223.85119047619045,4487.389584309134
54.0,-1440.525
51.0,-1440.525
20.0,-1228.525
20.0,-1466.525
-327.33306277056283,6535.155555555557
19.5,-1474.525
-12.0,459.23931818181825
-361.2796474358974,3027.180080645162
6.0,-533.1983333333336
-389.4622448979592,9868.405166195196
20.0,-1457.525
50.0,-1449.525
-317.925,7793.733737623759
45.5,-1476.525
139.4,-1431.525
-134.02651515151516,4351.218155737705
52.0,-1000.1749999999997
22.0,-1457.525
51.0,-1440.525
58.0,-569.3983333333335
18.0,-1251.525
34.0,-1376.525
-251.44337606837607,8252.431126373629
12.5,-1139.025
21.0,-1466.525
19.0,-1474.025
24.0,-1443.525
51.0,-1440.525
-154.78024475524475,5587.51530448718
36.0,-1358.525
-407.9666666666667,2504.753030303032
-96.07499999999999,3555.660441176471
51.0,-1440.525
15.9,-1259.525
-352.475,2465.230080645162
-784.3846153846154,11931.233737623767
-540.5785714285713,8033.6486971831055
14.333333333333332,-1036.525
59.0,-560.3983333333335
18.0,-996.525
-140.26190476190476,4875.080555555555
-15.8,3347.4966209349595
12.0,-459.9845238095237
19.0,-1475.525
18.0,-1131.525
23.0,-1448.525
-164.34777777777776,8140.923106060607
47.3,-1485.525
24.0,-1444.525
23.0,-1448.525
-89.78701298701299,4594.423697183098
50.0,-1449.525
49.0,-1458.525
21.0,-1465.525
-563.1846681922195,9061.733737623767
45.5,-1476.525
-56.44230769230769,2524.2989634146347
-27.75,2461.698963414635
17.5,-926.2458333333332
-17.208333333333336,1428.0464285714293
23.0,-1447.525
-59.29,4043.630741869917
-258.74766899766905,1229.5266666666664
23.0,-1202.525
-67.30555555555556,2937.448963414635
19.0,-1465.525
41.3,-1261.525
24.0,-1443.525
49.0,-1458.525
-417.3560606060606,5059.58958430913
48.0,-1467.525
-122.11363636363636,1215.9096153846144
-383.3509316770186,6205.600268817209
13.0,-998.508333333333
50.0,-1449.525
-175.4047619047619,4707.0181557377055
-5.5,1617.9730952380946
-103.94852941176471,2825.258360389611
22.0,-1533.525
21.0,-1336.525
-637.5555555555555,2910.008360389611
22.0,-1376.525
-13.216666666666669,84.65721153846155
-331.73181818181814,11931.233737623767
52.0,-1458.525
43.0,-1010.525
24.0,-1443.525
115.0,-1125.1750000000006
-201.86111111111111,2567.0501501501494
-298.49444444444447,4073.2931818181805
23.0,-1448.525
19.0,-1475.525
-320.018045112782,5461.683826754386
-256.86231884057975,3927.002080745343
-183.46249999999998,3551.1437745098046
4.333333333333334,-723.0601190476189
23.0,-1447.525
51.0,-1440.525
-53.35714285714286,3768.277107843138
24.0,-1444.525
24.0,-1444.525
17.333333333333336,-894.525
-21.5,3682.75856717687
24.0,-1443.525
49.0,-1458.525
-34.07142857142857,-98.64166666666665
19.5,-1474.525
16.333333333333336,-753.025
-251.49358974358975,2316.5429487179504
-97.61666666666667,904.0158088235294
51.0,-1440.525
-70.23333333333333,655.792948717949
37.0,-1358.525
19.5,-1474.525
50.0,-1449.525
60.0,-973.1749999999997
-114.88571428571427,1913.617051282052
18.5,-1483.525
23.0,-1524.525
1.75,-224.325
-33.75,3187.5989634146345
11.761904761904761,-1045.525
18.0,-1131.525
21.0,-1466.525
-212.3857142857143,6415.333737623764
-21.666666666666664,2111.680080645162
-439.68068181818177,10549.033737623766
-305.01764705882357,8440.767070957094
-305.775,8137.191087962963
-8.333333333333334,-326.06011904761914
45.5,-1476.525
-819.4916666666667,261.3791666666666
21.0,-1229.525
-86.66666666666666,92.75833333333335
24.0,-1443.525
-42.88095238095239,1932.0468279569898
22.0,-1376.525
-158.35714285714283,10769.991087962964
-61.34090909090909,3002.2418205574922
22.0,-1524.525
-1002.92,11929.633737623768
43.0,-1037.525
-84.15238095238094,4318.9181818181805
48.3,-1476.525
36.0,-1358.525
19.0,-1474.525
21.0,-1466.525
-410.84642857142853,8541.94569597069
-366.29285714285714,3378.4989634146345
45.5,-1476.525
12.666666666666666,-1295.8458333333335
-169.13741987179486,4589.218155737705
-46.0,2046.5362612612603
-31.333333333333336,1822.980080645162
21.0,-1466.525
-302.07500000000005,5805.993181818184
24.0,-1444.525
138.4,-1611.525
23.0,-1447.525
50.0,-1449.525
19.0,-1475.525
51.0,-1440.525
-481.49102564102566,4756.078749999999
22.0,-1456.525
-0.8000000000000007,1873.8250000000016
24.0,-1444.525
72.0,-55.092788461538476
22.0,-1533.525
24.0,-1444.525
48.0,-1467.525
17.75,-1475.525
-168.21638655462186,3253.6115306122447
-12.916666666666666,439.51580882352937
18.0,-1251.525
-259.56666666666666,4257.810441176471
-22.200000000000003,3133.0104411764714
51.0,-1440.525
19.0,-1475.525
-31.0,2036.9800806451617
44.25,-1123.525
7.0,-448.58452380952366
22.0,-1457.525
-507.29999999999995,9868.733737623767
23.0,-1444.525
17.0,-1224.525
51.0,-1440.525
19.5,-1474.525
-321.88461538461536,7428.872408536587
24.0,-1363.525
-67.38888888888889,3069.8989634146346
22.0,-1456.525
31.0,-1394.525
24.0,-1363.525
24.0,-1443.525
24.0,-1443.525
15.6,-1260.525
18.0,-1093.025
54.2,-1006.525
-201.30634920634924,6862.233737623759
-35.833333333333336,3523.318155737705
21.0,-1466.525
21.0,-1465.525
-137.92000000000002,3999.171666666664
43.25,-1105.525
18.0,-1081.8458333333333
-268.78452380952376,6813.694537037035
-132.4027777777778,1596.3528293135435
-140.13203463203462,4006.618155737705
50.0,-1449.525
24.0,-1444.525
-66.10714285714286,253.04294871794912
76.0,-1280.8458333333335
50.5,-1458.525
