member_0,member_1
,-inf
,-inf
-inf,-137.0
,-inf
,-inf
,-inf
,-inf
,-inf
,-inf
-inf,5.0
,-49.0
,-inf
,-inf
,-inf
,-inf
,-inf
-inf,7.0
,-inf
-inf,4.0
-inf,27.0
-inf,-106.0
,-inf
-inf,84.0
,-150.0
-inf,79.0
,-inf
,-inf
,-inf
,-6.0
-inf,163.0
-inf,8.0
,-inf
-inf,-137.0
-inf,8.0
,-150.0
,-inf
,-inf
,-inf
,-inf
,47.0
,-inf
,-150.0
,-150.0
,-inf
,-inf
-inf,73.0
,-203.0
-inf,119.0
,114.0
,-inf
,-inf
,-inf
-inf,34.0
,-inf
,63.0
,-inf
-inf,71.0
,-inf
,-inf
-inf,-134.0
,-inf
,-inf
-inf,36.0
,-inf
,66.0
,-inf
-inf,71.0
-inf,105.0
,-inf
,-inf
,-inf
,-inf
,-inf
,-inf
,-inf
-inf,1.0
-inf,73.0
,-inf
,-inf
,-inf
,-150.0
-inf,44.0
,-inf
,-inf
,-138.0
,-inf
,-74.0
,-inf
-inf,1.0
-inf,1.0
,-202.0
,-inf
,-inf
,-138.0
,-inf
,-inf
,-inf
-inf,6.0
,-inf
,-inf
-inf,-14.0
,-inf
,-inf
,-inf
,-210.0
,-inf
,49.0
-inf,5.0
,-inf
,-150.0
,-inf
,-inf
,-inf
-inf,27.0
,-inf
-inf,64.0
,-inf
-inf,8.0
,-inf
,-inf
-inf,-70.0
,117.0
,-inf
,-150.0
,-inf
,-inf
-inf,-137.0
-inf,0.0
-inf,119.0
-inf,-110.0
,-inf
-inf,119.0
,-150.0
,-inf
,-inf
-inf,5.0
,1.0
,-inf
,-inf
-inf,50.0
,-inf
,-inf
,-inf
,-inf
,-inf
,-138.0
,-inf
,-inf
,-209.0
-inf,70.0
-inf,70.0
,-inf
-inf,62.0
-inf,-137.0
,-inf
,-inf
-inf,71.0
,-inf
,-inf
-inf,114.0
,-inf
-inf,70.0
-inf,65.0
,-inf
,-inf
-inf,119.0
,-inf
-28.0,120.0
,-49.0
,-inf
-inf,-134.0
,-inf
,-inf
,-inf
,-inf
,10.0
-inf,74.0
,-inf
-inf,2.0
-inf,74.0
,-204.0
,-inf
-inf,160.0
-inf,39.0
-inf,4.0
,-inf
