member_0,member_1
,-inf
,-inf
-416.6666666666667,-25.0
-inf,-inf
,-12.0
-393.3333333333333,-17.0
1692.0,-inf
,-0.33333333333333304
,-7.0
-inf,-6.5
607.25,-inf
,0.0
,-inf
222.20833333333198,-34.5
,-4.5
,inf
,inf
,-inf
1692.0,-inf
-415.53333333333273,-2.380952380952381
181.9833333333333,-2.4117647058823533
,-15.25
,-inf
,
,-2.5
,-4.166666666666666
,-inf
,-3.7142857142857144
,-15.25
,-2.1666666666666665
,0.6190476190476191
,inf
,-inf
-inf,-inf
,-31.0
,-8.25
-inf,-15.25
,-4.615384615384615
222.20833333333198,-34.5
,-8.25
-671.5,
,-8.25
,-8.25
inf,-4.409090909090909
,-inf
-416.6666666666667,-25.0
,-inf
,-inf
,-inf
inf,-4.909090909090909
,-8.25
,inf
,-8.047619047619047
,inf
-inf,-inf
-inf,-6.5
,-15.25
,-4.166666666666666
607.25,-inf
,-5.5
-inf,-inf
