member_0,member_1,member_2,member_3,member_4
0,9,0,5,3
0,9,4,4,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,3,3
0,9,0,5,2
0,9,0,5,3
0,9,4,4,3
0,9,0,5,3
0,9,4,5,3
4,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
5,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,8,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,3
0,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
4,9,3,3,2
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
4,9,0,4,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,3,3
0,9,4,5,2
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,3,3,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,2
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,3,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,2
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,8,5,3
4,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
4,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
4,9,3,3,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
5,9,8,5,3
5,9,8,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,4,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,2
0,9,0,5,3
0,9,0,5,3
0,9,0,5,2
0,9,0,5,3
0,9,4,5,3
0,9,0,3,3
5,9,0,5,3
0,9,4,5,3
4,9,3,3,3
0,9,4,5,3
4,9,3,4,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
5,9,0,3,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,7,5,3
5,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,7,5,2
0,9,0,5,3
0,9,0,5,2
5,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,3,3
0,9,0,5,2
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,3,3
0,9,0,5,3
4,9,4,5,3
0,9,0,5,2
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,3
0,9,0,5,2
4,9,0,5,3
0,9,0,5,3
0,9,0,4,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,2
0,9,0,5,3
5,9,8,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,4,5,3
0,9,4,5,3
4,9,4,4,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
5,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,8,5,3
0,9,0,5,2
5,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,2
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,3
0,9,4,5,3
5,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
5,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,2
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
4,9,3,3,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,4,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,3,3,3
0,9,0,5,2
0,9,3,3,3
5,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,2
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,2
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
4,9,3,3,3
0,9,4,3,2
0,9,0,5,3
5,9,8,5,3
0,9,4,5,3
5,9,8,5,3
4,9,3,3,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
4,9,3,3,3
5,9,8,5,3
0,9,3,3,3
4,9,3,3,3
0,9,4,5,3
5,9,8,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
4,9,3,4,3
0,9,0,5,3
4,9,3,3,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
5,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,2
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,4,3
0,9,0,5,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,7,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
4,9,3,3,3
5,9,0,5,3
0,9,0,5,3
0,9,0,3,3
0,9,4,5,3
0,9,4,5,3
0,9,0,5,2
5,9,8,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,3,3
5,9,0,5,3
0,9,4,5,3
0,9,0,3,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
5,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
0,9,0,5,3
5,9,0,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
0,9,0,5,3
0,9,4,5,3
5,9,0,5,3
5,9,0,5,3
0,9,4,5,3
0,9,0,5,3
