member_0,member_1,member_2,member_3,member_4
7,0,0,3,2
0,0,1,4,2
1,6,4,2,2
7,6,1,3,2
7,5,1,3,2
7,6,1,3,2
1,6,4,2,2
0,0,1,4,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
0,0,0,3,2
0,0,0,3,2
1,6,4,3,2
0,0,1,4,2
7,5,1,3,2
0,0,0,3,2
7,5,1,3,2
0,0,0,3,2
0,0,0,3,2
0,0,0,3,2
0,0,1,4,2
7,5,1,3,2
7,0,1,4,2
0,6,0,3,2
1,6,4,2,2
3,6,1,3,2
0,0,1,4,2
0,0,0,3,2
0,0,0,3,2
1,6,4,2,2
7,5,1,3,2
0,0,0,3,2
0,0,0,3,2
0,0,1,3,2
1,6,4,2,2
1,6,4,2,2
0,0,1,4,2
0,0,0,3,2
1,6,4,2,2
0,0,0,4,2
1,6,4,2,2
0,0,1,4,2
0,0,1,4,2
1,6,4,3,2
0,0,0,4,2
0,6,1,3,2
0,0,1,4,2
0,0,0,3,2
1,6,4,3,2
1,6,4,2,2
0,0,1,4,2
1,6,4,2,2
0,0,0,3,2
1,6,4,2,2
0,0,0,4,2
1,6,4,2,2
7,5,1,3,2
0,0,0,3,2
0,0,0,4,2
1,6,4,2,2
7,6,1,3,2
1,6,4,2,2
7,5,0,3,2
7,5,1,3,2
7,5,1,4,2
1,6,4,2,2
7,5,0,3,2
7,0,1,3,2
1,6,4,2,2
0,6,0,3,2
0,0,1,4,2
7,6,1,3,2
7,5,1,3,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
0,0,0,3,2
0,0,0,3,2
1,6,4,2,2
7,5,1,3,2
0,0,1,4,2
7,5,0,3,2
0,0,0,3,2
7,5,0,3,2
1,6,4,3,2
1,6,4,2,2
7,5,1,3,2
0,0,0,4,2
1,6,4,2,2
0,0,1,4,2
0,0,1,4,2
1,6,4,3,2
7,6,1,3,2
0,0,1,4,2
0,0,0,3,2
7,5,1,3,2
1,6,4,2,2
0,0,1,4,2
0,0,0,4,2
1,6,4,2,2
0,0,0,3,2
1,6,4,2,2
0,0,1,4,2
7,6,1,3,2
1,6,4,2,2
1,6,4,2,2
0,0,0,4,2
7,5,0,3,2
7,5,0,3,2
0,0,0,3,2
0,0,0,3,2
1,6,4,2,2
0,0,1,4,2
0,0,0,4,2
7,5,1,3,2
0,0,0,3,2
0,0,1,4,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
0,0,0,3,2
1,6,4,2,2
0,0,1,3,2
0,6,0,3,2
1,6,4,2,2
4,6,7,3,2
0,0,0,3,2
7,5,0,3,2
1,6,4,3,2
1,6,4,2,2
7,5,0,3,2
0,0,1,4,2
1,6,4,2,2
7,5,1,3,2
0,0,1,4,2
1,6,4,2,2
1,6,4,3,2
0,0,0,4,2
0,0,0,4,2
7,5,1,3,2
1,6,4,2,2
7,5,1,3,2
0,6,1,3,2
7,6,1,3,2
1,6,4,2,2
7,5,1,4,2
0,0,1,4,2
0,0,1,4,2
0,0,0,4,2
0,6,1,3,2
0,6,1,3,2
7,6,1,3,2
7,5,0,3,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
0,0,0,4,2
0,0,0,4,2
7,0,0,3,2
0,0,0,3,2
1,6,4,2,2
1,6,4,2,2
0,0,0,4,2
7,6,1,3,2
7,0,1,4,2
7,0,1,3,2
7,6,1,3,2
0,0,0,3,2
0,0,1,4,2
0,0,0,4,2
0,0,0,4,2
1,6,4,3,2
0,0,1,3,2
1,6,4,2,2
0,0,0,3,2
7,5,1,3,2
1,6,4,2,2
1,6,4,2,2
0,0,1,4,2
0,0,1,4,2
1,6,4,2,2
1,6,4,2,2
1,6,4,3,2
0,6,1,3,2
7,5,1,3,2
0,0,0,4,2
1,6,4,2,2
0,0,1,4,2
0,0,1,4,2
7,5,1,3,2
1,6,4,2,2
7,6,1,3,2
1,6,4,2,2
7,0,0,3,2
1,6,4,3,2
2,0,1,3,2
0,0,1,4,2
0,0,1,4,2
1,6,4,2,2
0,0,0,4,2
0,6,1,3,2
0,0,0,4,2
0,0,0,4,2
0,0,1,4,2
1,6,4,2,2
0,0,0,3,2
0,0,1,4,2
7,5,0,3,2
0,0,0,4,2
7,0,0,3,2
0,0,1,4,2
1,6,4,2,2
1,6,4,2,2
0,0,0,4,2
0,0,0,3,2
7,6,1,3,2
7,5,1,3,2
0,0,1,4,2
0,0,1,4,2
0,0,1,4,2
1,6,4,2,2
0,0,1,4,2
1,6,4,2,2
0,0,1,4,2
7,5,1,3,2
1,6,4,2,2
1,6,4,2,2
1,6,4,2,2
0,0,0,3,2
0,0,1,4,2
7,5,1,3,2
