member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,264.41313076019287,0.8032786885245902,0.5294117647058824,0.9090909090909091,-1,-1,-1,-1
True,False,0,264.41313076019287,0.6666666666666666,0.2857142857142857,0.8,-1,-1,-1,-1
False,True,0,1.1920928955078125e-06,0.8032786885245902,0.5294117647058824,0.9090909090909091,-1,-1,-1,-1
False,False,0,1.1920928955078125e-06,0.6666666666666666,0.2857142857142857,0.8,-1,-1,-1,-1
True,True,169,389.28427290916443,0.8360655737704918,0.7058823529411765,0.8863636363636364,-1,-1,-1,-1
True,False,169,389.28427290916443,0.7407407407407407,0.42857142857142855,0.85,-1,-1,-1,-1
False,True,169,7.152557373046875e-07,0.8360655737704918,0.7058823529411765,0.8863636363636364,-1,-1,-1,-1
False,False,169,7.152557373046875e-07,0.7407407407407407,0.42857142857142855,0.85,-1,-1,-1,-1
True,True,338,237.8536388874054,0.819672131147541,0.7647058823529411,0.8409090909090909,-1,-1,-1,-1
True,False,338,237.8536388874054,0.48148148148148145,0.42857142857142855,0.5,-1,-1,-1,-1
False,True,338,1.1920928955078125e-06,0.819672131147541,0.7647058823529411,0.8409090909090909,-1,-1,-1,-1
False,False,338,1.1920928955078125e-06,0.48148148148148145,0.42857142857142855,0.5,-1,-1,-1,-1
True,True,507,283.61062359809875,0.9180327868852459,0.7647058823529411,0.9772727272727273,-1,-1,-1,-1
True,False,507,283.61062359809875,0.5185185185185185,0.42857142857142855,0.55,-1,-1,-1,-1
False,True,507,1.430511474609375e-06,0.9180327868852459,0.7647058823529411,0.9772727272727273,-1,-1,-1,-1
False,False,507,1.430511474609375e-06,0.5185185185185185,0.42857142857142855,0.55,-1,-1,-1,-1
True,True,676,238.52740383148193,0.8524590163934426,0.7647058823529411,0.8863636363636364,-1,-1,-1,-1
True,False,676,238.52740383148193,0.5185185185185185,0.14285714285714285,0.65,-1,-1,-1,-1
False,True,676,1.1920928955078125e-06,0.8524590163934426,0.7647058823529411,0.8863636363636364,-1,-1,-1,-1
False,False,676,1.1920928955078125e-06,0.5185185185185185,0.14285714285714285,0.65,-1,-1,-1,-1
True,True,845,236.57262778282166,0.9016393442622951,0.8823529411764706,0.9090909090909091,-1,-1,-1,-1
True,False,845,236.57262778282166,0.5555555555555556,0.7142857142857143,0.5,-1,-1,-1,-1
False,True,845,1.1920928955078125e-06,0.9016393442622951,0.8823529411764706,0.9090909090909091,-1,-1,-1,-1
