member_0,member_1,member_2,member_3,member_4
6,0,9,4,5
7,9,8,4,5
7,0,8,3,5
7,0,8,3,6
7,9,8,7,4
6,0,8,7,6
7,0,8,3,6
7,9,8,7,6
7,9,8,7,6
7,0,9,7,6
6,0,8,7,5
6,0,8,7,5
6,0,9,7,5
6,0,9,4,5
6,0,9,7,5
7,9,8,7,7
6,9,8,7,6
6,0,9,4,6
7,0,8,3,6
6,9,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,3,5
7,0,8,3,5
7,9,8,3,6
7,0,8,3,6
7,0,9,4,6
7,0,8,3,6
7,9,8,7,6
7,0,8,7,6
6,9,8,7,6
7,0,8,3,6
6,0,9,4,5
7,0,8,3,6
6,0,8,7,5
7,0,8,3,5
7,9,8,7,6
7,0,8,3,5
7,0,8,3,6
7,0,8,4,5
7,9,8,7,6
7,0,8,7,6
6,0,8,7,5
7,0,8,7,5
7,9,8,7,6
6,0,9,7,5
6,9,8,7,5
7,0,8,7,6
6,9,8,7,6
7,9,8,7,6
7,0,9,4,6
7,9,8,7,6
6,0,9,7,5
7,0,8,7,6
7,9,8,7,6
6,0,9,7,5
7,0,8,3,5
7,0,9,4,6
7,0,8,3,5
7,9,8,7,5
7,0,8,7,6
7,9,8,4,6
6,9,8,7,6
7,9,8,7,5
6,0,9,4,5
7,0,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,7,6
7,9,8,3,6
7,9,8,7,6
7,0,8,3,5
6,9,8,7,6
7,7,8,7,6
6,9,8,7,6
7,0,9,7,6
7,9,8,4,5
7,9,8,7,6
7,0,8,7,6
7,9,8,7,5
7,0,9,4,5
6,9,8,7,6
6,9,8,7,6
7,0,9,4,6
7,0,8,7,6
6,0,8,7,6
6,9,8,7,6
7,0,9,4,5
7,0,9,4,6
7,0,8,3,5
7,0,8,7,6
6,9,8,7,5
6,0,9,7,5
6,9,8,7,6
6,0,9,4,5
6,0,8,7,6
7,9,8,7,5
7,9,8,7,8
6,0,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,7,5
7,0,8,3,6
6,9,8,7,6
6,0,9,7,5
7,0,8,7,6
6,0,9,7,5
6,9,8,7,6
7,9,8,7,5
7,9,8,7,5
6,9,8,7,6
6,0,8,7,5
7,0,8,7,6
6,0,9,7,5
6,9,8,7,6
7,9,8,7,4
7,0,8,3,6
7,9,8,7,6
7,9,8,7,6
6,9,8,7,6
7,0,8,7,5
7,0,8,3,6
7,9,8,7,5
7,9,8,7,6
7,9,8,7,5
6,9,8,7,6
7,9,8,7,5
7,9,8,7,5
6,9,8,7,6
7,9,8,7,6
7,0,8,3,6
6,9,8,4,6
7,0,8,3,5
6,0,9,4,5
6,9,8,7,6
6,0,9,4,5
7,0,9,7,6
7,0,8,7,6
6,0,9,4,5
6,9,8,7,6
7,0,9,4,6
7,9,8,7,6
7,0,8,3,6
6,9,8,7,6
7,9,8,7,5
7,9,8,7,6
6,0,8,7,5
6,0,8,7,5
7,0,8,3,6
6,9,8,7,5
6,9,8,7,6
6,9,8,7,6
7,0,8,3,5
7,0,9,4,6
6,9,8,7,5
6,0,8,4,6
6,0,8,7,6
7,0,8,4,6
7,0,8,3,6
7,0,9,4,6
7,0,8,7,5
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
7,0,9,7,5
6,9,8,7,6
7,9,8,7,5
7,0,8,7,6
6,0,8,7,6
7,0,8,3,6
7,0,8,7,6
7,9,8,3,5
6,9,8,7,6
7,9,8,3,5
7,0,8,3,5
6,9,8,7,6
6,9,8,7,6
7,0,8,3,6
7,0,8,3,6
7,9,8,7,6
7,0,8,3,5
6,0,8,7,5
6,0,9,7,5
7,9,8,7,6
7,0,8,3,6
7,0,8,3,6
6,9,8,7,6
6,9,8,7,4
7,0,8,3,6
7,0,8,3,6
7,0,8,3,6
6,9,8,7,6
6,9,8,7,6
7,0,8,3,6
6,0,8,7,6
7,9,8,7,6
7,0,9,7,6
7,0,8,7,6
7,0,8,7,6
7,0,8,7,5
6,0,9,7,5
6,9,8,7,6
7,0,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,7,6
7,9,8,7,7
7,9,8,7,6
6,9,8,7,6
6,0,9,7,5
6,9,8,7,6
7,0,8,3,6
7,9,8,4,6
6,9,8,7,6
6,0,8,7,5
7,9,8,7,5
6,0,9,7,6
6,0,8,3,5
7,9,8,7,9
7,0,8,7,6
7,9,8,7,5
7,0,9,4,6
6,9,8,4,6
6,9,9,4,5
7,9,8,7,6
7,0,8,7,5
7,0,8,3,5
6,0,9,7,5
7,0,8,3,5
7,0,8,7,6
7,0,8,3,6
6,0,9,7,6
7,0,9,7,6
7,0,8,3,5
6,9,8,7,6
7,9,8,7,6
6,0,8,7,5
7,0,9,3,5
6,0,9,7,5
7,0,8,3,5
7,0,9,7,6
6,9,8,7,6
6,0,9,7,5
6,9,9,4,5
6,0,8,7,5
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
7,9,8,7,5
7,0,8,3,6
7,0,9,4,6
6,9,8,7,6
6,9,8,7,6
7,0,8,7,6
6,0,9,7,5
7,0,8,7,5
7,0,8,3,5
6,0,8,7,5
6,9,8,7,5
6,9,8,7,6
7,0,8,7,5
6,9,8,7,6
7,0,8,3,6
7,0,8,3,6
7,0,8,3,6
7,0,8,3,6
6,0,8,7,5
6,9,8,7,6
7,9,8,7,5
7,0,8,7,6
7,9,8,7,6
7,0,8,3,6
7,9,8,7,5
7,9,8,7,5
6,0,8,7,5
6,9,8,7,6
6,9,8,7,6
7,0,8,3,6
7,0,8,3,6
7,0,9,4,6
7,0,8,3,6
6,9,8,7,6
7,0,8,7,5
7,9,8,7,6
6,9,8,7,6
6,9,8,7,5
7,9,8,7,6
7,9,8,7,5
7,9,8,7,5
6,1,8,7,5
7,0,8,7,6
6,0,8,4,5
7,0,8,7,5
7,9,8,7,5
6,0,9,7,5
6,0,8,4,6
6,9,8,7,6
7,0,8,3,6
7,9,8,7,6
6,0,9,7,6
7,0,8,7,6
7,0,8,3,6
6,9,8,7,7
7,9,8,3,6
7,9,8,7,8
7,0,8,3,6
6,9,8,7,4
7,0,8,3,6
6,9,8,7,6
7,0,8,3,6
6,9,8,7,6
7,0,8,7,5
6,0,9,7,5
7,0,8,7,6
7,9,8,7,6
7,0,8,3,6
7,0,8,3,6
7,0,8,7,6
7,9,8,7,5
7,0,8,7,6
6,0,9,7,5
6,0,8,7,5
7,0,8,7,6
7,0,8,3,6
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
6,0,8,7,6
7,0,8,7,5
7,0,9,7,6
7,0,8,7,5
7,0,9,7,5
7,0,8,7,5
7,0,8,7,6
7,0,8,7,5
6,0,8,7,6
7,9,8,7,5
7,9,8,7,6
6,0,9,4,5
6,9,8,7,6
6,9,8,7,6
7,0,8,3,6
6,0,8,7,5
6,9,8,7,6
7,0,8,7,6
6,9,8,7,6
7,0,9,4,6
7,9,8,7,5
6,9,8,7,6
6,9,8,7,6
7,9,8,7,6
6,0,8,7,5
6,0,9,7,5
7,0,8,3,5
7,0,8,7,6
7,0,8,7,6
7,0,8,3,5
6,0,9,7,6
6,0,8,7,5
7,0,8,4,5
7,0,8,3,5
6,0,8,3,5
7,9,8,7,5
6,0,8,7,5
7,0,8,3,6
7,0,8,7,6
7,0,8,3,5
6,9,8,7,6
7,0,8,3,5
6,9,8,7,6
7,9,8,3,5
7,0,9,7,6
7,0,8,3,6
7,0,8,7,6
7,9,8,7,6
7,9,8,7,6
6,9,8,7,6
7,0,8,3,5
6,0,8,7,5
7,0,8,3,6
6,0,9,4,5
7,5,8,7,0
7,0,8,3,6
6,0,8,7,6
6,0,9,7,5
7,0,8,3,6
6,9,8,7,6
7,0,8,7,6
7,0,8,7,6
7,0,8,7,6
7,0,8,3,6
6,9,8,7,6
7,0,9,4,5
7,0,9,7,6
7,0,8,3,5
7,0,8,3,5
7,0,8,7,6
7,0,8,3,5
7,0,8,3,5
6,0,9,7,5
7,9,8,7,5
7,9,8,7,5
7,0,9,7,5
7,0,8,4,5
6,0,9,7,6
6,0,8,7,6
7,0,8,3,6
6,0,9,7,5
7,9,8,7,5
7,0,8,3,6
6,0,8,7,6
7,9,8,7,5
6,0,9,7,5
6,1,8,7,6
7,0,8,3,6
6,0,9,4,5
6,0,9,7,5
7,9,8,7,6
6,9,8,7,6
7,9,8,7,6
7,0,8,7,6
7,9,8,7,6
6,9,8,7,6
7,0,8,3,6
6,0,8,7,5
6,0,8,4,6
6,9,8,7,6
7,0,8,7,5
7,0,8,3,6
6,0,9,7,5
6,0,8,7,5
7,9,8,7,5
7,9,8,7,6
7,9,8,7,8
7,0,8,3,5
7,0,8,7,6
7,0,9,7,6
7,9,8,7,0
6,0,8,4,6
6,9,8,7,6
6,9,8,7,6
7,9,8,7,6
6,9,8,7,6
6,9,8,7,6
7,0,8,7,6
7,9,8,7,6
7,0,8,3,5
7,0,8,7,6
7,0,8,3,6
7,0,8,3,5
7,9,8,7,6
6,0,8,4,6
6,0,9,7,5
7,0,8,3,6
6,9,8,7,6
6,9,8,7,6
6,0,9,7,5
6,0,8,7,6
6,0,8,7,6
6,9,8,7,6
7,0,8,7,6
7,0,8,3,6
6,9,8,7,5
6,9,8,7,6
6,0,9,4,5
7,0,8,7,5
7,8,8,4,6
7,0,8,4,6
7,0,8,3,6
7,0,8,3,6
6,9,8,7,6
7,9,8,4,5
7,0,9,4,6
7,9,8,4,5
7,0,9,4,6
6,0,9,7,5
7,0,8,7,6
7,0,8,3,5
7,0,8,3,6
7,0,8,7,6
7,9,8,7,5
7,0,8,7,5
6,0,9,7,5
6,9,8,7,6
6,0,9,7,5
6,0,8,7,5
6,9,8,7,5
7,9,8,7,6
7,9,8,7,6
6,0,8,7,5
7,0,8,7,6
6,9,8,7,6
7,9,8,7,8
6,0,8,4,6
7,9,8,7,6
7,0,8,7,5
6,0,9,7,5
7,9,8,7,6
7,0,8,7,5
7,9,8,7,8
7,0,8,7,6
6,0,8,7,5
7,0,9,4,6
6,9,8,7,6
6,9,8,7,6
7,0,8,7,5
7,9,8,7,6
6,0,8,7,6
6,0,8,7,5
7,0,8,3,5
7,9,8,7,5
6,0,9,7,5
7,0,8,3,5
6,9,8,7,6
6,0,8,7,5
7,0,8,7,6
6,0,8,4,5
6,9,8,7,6
7,0,8,7,6
7,0,9,4,5
7,0,8,7,6
7,0,9,4,6
7,0,9,4,6
7,0,8,3,5
7,9,8,3,5
6,0,9,7,5
7,0,9,7,6
7,9,8,7,6
7,9,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,3,6
7,9,8,7,6
7,0,8,3,6
7,0,9,7,6
6,9,8,7,6
7,0,8,4,6
7,0,8,3,5
7,9,8,7,5
6,9,8,7,6
6,0,8,7,5
6,9,8,7,5
6,9,8,7,6
7,9,8,7,5
7,0,8,3,6
6,9,8,7,5
7,9,8,7,7
6,9,8,7,5
6,0,9,7,5
7,9,8,7,6
7,0,8,7,6
6,9,8,7,6
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
6,0,9,7,5
6,9,8,4,6
6,0,8,7,5
7,0,8,3,5
7,0,8,3,5
7,0,9,4,5
6,0,8,7,6
6,0,8,7,5
6,2,8,7,5
6,9,8,7,6
7,0,9,7,6
7,9,8,4,5
6,0,8,7,5
7,0,8,3,5
7,0,8,3,6
7,9,8,7,5
6,9,8,7,6
6,9,8,7,6
6,9,8,4,6
7,0,8,7,6
7,0,8,7,6
6,0,9,4,5
7,0,9,7,6
7,0,8,3,5
6,0,9,4,5
7,9,8,7,6
7,9,8,3,6
7,9,8,7,6
6,9,8,7,6
6,9,8,7,6
6,0,8,4,6
7,0,8,3,6
7,0,8,7,6
7,0,8,3,6
7,9,8,7,6
7,9,8,7,6
7,0,8,3,6
7,9,8,7,5
7,0,8,3,5
6,9,8,7,6
7,0,8,7,6
6,9,8,7,5
7,9,8,7,5
7,0,8,3,6
6,9,8,7,6
7,9,8,7,6
7,9,8,7,5
7,0,8,7,6
7,0,8,3,6
7,0,8,3,5
7,9,8,3,5
6,9,8,7,6
6,9,8,7,6
7,0,8,7,6
7,9,8,7,5
7,9,8,7,6
7,0,8,3,5
7,0,8,7,5
6,9,8,7,5
7,0,8,3,6
6,9,8,7,6
7,0,8,7,6
7,0,8,3,6
6,9,8,7,6
7,0,8,7,6
7,9,8,7,9
7,0,8,4,5
7,9,8,7,6
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
6,9,8,7,6
7,9,8,7,6
7,0,8,3,6
7,9,8,7,7
6,0,9,7,5
7,9,8,7,6
7,9,8,7,5
7,0,9,4,6
7,0,8,7,5
7,9,8,3,5
7,0,8,7,6
7,0,8,3,6
7,0,8,3,5
7,0,8,7,6
7,9,8,7,6
6,0,9,7,5
6,9,8,7,6
7,0,8,3,6
7,0,8,3,6
7,0,9,4,6
7,0,8,3,6
7,9,8,7,6
7,0,9,4,5
7,0,8,7,5
7,0,8,3,6
7,9,8,7,5
6,0,9,7,5
6,9,8,7,6
7,9,8,7,6
7,9,8,7,7
6,9,8,7,6
7,0,8,3,5
7,0,8,7,6
7,0,8,7,5
7,9,8,7,5
7,0,8,7,5
7,9,8,7,4
6,9,8,7,6
6,0,9,4,5
7,0,8,3,5
6,0,9,7,5
7,9,8,7,5
7,0,9,4,6
7,0,8,7,6
7,0,9,4,5
7,0,8,7,5
6,0,9,4,5
6,9,8,7,6
7,0,8,7,6
7,0,8,3,6
7,0,8,7,6
6,0,8,3,5
7,9,8,7,5
7,0,8,7,6
7,0,8,7,6
7,9,8,7,5
6,0,9,7,5
7,0,9,7,6
6,0,9,7,5
7,0,8,3,6
6,0,9,7,5
7,9,8,7,6
7,0,8,7,5
7,0,9,7,6
7,0,8,3,5
6,9,8,7,6
7,9,8,7,6
6,0,9,4,5
6,9,9,4,5
6,9,8,7,6
7,9,8,7,6
7,9,8,7,7
7,9,8,7,5
6,9,8,7,6
7,9,8,7,5
7,9,8,4,6
6,0,8,7,5
6,9,8,7,6
6,9,8,7,6
6,9,8,7,6
6,0,9,7,5
6,9,8,7,5
7,9,8,7,6
7,9,8,7,5
6,9,8,7,6
7,8,8,7,5
7,0,9,4,5
6,9,8,7,6
7,9,8,7,5
6,9,8,7,6
6,9,8,7,6
6,0,9,7,5
6,0,9,7,5
7,9,8,7,9
7,0,8,4,5
7,9,8,7,5
7,9,8,7,6
7,0,8,3,6
6,0,9,4,5
6,7,8,7,6
7,0,8,7,6
6,9,8,7,6
7,0,8,7,5
6,1,9,4,5
6,0,9,7,5
7,0,8,3,6
7,9,8,7,5
7,8,8,7,6
6,9,8,7,6
7,9,8,7,2
6,9,8,7,6
7,0,8,3,6
7,8,8,3,6
6,9,8,7,6
7,0,8,3,6
6,0,8,7,5
7,9,8,7,7
7,0,9,4,5
6,9,8,7,6
7,0,8,3,5
7,0,8,3,5
7,0,8,7,6
6,0,9,4,6
7,0,8,3,6
7,0,8,7,6
7,0,8,7,5
7,9,8,7,6
7,0,8,3,5
7,0,8,3,6
7,9,8,7,7
7,9,8,7,6
7,9,8,7,4
6,0,9,7,5
7,0,8,3,5
7,0,8,7,5
7,9,8,7,3
6,0,8,7,5
6,0,9,4,5
6,9,8,7,6
7,9,8,7,6
7,0,8,3,6
7,0,8,7,6
6,9,8,7,5
7,0,8,3,5
6,9,8,7,6
6,0,9,7,5
7,0,8,7,5
7,9,8,7,9
6,0,9,7,6
7,0,8,7,6
7,0,8,3,6
6,0,8,7,6
7,0,8,3,6
6,0,9,4,5
7,0,8,3,6
6,9,8,7,6
7,9,8,7,6
6,0,9,7,5
7,9,8,7,4
7,0,9,3,5
7,0,8,7,5
6,0,8,7,5
7,9,8,7,6
7,0,9,4,6
7,0,8,3,6
7,0,8,3,6
6,0,9,7,5
6,9,8,7,6
7,9,8,7,8
6,9,8,7,5
6,9,8,7,5
7,0,8,3,5
6,0,9,7,5
6,0,9,4,5
7,0,9,4,6
7,9,8,7,5
7,9,8,7,6
6,0,8,7,6
7,9,8,3,6
7,9,8,7,5
7,9,8,7,5
7,0,8,3,5
6,9,8,7,6
7,0,9,4,5
7,0,8,3,6
7,0,8,3,5
7,9,8,7,5
6,0,8,7,5
7,0,8,7,6
7,0,8,3,6
7,9,8,7,5
6,9,8,7,6
7,0,8,7,6
7,9,8,7,9
6,9,9,4,5
7,9,8,7,6
7,0,9,7,6
6,9,8,7,5
6,9,8,7,6
6,9,8,7,6
7,0,8,7,5
7,9,8,7,6
7,0,8,3,6
7,9,8,7,6
7,0,8,3,5
7,0,8,7,5
7,9,8,7,0
6,0,8,4,6
6,9,8,7,6
6,0,8,7,5
6,0,9,7,6
6,9,8,7,6
7,0,8,3,6
7,0,8,7,6
7,0,8,3,5
6,9,8,7,5
7,0,8,3,6
6,0,9,7,5
7,0,8,3,6
7,0,8,3,5
6,0,9,7,5
6,0,9,7,6
7,0,8,3,6
6,0,8,7,5
6,0,9,4,5
6,9,8,7,6
7,0,8,3,6
7,0,8,7,6
7,0,8,3,6
7,0,8,3,6
6,0,9,7,5
7,0,9,4,5
7,0,8,7,6
7,0,8,7,6
7,9,8,7,5
6,9,8,7,5
6,0,9,7,6
7,0,8,3,6
6,0,8,4,6
7,9,8,7,5
7,0,8,7,6
7,9,8,7,6
7,9,8,7,7
6,6,8,7,6
7,0,8,7,6
6,0,8,7,5
6,9,8,7,5
6,0,9,7,5
7,0,8,7,6
6,9,8,7,6
6,0,9,4,5
6,9,8,7,6
7,0,8,7,6
6,9,8,7,6
7,9,8,7,5
7,0,8,7,6
7,0,8,3,5
7,0,8,7,6
6,0,9,7,5
7,0,8,3,5
6,0,8,7,5
7,9,8,7,6
7,0,8,7,5
6,0,9,7,5
7,0,8,3,6
7,0,8,3,5
7,0,8,7,6
6,0,8,7,5
7,0,8,3,6
7,0,8,7,5
6,0,8,4,6
7,0,8,3,6
7,9,8,7,5
7,9,8,7,6
7,0,9,4,5
7,0,8,4,5
7,0,8,7,6
6,0,9,4,5
6,0,9,4,5
6,0,9,7,5
6,9,8,7,5
7,9,8,7,5
7,0,8,3,5
6,9,8,7,6
6,9,8,7,6
7,0,9,4,5
6,9,8,7,6
6,0,8,4,6
7,0,8,7,6
6,0,8,7,5
7,9,8,7,6
7,9,8,7,2
7,0,8,4,6
7,0,9,7,6
6,0,8,7,5
7,9,8,7,6
6,0,9,4,5
6,9,8,7,6
6,9,8,7,6
7,0,9,7,5
7,0,8,3,6
7,0,9,4,6
7,9,8,7,6
6,0,9,4,5
7,0,8,4,5
7,0,8,3,5
6,0,9,7,5
7,0,9,4,6
7,0,8,3,6
6,0,8,7,6
7,0,8,4,6
7,0,8,7,6
7,0,8,7,6
6,9,8,7,6
6,9,8,7,6
6,9,8,7,6
6,9,8,7,6
6,0,8,4,6
6,0,8,7,5
6,9,8,7,6
7,9,8,7,5
7,4,8,7,0
7,0,8,3,5
6,0,8,4,6
6,9,8,7,6
6,9,8,7,6
6,0,9,4,5
6,0,8,7,5
6,9,8,7,6
6,0,8,4,5
6,0,8,4,6
7,9,8,7,6
7,0,9,4,5
7,0,8,7,6
7,9,8,7,5
6,0,9,4,5
7,0,8,3,5
6,0,9,7,5
7,0,9,4,6
6,9,8,7,6
7,0,8,7,5
6,0,9,7,5
6,0,9,4,5
6,0,9,7,5
6,0,8,7,5
7,0,8,4,5
7,0,8,3,6
7,9,8,7,6
7,0,9,4,5
7,0,8,7,6
6,9,8,7,6
7,0,9,7,5
7,9,8,7,6
6,9,8,7,5
6,0,9,4,5
7,0,8,4,5
7,9,8,4,5
7,0,9,7,6
6,9,8,4,6
7,0,9,4,5
7,0,9,7,6
7,0,8,3,6
6,9,8,7,5
7,0,8,3,6
7,0,8,3,6
7,0,9,7,5
7,0,8,7,6
7,0,8,3,6
6,9,8,7,5
6,9,8,7,6
6,0,8,7,5
7,9,8,7,6
6,0,8,7,5
7,9,8,7,5
6,0,8,7,5
7,0,8,3,6
6,9,8,7,6
7,0,8,7,5
7,9,8,3,5
7,0,8,3,6
6,0,9,7,5
7,0,9,7,6
7,0,9,4,6
7,0,8,7,6
7,0,8,3,6
6,0,9,7,5
7,0,8,3,5
7,9,8,7,6
