member_0,member_1
-221.65513981909106,inf
-220.68338978293696,inf
-252.87169240424632,34034.23356807511
-0.6805486210448363,-inf
1.305143280555659,-inf
-72.85860868068019,-12137.290322580644
-267.33210664845484,21196.225806451614
-307.9306014805685,28593.813432835817
-252.7456660741421,28716.11363636364
-156.04200495199038,-inf
-117.76889846274157,23599.219047619044
-0.535723143930168,-inf
-1.1575512284775873,-inf
-310.74658674437734,36152.270270270266
-30.672404421296285,-12114.85238095238
-307.7975710873498,23734.96774193549
-252.4422662704627,20277.59210526316
-10.878585718251474,-5840.333333333332
-1.1054270382801448,-inf
-177.90651591495285,35680.58441558441
-114.72670622899976,-inf
,12513.666666666666
-29.328861230943232,-12036.0
-93.67760589147771,-3823.210526315789
-252.65735118481115,25741.257936507936
-177.41569686607372,22240.93650793651
-94.03929218870033,-3684.6820512820477
1.135338367596987,-inf
-195.64178805885072,73954.73333333334
-46.194436950505086,-2986.666666666667
-126.08793031654602,9883.462962962964
-248.80748542701812,6746.155405405405
-253.0323213860916,43479.281645569616
-252.77282074670643,29743.73507462687
0.42589227074458563,-inf
-30.750274312379425,-12618.873643410854
-0.20528102875547266,-inf
-125.45434574867197,27819.82338308458
-94.03929218870033,-3684.6820512820477
-14.354663519259036,-21520.33333333333
-150.79224658466228,42927.26190476191
-46.67210252057126,-3274.666666666667
-306.9384950170564,9969.727272727272
-252.48236455957021,21143.198275862072
-0.6096566837380232,-inf
-141.65785210514937,-8932.66392694064
5.2923675835863735,-inf
-222.67955832946626,inf
-223.9447554759223,11093.430555555555
-14.171744172441604,-19232.333333333336
-252.9770152626482,39802.381578947374
-13.650191924206604,-14552.333333333336
-198.18544386188285,36452.32028985507
-151.23107892496367,54852.19029535864
-100.38989287038478,-4941.208333333336
-307.73626113042735,21917.44444444445
-224.622161274954,17892.839080459766
-125.81237843093561,17762.54761904762
-307.88050637639844,26596.269230769234
-220.7869387294375,inf
-0.29357636098521295,-inf
-114.48127823283134,-inf
-252.7456660741421,28716.11363636364
-307.9060321123154,27586.040404040406
-13.904019696416496,-16552.333333333336
-0.7485831670836883,-inf
