member_0,member_1
-inf,42033.006973952986
-30229.368915207084,21150.31447563196
,-inf
,-inf
-154317.6791100149,115135.47748253183
,-inf
,-inf
,-inf
,-inf
inf,-7173.1473602484475
-inf,2829.5920076154657
-25410.752833933308,33252.480292939406
-inf,763.9607820205365
-78008.20738395446,84381.58716214557
-160190.1259154758,139135.5395583506
,-inf
,-inf
,-inf
-175242.45944944816,185727.07016079806
,
,-inf
,-inf
,357.1783905688105
inf,-8118.658631700705
-inf,621.8932306150297
,-inf
-inf,40339.978399207306
-inf,31479.985383267285
,-inf
-334277.0894404854,347716.61424971145
,-inf
,-inf
2000.4497080879053,-997.2472425417908
8244.405476121457,-6206.678620876749
,-4420.417205485163
inf,-13100.666887651008
-inf,621552.5170550505
,-inf
,-inf
,-inf
-52703.195417150266,41109.06440671982
-inf,482.30390473337525
,-inf
,-inf
-31575.598268264886,30139.64134331982
,-inf
,-inf
-23661.234352805746,27593.59706719682
-19732.105845708797,5488.364143834965
,-inf
,-inf
,-inf
,-4351.493890342363
,71959.37763791309
27993.84261682224,-7136.67706068035
,-inf
inf,308385.5829735852
-141111.2761296777,164492.3106289476
,-inf
-inf,75420.44325727953
-547969.0871386732,533006.1679088655
,-inf
,-inf
,392790.38371492265
,-inf
-125857.56499512396,95940.41856693754
,-inf
inf,1303.3576590565112
,66.62184248467977
9222.571141820627,-6023.854531427704
inf,1063785.2686073298
,43586.34493708602
,-inf
,22283.061382896518
-41084.04767956089,35043.19794798708
,-inf
,-inf
,
,-inf
-102400.38676076976,76478.28544673005
,-inf
-inf,6739.1682003279475
,-inf
,-inf
-inf,451403.9840380057
-inf,1803725.1987627416
-inf,170815.37854593556
,-6310.940703405789
,-inf
,-inf
,
-57000.55819837012,44418.515238852364
-inf,13405.725806805727
-113949.88176730394,72694.66557808334
,-inf
inf,-1350.0374289184176
,-1117.0136301615573
,-inf
-33624.28793739862,-4869.5060413720885
,-inf
,-inf
,-inf
,332.90073177621434
,-inf
,-inf
,
,-9310.98444428543
inf,-3438.987997592628
,-inf
,-inf
,-inf
,-inf
-114246.80792115061,101816.0641024856
-668560.6752334895,570302.0747641013
,-inf
586.3148541580699,-855.0226269796278
19927.492258402675,-914.1715283683825
-7872.255324242402,-463.8560879608602
,-9295.658330841068
-11509.072245908854,855.8371039279868
,
-178962.78458900994,172073.68120818236
inf,-7534.719492954713
,-inf
,-inf
,-inf
,-inf
,-inf
,-7589.145163893627
-34508.94361507522,8629.927171185163
,-inf
-inf,1121656.2410339687
-81586.61570318704,36898.389576696085
,-inf
,-inf
-115904.86610307815,64882.88231597543
,-4260.7398286226935
,-inf
-268295.2166355667,331680.3179940522
,503.00085409886634
-14932.076485178311,2657.8250985892664
,-inf
,-8613.032218887498
-inf,102690.44364811864
,144.50125121773976
,-inf
-3481649.0334921423,5177261.223894186
,-2636.2049635176654
-49654.64967397577,34356.36266979228
,-4837.97412810277
-inf,273219.23554747703
inf,-1927.7537142857138
,-inf
-11421.06739865058,1454.319819171383
-52584.64327235479,25586.978444276803
,-inf
-65940.74948915759,43785.55784919805
,-11125.288316021728
,-inf
,-inf
,-inf
-60105.28873895153,6238.517837161139
,-inf
,-inf
-117578.80508069907,176966.56471044224
,-inf
inf,473165.3856340205
,19527.238756256564
,-inf
-64676.50233720168,49478.63036275358
,-inf
-inf,879.2605509637284
,-inf
,-2571.3410091261585
,-inf
inf,-10085.775430377465
-inf,829187.8883113865
inf,-6501.540280721965
,-inf
