member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9
-1627.046492818028,-1.2888,-9.812723460666318,-42.8478039893333,-3.698411076923077,-557.7353366512062,-inf,19.788636214271087,-3.8064532942476093,-inf
-1497.2128618686177,-1.1865,-28.997039224783723,-inf,-9.597434888888888,-1086.5875636674136,-154.34924800000016,-1659.2045144077067,-2.455635864657766,-inf
-1820.813151597574,-1.242,-16.64532792863702,-inf,-4.9308,-871.781227819646,-4.838719965367956,-294.59625914089077,-3.8523580076282165,-inf
-1693.1762052253719,-1.1724,-17.765252565177466,-inf,-5.172474285714286,-1150.5322674419801,25.810516918943126,-280.7582107496753,-4.015710040193785,-inf
-1522.398993135472,-1.2705,-15.024945913682277,-inf,-6.613113333333334,-805.9345925814696,-inf,478.6954133321539,-3.0395040247714196,-inf
-1582.0456666215352,-1.3078,-33.9814632009242,-inf,-13.739573333333334,-1389.1496936529306,-inf,-7108.684840599124,-2.698095077023602,-inf
-1092.3933972794503,-1.2348,-21.930696926484092,-inf,-6.397314509803923,-774.2728110071173,-9.941124836898384,-640.9010470446561,-3.193231193339525,-inf
-1867.2987970142658,-1.3479,-9.88320320527273,-42.44985617988394,-2.573138978723404,-366.73049946876114,-inf,-182.8125968265189,-4.034923572465554,-inf
-552.4437711448215,-1.292,-26.468263278802645,-inf,-8.424582058823528,-283.03966555211076,-inf,-2617.743425514525,-2.4563607394608185,-inf
-1733.6860181934883,-1.3114,-21.208796474678834,-inf,-10.24372222222222,-397.62074905198614,-inf,498.586909120548,-2.6852652867122493,-inf
-1528.8341873736545,-1.0842,-44.80304270362453,-inf,-8.328204444444443,-1794.437541078541,-49.254549722222194,-668.991775852542,-3.39527976409134,-inf
-506.5019590878118,-1.2354,-21.72513622905101,-inf,-7.765865275862069,-705.6150067273111,-72.67538636973184,-1723.5350613223611,-2.7813280491193852,-inf
-318.23673697081813,-1.2615,-30.767099540863178,-inf,-11.61574711111111,-626.0351652312734,-inf,-3631.7196225313605,-2.2889659685841655,-inf
-1484.5323674552747,-1.2817,-30.91160526306569,-inf,-10.413521823529411,-1104.4321949264427,-inf,-2437.4040540188116,-2.376750618037776,-inf
-1164.8632484870932,-1.236,-52.87865486669778,-inf,-9.790122857142858,-1365.5254914253053,-62.27285214285709,-1179.3015700367384,-2.955503574580249,-inf
-1296.7633879588388,-1.323,-31.53721987346379,-inf,-7.913013333333331,-1390.2450779675455,-inf,-2568.4090276017155,-2.3597447217587586,-inf
-737.5397659177548,-1.3272,-28.65443133903134,-inf,-4.1247500000000015,-73.25088165480717,-inf,-1193.5208213438482,-2.334705388267026,-inf
-1599.8653624387741,-1.2368000000000001,-19.063939216462206,-inf,-5.492520000000001,-830.3245680660569,-147.04504561403508,7049.984705134604,-2.6612322407835496,-inf
-834.6899116566618,-1.297,-24.88619853709509,-inf,-7.484873333333334,-206.36016873607633,-inf,-1680.8317841480991,-2.7909487252612806,-inf
-1747.8027937168454,-1.215,-54.5287880877743,-inf,-9.061590275862066,-1131.7607638887453,-87.18256768390805,-1170.282334665854,-2.819332875676131,-inf
-1517.754447034232,-1.245,-13.617947540110865,-8.244801500948762,-1.4264856774193544,-235.54580624636978,-105.60460399453335,-473.33802319201016,-2.845513900136525,-inf
-1171.602560449757,-1.0896000000000001,-29.07026700014499,-inf,-14.466719272727271,-1429.500792628372,-103.70821878787879,-7485.423590847405,-2.285150826612827,-inf
-1532.6247143328985,-1.293,-22.32177872123485,-inf,-5.8538322222222225,-482.69938364321683,-inf,-334.3581980642098,-3.0647957608546728,-inf
-1478.981140853878,-1.2516,-14.505396993438335,-inf,-7.298830769230768,-637.9874078586853,-16.550987848878513,176.67117421133185,-3.377538716460818,-inf
265.63428162483257,-1.1979,-17.402100263340326,-inf,-6.301255652173913,-1210.7601056146593,-31.463810523404987,-847.7557104958635,-3.2203282100342543,-inf
-1556.6908084606757,-1.2138,-11.552087307753974,-inf,-5.302559142857144,-823.1148910356329,16.396830125310867,-281.79999817459947,-4.277384970155158,-inf
-322.1745630871195,-1.248,-32.537459766496134,-inf,-11.783964,-810.9215255584252,-162.40885755204198,-2776.885940819507,-2.172502632789332,-inf
-1423.7219348480592,-1.2424,-36.55187971014493,-inf,-13.984497333333337,-841.1745622562669,-226.34763484057984,-3472.826092618218,-2.113300679505473,-inf
-1566.031000096719,-1.2244,-23.04072182517774,-inf,-7.680362837837838,-779.59419493939,-42.22857344077135,-1142.0265554904056,-2.9174890124874935,-inf
-1615.5200848347174,-1.212,-23.022634388444537,-inf,-5.309811692307692,-979.942226726069,-103.54302998390504,-753.0403546923404,-2.906981047914708,-inf
-1348.6920005756576,-1.275,-30.45843289459034,-inf,-12.523451294117644,-522.9130383254987,-inf,-9832.857809761592,-2.44385988405791,-inf
-1787.734378589819,-1.3779,-28.078359581111002,-inf,-7.937338857142857,277.15311126431277,-inf,-41133.40020539024,-2.1232957862295487,-inf
-509.44765175537725,-1.2093,-26.084943022274977,-inf,-5.203602857142858,-1008.9813480742621,-110.56676974891774,-686.799808818391,-2.4564936177742607,-inf
-1398.7456734556476,-1.2448000000000001,-31.58949679144385,-inf,-11.67948082352941,-918.6972270172872,-150.74437642369992,-2807.677748254451,-2.234213631972488,-inf
-1930.5582420305502,-1.2274,-17.809229674158953,-158.54555771850232,-5.934323999999999,-624.8621103609679,-159.67525932352942,64.90117957392918,-2.82080081846046,-inf
-1843.5916922059705,-1.2858,-15.739516483491869,-inf,-3.8409038048780477,-13.111255010335801,-inf,-399.31866230467966,-2.8860778680877788,-inf
-1471.2344634985907,-1.3515,-18.825553085775894,-inf,-5.422786545454546,-738.7967801539004,-inf,1103.3128476076283,-3.015257716967796,-inf
1429.8420142872033,-1.1466,-26.09315661796689,-inf,-10.10095,-1302.9908860336639,-94.99419999999999,-1769.9034270077734,-2.5883900445677646,-inf
-1556.223920294006,-1.1684999999999999,-29.51495792511537,-inf,-11.329885235294118,-830.5729097097018,-150.27868878698743,-2335.8771481318004,-2.4470608357977963,-inf
-1475.551361362998,-1.2191,-21.095285851136257,-inf,-7.997894823529411,-979.577760774736,-167.9069740140774,1033.6488511539426,-2.546525343968142,-inf
-1300.7735538990125,-1.3622,-31.197215743199166,-inf,-12.683714411764706,-646.7194224985907,-inf,8188.179675006716,-2.5038679478243426,-inf
-1646.249222588155,-1.2403,-15.188673469387753,-inf,-8.788499999999999,-649.2549407046928,-73.30338057142856,116.74884657344978,-2.9439840527808134,-inf
-1520.8730239590966,-1.3196,-19.411525059271845,-inf,-4.8906,-702.9820600821329,-inf,-341.2046928287507,-3.4931438577953045,-inf
-505.3629227020759,-1.2345,-32.10458179846747,-inf,-8.198826666666665,-575.593597622529,-197.5414804978353,-1524.3016526042395,-2.2298940870501722,-inf
-1422.4759098572504,-1.4118,-31.200957676543705,-inf,-7.278079999999999,261.02798050554463,-inf,-3648.3425990829746,-2.6897394725839896,-inf
-1529.1911168073614,-1.1652,-24.79950818448414,-inf,-9.279375,-1036.9723112805348,-90.58649696969691,-1666.8850696697866,-2.754214944667154,-inf
-2099.3635192476154,-1.32,-13.695416579178993,-50.95549319031141,-4.170357647058823,25.588740959019972,-inf,-364.8382261637912,-3.082174106911202,-inf
-1364.8469534463084,-1.268,-22.490964688870868,-inf,-8.424656695652173,-1162.6229468041415,-inf,-4648.145854933659,-2.722458151893756,-inf
-2484.055163000321,-1.2568,-34.366257420410534,-inf,-14.272880571428571,-1175.216583372494,-186.30423164069248,-4545.086592407516,-2.1894636557176805,-inf
-462.13649163355285,-1.2138,-30.383251214461907,-inf,-7.087185882352941,-1075.12502166138,-192.73534194328317,-1213.6787967410298,-2.2914829615271257,-inf
-1703.7727704632957,-1.194,-12.058072974949374,-63.25587213184773,-6.089251137254903,-481.73892921174337,-24.635735478457438,-332.6177721344806,-3.4827462995175393,-inf
-1473.6709105188727,-1.1598,-25.15772627865961,-inf,-9.36888,-1219.659819611583,-181.21185736363626,-2390.573779523111,-2.636930993827641,-inf
-680.4211174401487,-1.1568,-25.863795128328558,-inf,-2.828812,-1524.5283341406648,-168.81416842292506,-636.5517987869845,-2.505992501854772,-inf
-1675.9398021118577,-1.2191,-21.386093585701158,-inf,-8.180514411764706,-1010.9272664594658,-165.59666325082745,1488.7453609384934,-2.60761341092007,-inf
-518.7822224081577,-1.1962,-31.608148067014415,-inf,-7.4741,-911.3873775329116,-214.70903467803015,-1314.2502815169014,-2.271554921483872,-inf
-1595.382358653003,-1.2227000000000001,-21.636944881888567,-inf,-5.558112382978723,-736.3737648429992,-23.06291247324308,-340.53858156259486,-3.1404167021573537,-inf
-575.8277846215783,-1.1784,-25.80435537108194,-inf,-9.163649185185186,-566.819311315805,-76.90429540267012,-1546.6476203537045,-2.5458152369357725,-inf
-756.4573680402422,-1.194,-27.410175222816402,-inf,-10.773000000000001,-965.5126321302205,-87.32013401162783,-2572.162986154449,-2.436073308041423,-inf
-1280.7831668293309,-1.2435,-27.35967128768667,-inf,-12.16865,-755.5204407853765,-132.35629603418812,-37470.72687452258,-2.2453756189890037,-inf
-430.2820425460885,-1.176,-23.052731313131314,-inf,-7.436148363636365,-1089.0402011919487,-131.97620193548383,-1297.4744049393485,-2.4601618003322607,-inf
-1444.9878538648434,-1.2109,-26.890268491451444,-inf,-9.297429523809521,-1270.7162435046696,-123.19277560106555,-1718.481289057083,-2.6421715131452164,-inf
-1358.6988064709806,-1.2408000000000001,-25.695584573002755,-inf,-6.63895,-1119.0467098979634,-107.04612443492302,-984.5975120896323,-2.637338087113315,-inf
-1488.0811463912064,-1.255,-19.128850105794825,-inf,-5.825570956521739,-796.9379432260235,-inf,-688.2320863358572,-3.1508903828523267,-inf
-1443.0510520816108,-1.3383,-17.645844646949687,-inf,-3.926736,-882.4351469987893,-inf,915.6708449554376,-2.7163761797615167,-inf
-1539.4456457946249,-1.2504,-21.23505791481246,-inf,-5.93515,-680.55354166351,-13.094909848484837,-314.6717007167443,-3.2542974482377014,-inf
-1807.505484413276,-1.16,-10.243272333731062,-77.32226608537773,-5.087354926829269,-857.6350433813963,24.534425734417358,-283.9940006924823,-4.674039912338182,-inf
-1648.2532126445763,-1.2746,-20.952103926371215,-inf,-9.67110090909091,-309.6636913281019,-inf,1128.453450084799,-2.5067143963523355,-inf
-1493.938797630451,-1.275,-20.194073332583724,-inf,-5.829199999999999,-707.6837328380376,inf,-316.2037715735132,-3.546813053073767,-inf
-1635.7242044536251,-1.2036,-21.39778020231739,-55.08100620799999,-6.121229714285715,-1182.6654618442733,-222.99187473015888,342.1833835753045,-2.770472171990372,-inf
-1342.2383319449355,-1.2311999999999999,-34.64406376811594,-inf,-10.529240000000003,-1269.0559153389224,-314.47875655172436,-2513.699925283409,-2.4576169746832477,-inf
-1425.2769869538338,-1.2648,-22.110565036738453,-inf,-6.738302947368422,-1128.5951177285679,-inf,-900.9404984786538,-3.0728679641579766,-inf
-533.4263992911222,-1.3624,-36.15864759538257,-inf,-2.7425272727272736,-137.13307818208676,-inf,-1415.5861737299897,-2.3321485028679048,-inf
-1525.268143685527,-1.26,-24.557287230594717,-inf,-6.442446666666666,-836.4133494149056,-inf,-894.8782739690163,-2.72279999309355,-inf
-1356.5965647777284,-1.2424,-28.224200646784045,-inf,-8.98032,-1059.4853913772938,-131.33191226107232,-1671.1382447437,-2.50419993161298,-inf
