member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,0.08248186111450195,0.7762478485370051,0.8085106382978723,0.745819397993311,-1,-1,-1,-1
True,False,0,0.08248186111450195,0.7429718875502008,0.7520661157024794,0.734375,-1,-1,-1,-1
False,True,0,0.10768985748291016,0.7779690189328744,0.8120567375886525,0.745819397993311,-1,-1,-1,-1
False,False,0,0.10768985748291016,0.7429718875502008,0.7520661157024794,0.734375,-1,-1,-1,-1
True,True,169,0.16492009162902832,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,169,0.16492009162902832,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,169,0.07866692543029785,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,169,0.07866692543029785,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,338,0.05585169792175293,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,338,0.05585169792175293,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,338,0.046553850173950195,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,338,0.046553850173950195,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,507,0.08445906639099121,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,507,0.08445906639099121,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,507,0.1047370433807373,0.49569707401032703,0.9468085106382979,0.07023411371237458,-1,-1,-1,-1
False,False,507,0.1047370433807373,0.5180722891566265,0.9752066115702479,0.0859375,-1,-1,-1,-1
True,True,676,0.0704810619354248,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,676,0.0704810619354248,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,676,0.030153989791870117,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,676,0.030153989791870117,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,845,0.05761885643005371,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,845,0.05761885643005371,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,845,0.05549192428588867,0.5146299483648882,0.0,1.0,-1,-1,-1,-1
False,False,845,0.05549192428588867,0.5140562248995983,0.0,1.0,-1,-1,-1,-1
True,True,1014,0.0805060863494873,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,1014,0.0805060863494873,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,1014,0.07390403747558594,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,1014,0.07390403747558594,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,1183,0.058149099349975586,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,1183,0.058149099349975586,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,1183,0.028635025024414062,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,1183,0.028635025024414062,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,1352,0.13495397567749023,0.5197934595524957,0.010638297872340425,1.0,-1,-1,-1,-1
True,False,1352,0.13495397567749023,0.5060240963855421,0.0,0.984375,-1,-1,-1,-1
False,True,1352,0.08234190940856934,0.5197934595524957,0.010638297872340425,1.0,-1,-1,-1,-1
False,False,1352,0.08234190940856934,0.5060240963855421,0.0,0.984375,-1,-1,-1,-1
True,True,1521,0.03950381278991699,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,1521,0.03950381278991699,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,1521,0.030808210372924805,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,1521,0.030808210372924805,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
True,True,1690,0.08313393592834473,0.4836488812392427,0.9893617021276596,0.006688963210702341,-1,-1,-1,-1
True,False,1690,0.08313393592834473,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,1690,0.06339287757873535,0.6506024096385542,0.9148936170212766,0.4013377926421405,-1,-1,-1,-1
False,False,1690,0.06339287757873535,0.6024096385542169,0.9090909090909091,0.3125,-1,-1,-1,-1
True,True,1859,0.07786703109741211,0.4853700516351119,0.9964539007092199,0.0033444816053511705,-1,-1,-1,-1
True,False,1859,0.07786703109741211,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,1859,0.07804489135742188,0.5800344234079173,0.7730496453900709,0.3979933110367893,-1,-1,-1,-1
False,False,1859,0.07804489135742188,0.5180722891566265,0.7933884297520661,0.2578125,-1,-1,-1,-1
True,True,2028,0.059762001037597656,0.5335628227194492,0.975177304964539,0.11705685618729098,-1,-1,-1,-1
True,False,2028,0.059762001037597656,0.5341365461847389,0.9669421487603306,0.125,-1,-1,-1,-1
False,True,2028,0.06895208358764648,0.5335628227194492,0.975177304964539,0.11705685618729098,-1,-1,-1,-1
False,False,2028,0.06895208358764648,0.5341365461847389,0.9669421487603306,0.125,-1,-1,-1,-1
True,True,2197,0.04678606986999512,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
True,False,2197,0.04678606986999512,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
False,True,2197,0.027683019638061523,0.4853700516351119,1.0,0.0,-1,-1,-1,-1
False,False,2197,0.027683019638061523,0.4859437751004016,1.0,0.0,-1,-1,-1,-1
