member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,1072.203438282013,0.01276595744680851,0.0,0.0,-1,-1,-1,-1
True,False,0,1072.203438282013,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,0,140.2607879638672,0.4595744680851064,0.0,0.92,-1,-1,-1,-1
False,False,0,140.2607879638672,0.46534653465346537,0.0,0.9302325581395349,-1,-1,-1,-1
True,True,169,1150.1510965824127,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,169,1150.1510965824127,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,169,143.90952038764954,0.42127659574468085,0.0,0.66,-1,-1,-1,-1
False,False,169,143.90952038764954,0.43564356435643564,0.0,0.6511627906976745,-1,-1,-1,-1
True,True,338,1049.8845229148865,0.10212765957446808,0.0,0.0,-1,-1,-1,-1
True,False,338,1049.8845229148865,0.09900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,338,166.3645942211151,0.42127659574468085,0.0,0.99,-1,-1,-1,-1
False,False,338,166.3645942211151,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,507,1011.802741765976,0.04680851063829787,0.0,0.0,-1,-1,-1,-1
True,False,507,1011.802741765976,0.039603960396039604,0.0,0.0,-1,-1,-1,-1
False,True,507,138.03857326507568,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,507,138.03857326507568,0.4158415841584158,0.0,0.9767441860465116,-1,-1,-1,-1
True,True,676,1098.8411359786987,0.04680851063829787,0.0,0.0,-1,-1,-1,-1
True,False,676,1098.8411359786987,0.0297029702970297,0.0,0.0,-1,-1,-1,-1
False,True,676,144.94181990623474,0.4765957446808511,0.0,0.79,-1,-1,-1,-1
False,False,676,144.94181990623474,0.5445544554455446,0.0,0.9069767441860465,-1,-1,-1,-1
True,True,845,1172.0096950531006,0.03404255319148936,0.0,0.0,-1,-1,-1,-1
True,False,845,1172.0096950531006,0.0594059405940594,0.0,0.0,-1,-1,-1,-1
False,True,845,132.3517439365387,0.4851063829787234,0.35185185185185186,0.95,-1,-1,-1,-1
False,False,845,132.3517439365387,0.48514851485148514,0.30434782608695654,0.9767441860465116,-1,-1,-1,-1
True,True,1014,1078.946017742157,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,1014,1078.946017742157,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,1014,137.82008051872253,0.5319148936170213,0.0,0.95,-1,-1,-1,-1
False,False,1014,137.82008051872253,0.504950495049505,0.0,0.9534883720930233,-1,-1,-1,-1
True,True,1183,1035.1309769153595,0.00851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,1183,1035.1309769153595,0.019801980198019802,0.0,0.0,-1,-1,-1,-1
False,True,1183,133.04391264915466,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,1183,133.04391264915466,0.4158415841584158,0.0,0.9767441860465116,-1,-1,-1,-1
True,True,1352,1155.4425427913666,0.00851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,1352,1155.4425427913666,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,1352,140.36525750160217,0.6212765957446809,0.8703703703703703,0.99,-1,-1,-1,-1
False,False,1352,140.36525750160217,0.6237623762376238,0.8695652173913043,1.0,-1,-1,-1,-1
True,True,1521,1080.2742402553558,0.00851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,1521,1080.2742402553558,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,1521,137.53615593910217,0.46382978723404256,0.2777777777777778,0.94,-1,-1,-1,-1
False,False,1521,137.53615593910217,0.5346534653465347,0.4782608695652174,1.0,-1,-1,-1,-1
True,True,1690,1112.0926740169525,0.04680851063829787,0.0,0.0,-1,-1,-1,-1
True,False,1690,1112.0926740169525,0.04950495049504951,0.0,0.0,-1,-1,-1,-1
False,True,1690,139.79087257385254,0.4,0.0,0.76,-1,-1,-1,-1
False,False,1690,139.79087257385254,0.3564356435643564,0.0,0.7441860465116279,-1,-1,-1,-1
True,True,1859,1102.67507314682,0.0425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,1859,1102.67507314682,0.0297029702970297,0.0,0.0,-1,-1,-1,-1
False,True,1859,144.32833743095398,0.4340425531914894,0.037037037037037035,1.0,-1,-1,-1,-1
False,False,1859,144.32833743095398,0.43564356435643564,0.043478260869565216,1.0,-1,-1,-1,-1
True,True,2028,1134.7280836105347,0.09787234042553192,0.0,0.0,-1,-1,-1,-1
True,False,2028,1134.7280836105347,0.09900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,2028,128.53466272354126,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,2028,128.53466272354126,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,2197,1109.691017150879,0.00851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,2197,1109.691017150879,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,2197,161.41050958633423,0.44680851063829785,0.09259259259259259,1.0,-1,-1,-1,-1
False,False,2197,161.41050958633423,0.44554455445544555,0.08695652173913043,1.0,-1,-1,-1,-1
True,True,2366,1076.5448870658875,0.0851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,2366,1076.5448870658875,0.07920792079207921,0.0,0.0,-1,-1,-1,-1
False,True,2366,139.36861610412598,0.46808510638297873,0.0,0.93,-1,-1,-1,-1
False,False,2366,139.36861610412598,0.46534653465346537,0.0,0.9534883720930233,-1,-1,-1,-1
True,True,2535,1172.337387084961,0.01702127659574468,0.0,0.0,-1,-1,-1,-1
True,False,2535,1172.337387084961,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,2535,159.9957582950592,0.4765957446808511,0.0,0.78,-1,-1,-1,-1
False,False,2535,159.9957582950592,0.5148514851485149,0.0,0.8837209302325582,-1,-1,-1,-1
True,True,2704,1032.676629781723,0.15319148936170213,0.0,0.0,-1,-1,-1,-1
True,False,2704,1032.676629781723,0.15841584158415842,0.0,0.0,-1,-1,-1,-1
False,True,2704,149.70645809173584,0.3021276595744681,0.018518518518518517,0.64,-1,-1,-1,-1
False,False,2704,149.70645809173584,0.38613861386138615,0.0,0.813953488372093,-1,-1,-1,-1
True,True,2873,1027.4009280204773,0.10638297872340426,0.0,0.0,-1,-1,-1,-1
True,False,2873,1027.4009280204773,0.09900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,2873,121.80393671989441,0.49361702127659574,0.2962962962962963,1.0,-1,-1,-1,-1
False,False,2873,121.80393671989441,0.504950495049505,0.34782608695652173,1.0,-1,-1,-1,-1
True,True,3042,1073.4233226776123,0.04680851063829787,0.0,0.0,-1,-1,-1,-1
True,False,3042,1073.4233226776123,0.0297029702970297,0.0,0.0,-1,-1,-1,-1
False,True,3042,166.04950952529907,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,3042,166.04950952529907,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,3211,1081.4519975185394,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,3211,1081.4519975185394,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,3211,116.73052525520325,0.4978723404255319,0.8888888888888888,0.69,-1,-1,-1,-1
False,False,3211,116.73052525520325,0.42574257425742573,0.8695652173913043,0.5348837209302325,-1,-1,-1,-1
True,True,3380,1092.385456085205,0.0425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,3380,1092.385456085205,0.039603960396039604,0.0,0.0,-1,-1,-1,-1
False,True,3380,145.49538660049438,0.15319148936170213,0.0,0.0,-1,-1,-1,-1
False,False,3380,145.49538660049438,0.15841584158415842,0.0,0.0,-1,-1,-1,-1
True,True,3549,1164.3985311985016,0.01276595744680851,0.0,0.0,-1,-1,-1,-1
True,False,3549,1164.3985311985016,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,3549,149.93091416358948,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,3549,149.93091416358948,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,3718,1059.3630952835083,0.0425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,3718,1059.3630952835083,0.0594059405940594,0.0,0.0,-1,-1,-1,-1
False,True,3718,136.74073266983032,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,3718,136.74073266983032,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,3887,1060.7355389595032,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,3887,1060.7355389595032,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,3887,139.0701024532318,0.425531914893617,0.0,1.0,-1,-1,-1,-1
False,False,3887,139.0701024532318,0.42574257425742573,0.0,1.0,-1,-1,-1,-1
True,True,4056,1072.7133283615112,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,4056,1072.7133283615112,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,4056,137.76453733444214,0.625531914893617,0.8703703703703703,1.0,-1,-1,-1,-1
False,False,4056,137.76453733444214,0.6534653465346535,1.0,1.0,-1,-1,-1,-1
True,True,4225,1064.7007415294647,0.03829787234042553,0.0,0.0,-1,-1,-1,-1
True,False,4225,1064.7007415294647,0.04950495049504951,0.0,0.0,-1,-1,-1,-1
False,True,4225,140.84327960014343,0.32340425531914896,0.037037037037037035,0.37,-1,-1,-1,-1
False,False,4225,140.84327960014343,0.3564356435643564,0.08695652173913043,0.3953488372093023,-1,-1,-1,-1
True,True,4394,1070.2789578437805,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,4394,1070.2789578437805,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,4394,150.97953510284424,0.5148936170212766,0.3888888888888889,1.0,-1,-1,-1,-1
False,False,4394,150.97953510284424,0.5247524752475248,0.43478260869565216,1.0,-1,-1,-1,-1
True,True,4563,1175.6317963600159,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,4563,1175.6317963600159,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,4563,138.87017035484314,0.4340425531914894,0.037037037037037035,1.0,-1,-1,-1,-1
False,False,4563,138.87017035484314,0.43564356435643564,0.043478260869565216,1.0,-1,-1,-1,-1
True,True,4732,1057.8365952968597,0.00851063829787234,0.0,0.0,-1,-1,-1,-1
True,False,4732,1057.8365952968597,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,4732,154.42854046821594,0.4340425531914894,0.12962962962962962,0.95,-1,-1,-1,-1
False,False,4732,154.42854046821594,0.40594059405940597,0.21739130434782608,0.8372093023255814,-1,-1,-1,-1
True,True,4901,1067.5029191970825,0.00425531914893617,0.0,0.0,-1,-1,-1,-1
True,False,4901,1067.5029191970825,0.009900990099009901,0.0,0.0,-1,-1,-1,-1
False,True,4901,149.53284168243408,0.33191489361702126,0.0,0.5,-1,-1,-1,-1
False,False,4901,149.53284168243408,0.297029702970297,0.0,0.4186046511627907,-1,-1,-1,-1
