member_0,member_1,member_2,member_3,member_4
6,6,4,2,4
6,4,5,2,4
6,5,4,2,4
6,5,4,2,4
6,5,1,2,4
6,4,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,2,2,4
6,4,1,2,4
6,4,2,2,4
6,6,4,2,4
6,5,2,2,4
6,4,0,2,4
6,5,3,2,4
6,5,2,2,4
6,5,4,2,4
6,5,4,2,4
6,4,2,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,6,4,2,4
6,6,5,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,5,2,2,4
6,6,5,2,5
6,4,5,2,5
6,5,4,2,4
6,6,4,2,4
6,5,3,2,4
6,5,4,2,4
6,5,2,2,4
6,5,5,2,4
6,5,4,2,4
6,5,1,2,4
6,5,4,2,4
6,4,5,2,4
6,6,4,2,4
6,5,4,2,4
6,4,4,2,4
6,5,4,2,4
6,5,4,2,4
6,5,3,2,4
6,4,2,2,4
6,5,4,2,4
6,5,4,2,4
6,4,5,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,4,5,2,4
6,6,4,2,4
6,6,4,2,4
6,4,3,2,4
6,5,5,2,4
6,6,4,2,4
6,4,3,2,4
6,6,4,2,4
6,5,3,2,4
6,5,3,2,4
6,5,4,2,4
6,6,5,2,4
6,5,3,2,4
6,5,3,2,4
6,5,4,2,4
6,5,3,2,4
6,5,3,2,4
6,5,5,2,4
6,5,4,2,4
6,5,3,2,4
6,5,2,2,4
6,5,3,2,4
6,5,3,2,4
6,5,5,2,4
6,5,3,2,4
6,7,4,2,4
6,5,4,2,5
6,7,4,2,4
6,5,2,2,4
6,5,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,5,2,4
6,5,4,2,4
6,5,4,2,4
6,6,5,2,4
6,5,4,2,4
6,5,4,2,4
6,4,3,2,4
6,4,5,2,4
6,5,3,2,4
6,5,4,2,4
6,5,3,2,4
6,5,1,2,4
6,7,7,2,3
6,4,5,2,4
6,5,4,2,4
6,5,5,2,4
6,7,5,2,4
6,4,5,2,4
6,5,4,2,4
6,4,4,2,5
6,6,4,2,4
6,4,5,2,4
6,5,3,2,4
6,6,2,2,4
6,5,3,2,5
6,5,2,2,4
6,5,3,2,4
6,5,4,2,4
6,6,5,2,4
6,5,3,2,4
6,4,3,2,4
6,6,5,2,4
6,5,4,2,4
6,5,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,4,5,2,4
6,7,5,2,4
6,4,2,2,4
6,5,4,2,4
6,5,5,2,4
6,5,2,2,4
6,5,1,2,4
6,4,2,2,4
6,4,3,2,4
6,4,4,2,4
6,4,1,2,4
6,5,4,2,4
6,5,5,2,4
6,5,5,2,4
6,5,2,2,4
6,5,4,2,4
6,5,2,2,4
6,5,3,2,4
6,5,4,2,4
6,5,2,2,4
6,6,4,2,4
6,5,2,2,4
6,6,4,2,4
6,5,2,2,4
6,5,4,2,4
6,5,4,2,4
6,5,5,2,4
6,5,2,2,4
6,5,4,2,4
6,6,4,2,4
6,5,4,2,4
6,5,1,2,4
6,5,1,2,4
6,5,5,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,4,4,2,4
6,5,4,2,5
6,6,4,2,4
6,5,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,5,5,2,4
6,5,4,2,4
6,5,1,2,4
6,5,4,2,4
6,5,5,2,4
6,5,4,2,4
6,5,4,2,4
6,5,2,2,4
6,5,4,2,4
6,5,4,2,4
6,6,5,2,4
6,5,2,2,4
6,4,3,2,4
6,4,5,2,4
6,5,2,2,4
6,5,4,2,5
6,5,1,2,4
6,5,4,2,4
6,5,5,2,4
6,5,5,2,4
6,5,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,5,2,4
6,3,4,2,4
6,5,4,2,4
6,7,4,2,4
6,5,4,2,4
6,4,4,2,4
6,5,3,2,4
6,5,2,2,4
6,5,2,2,4
6,6,5,2,4
6,5,4,2,4
6,5,4,2,4
6,4,5,2,4
6,5,4,2,4
6,6,4,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,6,4,2,4
6,6,5,2,4
6,5,5,2,4
6,5,1,2,4
6,5,4,2,4
6,5,3,2,4
6,5,2,2,4
6,6,4,2,4
6,6,4,2,4
6,5,4,2,4
6,5,3,2,4
6,5,4,2,4
6,5,4,2,4
6,5,4,2,4
6,6,4,2,4
6,5,4,2,4
6,5,2,2,4
6,5,4,2,4
6,5,4,2,4
6,4,3,2,4
6,6,4,2,4
6,5,5,2,4
6,7,4,2,4
6,5,5,2,4
6,6,4,2,4
6,5,4,2,4
6,5,5,2,4
6,6,4,2,4
