member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,361.3888142108917,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,0,361.3888142108917,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,0,818.7140545845032,0.8296041308089501,0.7198581560283688,0.9331103678929766,279,20,79,203
False,False,0,818.7140545845032,0.8112449799196787,0.71900826446281,0.8984375,115,13,34,87
True,True,169,371.24099230766296,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,169,371.24099230766296,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,169,969.9671354293823,0.7934595524956971,0.8652482269503546,0.725752508361204,217,82,38,244
False,False,169,969.9671354293823,0.7469879518072289,0.7933884297520661,0.703125,90,38,25,96
True,True,338,373.70468163490295,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,338,373.70468163490295,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,338,816.1739225387573,0.7969018932874354,0.8829787234042553,0.7157190635451505,214,85,33,249
False,False,338,816.1739225387573,0.8192771084337349,0.9338842975206612,0.7109375,91,37,8,113
True,True,507,376.7031843662262,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,507,376.7031843662262,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,507,1027.5501947402954,0.7969018932874354,0.900709219858156,0.6989966555183946,209,90,28,254
False,False,507,1027.5501947402954,0.7991967871485943,0.8925619834710744,0.7109375,91,37,13,108
True,True,676,330.85186886787415,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,676,330.85186886787415,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,676,724.4307234287262,0.7848537005163512,0.7978723404255319,0.7725752508361204,231,68,57,225
False,False,676,724.4307234287262,0.8072289156626506,0.8512396694214877,0.765625,98,30,18,103
True,True,845,349.5748453140259,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,845,349.5748453140259,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,845,1040.5688173770905,0.7951807228915663,0.8546099290780141,0.7391304347826086,221,78,41,241
False,False,845,1040.5688173770905,0.7951807228915663,0.8347107438016529,0.7578125,97,31,20,101
True,True,1014,351.27324867248535,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1014,351.27324867248535,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1014,818.2743718624115,0.8003442340791739,0.8617021276595744,0.7424749163879598,222,77,39,243
False,False,1014,818.2743718624115,0.7871485943775101,0.8264462809917356,0.75,96,32,21,100
True,True,1183,373.46709394454956,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1183,373.46709394454956,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1183,921.3803985118866,0.8209982788296041,0.8617021276595744,0.782608695652174,234,65,39,243
False,False,1183,921.3803985118866,0.8112449799196787,0.859504132231405,0.765625,98,30,17,104
True,True,1352,374.43038296699524,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1352,374.43038296699524,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1352,923.2339916229248,0.8158347676419966,0.8617021276595744,0.7725752508361204,231,68,39,243
False,False,1352,923.2339916229248,0.7751004016064257,0.8264462809917356,0.7265625,93,35,21,100
True,True,1521,368.5600275993347,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1521,368.5600275993347,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1521,843.7334642410278,0.8227194492254734,0.7198581560283688,0.919732441471572,275,24,79,203
False,False,1521,843.7334642410278,0.8393574297188755,0.7603305785123967,0.9140625,117,11,29,92
True,True,1690,377.6657304763794,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1690,377.6657304763794,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1690,1017.0768094062805,0.7986230636833046,0.851063829787234,0.7491638795986622,224,75,42,240
False,False,1690,1017.0768094062805,0.7791164658634538,0.8099173553719008,0.75,96,32,23,98
True,True,1859,363.41305351257324,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1859,363.41305351257324,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1859,1029.418828010559,0.8037865748709122,0.8687943262411347,0.7424749163879598,222,77,37,245
False,False,1859,1029.418828010559,0.7710843373493976,0.8347107438016529,0.7109375,91,37,20,101
True,True,2028,374.35828042030334,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2028,374.35828042030334,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2028,849.4106435775757,0.8244406196213425,0.8794326241134752,0.7725752508361204,231,68,34,248
False,False,2028,849.4106435775757,0.7831325301204819,0.9008264462809917,0.671875,86,42,12,109
True,True,2197,403.41090059280396,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2197,403.41090059280396,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2197,1113.5518598556519,0.8123924268502581,0.7056737588652482,0.9130434782608695,273,26,83,199
False,False,2197,1113.5518598556519,0.8634538152610441,0.7768595041322314,0.9453125,121,7,27,94
True,True,2366,376.5645549297333,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2366,376.5645549297333,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2366,916.17089676857,0.8175559380378657,0.8900709219858156,0.7491638795986622,224,75,31,251
False,False,2366,916.17089676857,0.7751004016064257,0.8264462809917356,0.7265625,93,35,21,100
True,True,2535,394.14912009239197,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2535,394.14912009239197,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2535,895.9580557346344,0.810671256454389,0.8617021276595744,0.7625418060200669,228,71,39,243
False,False,2535,895.9580557346344,0.7710843373493976,0.8181818181818182,0.7265625,93,35,22,99
True,True,2704,396.7303903102875,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2704,396.7303903102875,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2704,858.0901374816895,0.8037865748709122,0.9042553191489362,0.7090301003344481,212,87,27,255
False,False,2704,858.0901374816895,0.7670682730923695,0.8925619834710744,0.6484375,83,45,13,108
True,True,2873,372.5247600078583,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2873,372.5247600078583,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2873,907.7421290874481,0.8072289156626506,0.8829787234042553,0.7357859531772575,220,79,33,249
False,False,2873,907.7421290874481,0.8232931726907631,0.8842975206611571,0.765625,98,30,14,107
True,True,3042,361.3409831523895,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3042,361.3409831523895,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3042,844.409764289856,0.7951807228915663,0.8191489361702128,0.7725752508361204,231,68,51,231
False,False,3042,844.409764289856,0.8152610441767069,0.8760330578512396,0.7578125,97,31,15,106
True,True,3211,389.08138728141785,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3211,389.08138728141785,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3211,796.0703420639038,0.8313253012048193,0.7198581560283688,0.9364548494983278,280,19,79,203
False,False,3211,796.0703420639038,0.8232931726907631,0.743801652892562,0.8984375,115,13,31,90
True,True,3380,368.90309619903564,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3380,368.90309619903564,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3380,895.3029990196228,0.8037865748709122,0.8794326241134752,0.7324414715719063,219,80,34,248
False,False,3380,895.3029990196228,0.8232931726907631,0.8677685950413223,0.78125,100,28,16,105
True,True,3549,390.17611503601074,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3549,390.17611503601074,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3549,880.3069670200348,0.7882960413080895,0.8368794326241135,0.7424749163879598,222,77,46,236
False,False,3549,880.3069670200348,0.8072289156626506,0.768595041322314,0.84375,108,20,28,93
True,True,3718,360.5794982910156,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3718,360.5794982910156,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3718,885.3993287086487,0.810671256454389,0.8368794326241135,0.7859531772575251,235,64,46,236
False,False,3718,885.3993287086487,0.7670682730923695,0.8099173553719008,0.7265625,93,35,23,98
True,True,3887,359.00713205337524,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3887,359.00713205337524,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3887,827.1139776706696,0.802065404475043,0.8049645390070922,0.7993311036789298,239,60,55,227
False,False,3887,827.1139776706696,0.8152610441767069,0.8925619834710744,0.7421875,95,33,13,108
True,True,4056,355.00506949424744,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4056,355.00506949424744,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4056,873.4469540119171,0.8123924268502581,0.8581560283687943,0.7692307692307693,230,69,40,242
False,False,4056,873.4469540119171,0.8433734939759037,0.8099173553719008,0.875,112,16,23,98
True,True,4225,379.0435039997101,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4225,379.0435039997101,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4225,897.0712277889252,0.7951807228915663,0.7978723404255319,0.7926421404682275,237,62,57,225
False,False,4225,897.0712277889252,0.7831325301204819,0.7851239669421488,0.78125,100,28,26,95
True,True,4394,381.1498773097992,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4394,381.1498773097992,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4394,1036.8999030590057,0.7969018932874354,0.9042553191489362,0.6956521739130435,208,91,27,255
False,False,4394,1036.8999030590057,0.751004016064257,0.859504132231405,0.6484375,83,45,17,104
True,True,4563,380.52204060554504,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4563,380.52204060554504,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4563,864.9989838600159,0.8089500860585198,0.8865248226950354,0.7357859531772575,220,79,32,250
False,False,4563,864.9989838600159,0.8192771084337349,0.8925619834710744,0.75,96,32,13,108
True,True,4732,368.85307908058167,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4732,368.85307908058167,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4732,883.5512974262238,0.8003442340791739,0.8971631205673759,0.7090301003344481,212,87,29,253
False,False,4732,883.5512974262238,0.7831325301204819,0.9173553719008265,0.65625,84,44,10,111
True,True,4901,350.6137819290161,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,4901,350.6137819290161,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,4901,929.8575296401978,0.8003442340791739,0.8581560283687943,0.745819397993311,223,76,40,242
False,False,4901,929.8575296401978,0.7309236947791165,0.8099173553719008,0.65625,84,44,23,98
