member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,346.7404022216797,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,0,346.7404022216797,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,0,822.748860836029,0.9665271966527197,0.9700598802395209,0.9646302250803859,300,11,5,162
False,False,0,822.748860836029,0.9560975609756097,0.9444444444444444,0.9624060150375939,128,5,4,68
True,True,169,312.2256088256836,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,169,312.2256088256836,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,169,666.945841550827,0.9644351464435147,0.9700598802395209,0.9614147909967846,299,12,5,162
False,False,169,666.945841550827,0.9560975609756097,0.9861111111111112,0.9398496240601504,125,8,1,71
True,True,338,331.42260360717773,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,338,331.42260360717773,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,338,755.6621513366699,0.9560669456066946,0.9700598802395209,0.9485530546623794,295,16,5,162
False,False,338,755.6621513366699,0.9609756097560975,0.9861111111111112,0.9473684210526315,126,7,1,71
True,True,507,307.7048168182373,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,507,307.7048168182373,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,507,757.7048959732056,0.9728033472803347,0.9760479041916168,0.9710610932475884,302,9,4,163
False,False,507,757.7048959732056,0.9560975609756097,0.9722222222222222,0.9473684210526315,126,7,2,70
True,True,676,316.65421199798584,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,676,316.65421199798584,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,676,708.3729031085968,0.9623430962343096,0.9880239520958084,0.9485530546623794,295,16,2,165
False,False,676,708.3729031085968,0.9512195121951219,0.9861111111111112,0.9323308270676691,124,9,1,71
True,True,845,309.28313183784485,0.3493723849372385,1.0,0.0,0,311,0,167
True,False,845,309.28313183784485,0.35121951219512193,1.0,0.0,0,133,0,72
False,True,845,627.7623677253723,0.9518828451882845,0.9820359281437125,0.9356913183279743,291,20,3,164
