member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,169.01176857948303,0.8647342995169082,0.7473684210526316,0.9642857142857143,108,4,24,71
True,False,0,169.01176857948303,0.7,0.6190476190476191,0.7708333333333334,37,11,16,26
False,True,0,1.430511474609375e-06,0.8647342995169082,0.7473684210526316,0.9642857142857143,108,4,24,71
False,False,0,1.430511474609375e-06,0.7,0.6190476190476191,0.7708333333333334,37,11,16,26
True,True,169,114.08564782142639,0.8454106280193237,0.8631578947368421,0.8303571428571429,93,19,13,82
True,False,169,114.08564782142639,0.7777777777777778,0.7142857142857143,0.8333333333333334,40,8,12,30
False,True,169,1.1920928955078125e-06,0.8454106280193237,0.8631578947368421,0.8303571428571429,93,19,13,82
False,False,169,1.1920928955078125e-06,0.7777777777777778,0.7142857142857143,0.8333333333333334,40,8,12,30
True,True,338,147.12706637382507,0.9082125603864735,0.8736842105263158,0.9375,105,7,12,83
True,False,338,147.12706637382507,0.6888888888888889,0.5952380952380952,0.7708333333333334,37,11,17,25
False,True,338,1.1920928955078125e-06,0.9082125603864735,0.8736842105263158,0.9375,105,7,12,83
False,False,338,1.1920928955078125e-06,0.6888888888888889,0.5952380952380952,0.7708333333333334,37,11,17,25
True,True,507,117.85009241104126,0.893719806763285,0.8421052631578947,0.9375,105,7,15,80
True,False,507,117.85009241104126,0.7888888888888889,0.6904761904761905,0.875,42,6,13,29
False,True,507,1.430511474609375e-06,0.893719806763285,0.8421052631578947,0.9375,105,7,15,80
False,False,507,1.430511474609375e-06,0.7888888888888889,0.6904761904761905,0.875,42,6,13,29
True,True,676,134.5499243736267,0.8067632850241546,0.8421052631578947,0.7767857142857143,87,25,15,80
True,False,676,134.5499243736267,0.8444444444444444,0.8333333333333334,0.8541666666666666,41,7,7,35
False,True,676,1.1920928955078125e-06,0.8067632850241546,0.8421052631578947,0.7767857142857143,87,25,15,80
False,False,676,1.1920928955078125e-06,0.8444444444444444,0.8333333333333334,0.8541666666666666,41,7,7,35
True,True,845,147.64782404899597,0.8309178743961353,0.7368421052631579,0.9107142857142857,102,10,25,70
True,False,845,147.64782404899597,0.7444444444444445,0.7619047619047619,0.7291666666666666,35,13,10,32
False,True,845,9.5367431640625e-07,0.8309178743961353,0.7368421052631579,0.9107142857142857,102,10,25,70
False,False,845,9.5367431640625e-07,0.7444444444444445,0.7619047619047619,0.7291666666666666,35,13,10,32
True,True,1014,116.50323462486267,0.8067632850241546,0.8105263157894737,0.8035714285714286,90,22,18,77
True,False,1014,116.50323462486267,0.7333333333333333,0.6904761904761905,0.7708333333333334,37,11,13,29
False,True,1014,9.5367431640625e-07,0.8067632850241546,0.8105263157894737,0.8035714285714286,90,22,18,77
False,False,1014,9.5367431640625e-07,0.7333333333333333,0.6904761904761905,0.7708333333333334,37,11,13,29
True,True,1183,118.01011300086975,0.855072463768116,0.8736842105263158,0.8392857142857143,94,18,12,83
True,False,1183,118.01011300086975,0.7222222222222222,0.8571428571428571,0.6041666666666666,29,19,6,36
False,True,1183,1.430511474609375e-06,0.855072463768116,0.8736842105263158,0.8392857142857143,94,18,12,83
False,False,1183,1.430511474609375e-06,0.7222222222222222,0.8571428571428571,0.6041666666666666,29,19,6,36
True,True,1352,146.18298506736755,0.8454106280193237,0.8105263157894737,0.875,98,14,18,77
True,False,1352,146.18298506736755,0.8333333333333334,0.8095238095238095,0.8541666666666666,41,7,8,34
False,True,1352,9.5367431640625e-07,0.8454106280193237,0.8105263157894737,0.875,98,14,18,77
False,False,1352,9.5367431640625e-07,0.8333333333333334,0.8095238095238095,0.8541666666666666,41,7,8,34
True,True,1521,155.36168837547302,0.8405797101449275,0.7894736842105263,0.8839285714285714,99,13,20,75
True,False,1521,155.36168837547302,0.7333333333333333,0.6904761904761905,0.7708333333333334,37,11,13,29
False,True,1521,1.430511474609375e-06,0.8405797101449275,0.7894736842105263,0.8839285714285714,99,13,20,75
False,False,1521,1.430511474609375e-06,0.7333333333333333,0.6904761904761905,0.7708333333333334,37,11,13,29
True,True,1690,159.23132014274597,0.8260869565217391,0.7368421052631579,0.9017857142857143,101,11,25,70
True,False,1690,159.23132014274597,0.7666666666666667,0.6190476190476191,0.8958333333333334,43,5,16,26
False,True,1690,1.430511474609375e-06,0.8260869565217391,0.7368421052631579,0.9017857142857143,101,11,25,70
False,False,1690,1.430511474609375e-06,0.7666666666666667,0.6190476190476191,0.8958333333333334,43,5,16,26
True,True,1859,93.99982333183289,0.7681159420289855,0.6842105263157895,0.8392857142857143,94,18,30,65
True,False,1859,93.99982333183289,0.7555555555555555,0.6428571428571429,0.8541666666666666,41,7,15,27
False,True,1859,1.430511474609375e-06,0.7681159420289855,0.6842105263157895,0.8392857142857143,94,18,30,65
False,False,1859,1.430511474609375e-06,0.7555555555555555,0.6428571428571429,0.8541666666666666,41,7,15,27
True,True,2028,105.80855250358582,0.7584541062801933,0.8210526315789474,0.7053571428571429,79,33,17,78
True,False,2028,105.80855250358582,0.8333333333333334,0.8571428571428571,0.8125,39,9,6,36
False,True,2028,1.1920928955078125e-06,0.7584541062801933,0.8210526315789474,0.7053571428571429,79,33,17,78
False,False,2028,1.1920928955078125e-06,0.8333333333333334,0.8571428571428571,0.8125,39,9,6,36
