member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,128.1062684059143,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,0,128.1062684059143,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,0,762.0085201263428,0.8072289156626506,0.875886524822695,0.7424749163879598,222,77,35,247
False,False,0,762.0085201263428,0.751004016064257,0.8016528925619835,0.703125,90,38,24,97
True,True,169,149.6382920742035,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,169,149.6382920742035,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,169,886.1165821552277,0.8158347676419966,0.8794326241134752,0.7558528428093646,226,73,34,248
False,False,169,886.1165821552277,0.7871485943775101,0.7933884297520661,0.78125,100,28,25,96
True,True,338,145.0182707309723,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,338,145.0182707309723,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,338,876.5225660800934,0.7934595524956971,0.8829787234042553,0.7090301003344481,212,87,33,249
False,False,338,876.5225660800934,0.8232931726907631,0.9338842975206612,0.71875,92,36,8,113
True,True,507,144.15730595588684,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,507,144.15730595588684,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,507,867.5017664432526,0.8175559380378657,0.8794326241134752,0.7591973244147158,227,72,34,248
False,False,507,867.5017664432526,0.7991967871485943,0.8512396694214877,0.75,96,32,18,103
True,True,676,134.92858004570007,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,676,134.92858004570007,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,676,755.7051916122437,0.7831325301204819,0.875886524822695,0.6956521739130435,208,91,35,247
False,False,676,755.7051916122437,0.8112449799196787,0.9173553719008265,0.7109375,91,37,10,111
True,True,845,138.11158776283264,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,845,138.11158776283264,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,845,734.4202890396118,0.8192771084337349,0.8829787234042553,0.7591973244147158,227,72,33,249
False,False,845,734.4202890396118,0.7951807228915663,0.8347107438016529,0.7578125,97,31,20,101
True,True,1014,144.43564867973328,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1014,144.43564867973328,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1014,761.5681924819946,0.8158347676419966,0.8297872340425532,0.802675585284281,240,59,48,234
False,False,1014,761.5681924819946,0.7831325301204819,0.8264462809917356,0.7421875,95,33,21,100
True,True,1183,149.04482746124268,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1183,149.04482746124268,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1183,885.0277819633484,0.8192771084337349,0.6985815602836879,0.9331103678929766,279,20,85,197
False,False,1183,885.0277819633484,0.7911646586345381,0.6611570247933884,0.9140625,117,11,41,80
True,True,1352,137.26342105865479,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1352,137.26342105865479,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1352,784.0908296108246,0.846815834767642,0.9184397163120568,0.7792642140468228,233,66,23,259
False,False,1352,784.0908296108246,0.7831325301204819,0.8099173553719008,0.7578125,97,31,23,98
True,True,1521,144.821635723114,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1521,144.821635723114,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1521,812.6999452114105,0.8123924268502581,0.8546099290780141,0.7725752508361204,231,68,41,241
False,False,1521,812.6999452114105,0.8313253012048193,0.8760330578512396,0.7890625,101,27,15,106
True,True,1690,150.42580127716064,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1690,150.42580127716064,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1690,834.1832249164581,0.810671256454389,0.8829787234042553,0.7424749163879598,222,77,33,249
False,False,1690,834.1832249164581,0.8192771084337349,0.8842975206611571,0.7578125,97,31,14,107
True,True,1859,126.11019802093506,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,1859,126.11019802093506,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,1859,768.7283384799957,0.810671256454389,0.8900709219858156,0.7357859531772575,220,79,31,251
False,False,1859,768.7283384799957,0.7871485943775101,0.8512396694214877,0.7265625,93,35,18,103
True,True,2028,142.54850125312805,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2028,142.54850125312805,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2028,756.8444528579712,0.802065404475043,0.8936170212765957,0.7157190635451505,214,85,30,252
False,False,2028,756.8444528579712,0.7710843373493976,0.9256198347107438,0.625,80,48,9,112
True,True,2197,146.0286102294922,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2197,146.0286102294922,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2197,761.5632388591766,0.7917383820998278,0.900709219858156,0.6889632107023411,206,93,28,254
False,False,2197,761.5632388591766,0.7630522088353414,0.9090909090909091,0.625,80,48,11,110
True,True,2366,141.39344811439514,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2366,141.39344811439514,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2366,809.6262893676758,0.802065404475043,0.9113475177304965,0.6989966555183946,209,90,25,257
False,False,2366,809.6262893676758,0.7831325301204819,0.8760330578512396,0.6953125,89,39,15,106
True,True,2535,150.0551562309265,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2535,150.0551562309265,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2535,718.71621966362,0.8003442340791739,0.9184397163120568,0.6889632107023411,206,93,23,259
False,False,2535,718.71621966362,0.7550200803212851,0.8512396694214877,0.6640625,85,43,18,103
True,True,2704,141.45270133018494,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2704,141.45270133018494,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2704,692.8131556510925,0.8072289156626506,0.8936170212765957,0.725752508361204,217,82,30,252
False,False,2704,692.8131556510925,0.7670682730923695,0.8760330578512396,0.6640625,85,43,15,106
True,True,2873,154.11497950553894,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,2873,154.11497950553894,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,2873,921.8071300983429,0.8037865748709122,0.8120567375886525,0.7959866220735786,238,61,53,229
False,False,2873,921.8071300983429,0.8112449799196787,0.7933884297520661,0.828125,106,22,25,96
True,True,3042,138.05026006698608,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3042,138.05026006698608,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3042,842.676390171051,0.7986230636833046,0.8297872340425532,0.7692307692307693,230,69,48,234
False,False,3042,842.676390171051,0.7791164658634538,0.8181818181818182,0.7421875,95,33,22,99
True,True,3211,143.60058450698853,0.4853700516351119,1.0,0.0,0,299,0,282
True,False,3211,143.60058450698853,0.4859437751004016,1.0,0.0,0,128,0,121
False,True,3211,833.2663946151733,0.8141135972461274,0.8368794326241135,0.7926421404682275,237,62,46,236
False,False,3211,833.2663946151733,0.7991967871485943,0.8512396694214877,0.75,96,32,18,103
