member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,144.50198078155518,0.6280193236714976,0.9473684210526315,0.35714285714285715,40,72,5,90
True,False,0,144.50198078155518,0.6111111111111112,0.9285714285714286,0.3333333333333333,16,32,3,39
False,True,0,318.01566886901855,0.7922705314009661,0.8,0.7857142857142857,88,24,19,76
False,False,0,318.01566886901855,0.8333333333333334,0.8809523809523809,0.7916666666666666,38,10,5,37
True,True,169,164.43010139465332,0.6328502415458938,0.968421052631579,0.3482142857142857,39,73,3,92
True,False,169,164.43010139465332,0.5888888888888889,0.9047619047619048,0.3125,15,33,4,38
False,True,169,361.06860065460205,0.8164251207729468,0.7684210526315789,0.8571428571428571,96,16,22,73
False,False,169,361.06860065460205,0.7555555555555555,0.5476190476190477,0.9375,45,3,19,23
True,True,338,156.4111030101776,0.6231884057971014,0.9578947368421052,0.3392857142857143,38,74,4,91
True,False,338,156.4111030101776,0.6222222222222222,0.9285714285714286,0.3541666666666667,17,31,3,39
False,True,338,329.1534757614136,0.8357487922705314,0.7684210526315789,0.8928571428571429,100,12,22,73
False,False,338,329.1534757614136,0.7333333333333333,0.6666666666666666,0.7916666666666666,38,10,14,28
True,True,507,147.18960118293762,0.6473429951690821,0.968421052631579,0.375,42,70,3,92
True,False,507,147.18960118293762,0.6222222222222222,0.9285714285714286,0.3541666666666667,17,31,3,39
False,True,507,368.4135534763336,0.8357487922705314,0.8,0.8660714285714286,97,15,19,76
False,False,507,368.4135534763336,0.7777777777777778,0.6904761904761905,0.8541666666666666,41,7,13,29
True,True,676,145.05882906913757,0.5603864734299517,0.9789473684210527,0.20535714285714285,23,89,2,93
True,False,676,145.05882906913757,0.6222222222222222,1.0,0.2916666666666667,14,34,0,42
False,True,676,377.51997780799866,0.8019323671497585,0.7263157894736842,0.8660714285714286,97,15,26,69
False,False,676,377.51997780799866,0.8333333333333334,0.7142857142857143,0.9375,45,3,12,30
True,True,845,158.1088261604309,0.6473429951690821,0.9263157894736842,0.4107142857142857,46,66,7,88
True,False,845,158.1088261604309,0.7222222222222222,0.9761904761904762,0.5,24,24,1,41
False,True,845,351.89053082466125,0.8164251207729468,0.7894736842105263,0.8392857142857143,94,18,20,75
False,False,845,351.89053082466125,0.7777777777777778,0.8571428571428571,0.7083333333333334,34,14,6,36
True,True,1014,158.03552055358887,0.6570048309178744,0.9157894736842105,0.4375,49,63,8,87
True,False,1014,158.03552055358887,0.6333333333333333,0.8571428571428571,0.4375,21,27,6,36
False,True,1014,328.00020027160645,0.821256038647343,0.7368421052631579,0.8928571428571429,100,12,25,70
False,False,1014,328.00020027160645,0.7444444444444445,0.6428571428571429,0.8333333333333334,40,8,15,27
True,True,1183,158.75949239730835,0.6328502415458938,0.9263157894736842,0.38392857142857145,43,69,7,88
True,False,1183,158.75949239730835,0.6555555555555556,0.9761904761904762,0.375,18,30,1,41
False,True,1183,347.35047483444214,0.8115942028985508,0.7368421052631579,0.875,98,14,25,70
False,False,1183,347.35047483444214,0.8222222222222222,0.8333333333333334,0.8125,39,9,7,35
True,True,1352,155.55157852172852,0.6086956521739131,0.968421052631579,0.30357142857142855,34,78,3,92
True,False,1352,155.55157852172852,0.6111111111111112,0.9523809523809523,0.3125,15,33,2,40
False,True,1352,352.87412333488464,0.8067632850241546,0.8105263157894737,0.8035714285714286,90,22,18,77
False,False,1352,352.87412333488464,0.8,0.8333333333333334,0.7708333333333334,37,11,7,35
True,True,1521,157.7699098587036,0.5942028985507246,0.9789473684210527,0.26785714285714285,30,82,2,93
True,False,1521,157.7699098587036,0.5777777777777777,0.9523809523809523,0.25,12,36,2,40
False,True,1521,385.72831535339355,0.8067632850241546,0.8105263157894737,0.8035714285714286,90,22,18,77
False,False,1521,385.72831535339355,0.7,0.7619047619047619,0.6458333333333334,31,17,10,32
True,True,1690,170.62819170951843,0.5893719806763285,0.9789473684210527,0.25892857142857145,29,83,2,93
True,False,1690,170.62819170951843,0.5888888888888889,0.9761904761904762,0.25,12,36,1,41
False,True,1690,325.02223110198975,0.8115942028985508,0.8105263157894737,0.8125,91,21,18,77
False,False,1690,325.02223110198975,0.8,0.7619047619047619,0.8333333333333334,40,8,10,32
True,True,1859,166.0787558555603,0.7294685990338164,0.9052631578947369,0.5803571428571429,65,47,9,86
True,False,1859,166.0787558555603,0.7,0.8095238095238095,0.6041666666666666,29,19,8,34
False,True,1859,350.98190212249756,0.8019323671497585,0.7052631578947368,0.8839285714285714,99,13,28,67
False,False,1859,350.98190212249756,0.7666666666666667,0.5952380952380952,0.9166666666666666,44,4,17,25
True,True,2028,151.5186483860016,0.5748792270531401,0.9894736842105263,0.22321428571428573,25,87,1,94
True,False,2028,151.5186483860016,0.5777777777777777,0.9761904761904762,0.22916666666666666,11,37,1,41
False,True,2028,341.5921335220337,0.8115942028985508,0.6842105263157895,0.9196428571428571,103,9,30,65
False,False,2028,341.5921335220337,0.7777777777777778,0.6666666666666666,0.875,42,6,14,28
True,True,2197,160.08483505249023,0.7004830917874396,0.8421052631578947,0.5803571428571429,65,47,15,80
True,False,2197,160.08483505249023,0.7444444444444445,0.8571428571428571,0.6458333333333334,31,17,6,36
False,True,2197,361.73382353782654,0.7874396135265701,0.6842105263157895,0.875,98,14,30,65
False,False,2197,361.73382353782654,0.7777777777777778,0.6190476190476191,0.9166666666666666,44,4,16,26
True,True,2366,155.2778241634369,0.4927536231884058,1.0,0.0625,7,105,0,95
