member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,84.22364902496338,0.9551020408163265,0.9745222929936306,0.9204545454545454,81,7,4,153
True,False,0,84.22364902496338,0.7735849056603774,0.8088235294117647,0.7105263157894737,27,11,13,55
False,True,0,440.49168491363525,0.963265306122449,0.9872611464968153,0.9204545454545454,81,7,2,155
False,False,0,440.49168491363525,0.7641509433962265,0.8235294117647058,0.6578947368421053,25,13,12,56
True,True,169,129.2572741508484,0.9591836734693877,0.9808917197452229,0.9204545454545454,81,7,3,154
True,False,169,129.2572741508484,0.8490566037735849,0.9117647058823529,0.7368421052631579,28,10,6,62
False,True,169,680.4654257297516,0.9591836734693877,0.9808917197452229,0.9204545454545454,81,7,3,154
False,False,169,680.4654257297516,0.8490566037735849,0.9117647058823529,0.7368421052631579,28,10,6,62
True,True,338,131.327862739563,0.9224489795918367,0.9299363057324841,0.9090909090909091,80,8,11,146
True,False,338,131.327862739563,0.839622641509434,0.8382352941176471,0.8421052631578947,32,6,11,57
False,True,338,321.6347358226776,0.9224489795918367,0.9299363057324841,0.9090909090909091,80,8,11,146
False,False,338,321.6347358226776,0.839622641509434,0.8382352941176471,0.8421052631578947,32,6,11,57
True,True,507,83.03693294525146,0.9469387755102041,0.9554140127388535,0.9318181818181818,82,6,7,150
True,False,507,83.03693294525146,0.839622641509434,0.8529411764705882,0.8157894736842105,31,7,10,58
False,True,507,413.363929271698,0.9469387755102041,0.9554140127388535,0.9318181818181818,82,6,7,150
False,False,507,413.363929271698,0.8301886792452831,0.8382352941176471,0.8157894736842105,31,7,11,57
True,True,676,82.1039457321167,0.9469387755102041,0.9872611464968153,0.875,77,11,2,155
True,False,676,82.1039457321167,0.8962264150943396,0.9558823529411765,0.7894736842105263,30,8,3,65
False,True,676,453.7219603061676,0.9469387755102041,0.9872611464968153,0.875,77,11,2,155
False,False,676,453.7219603061676,0.8962264150943396,0.9558823529411765,0.7894736842105263,30,8,3,65
True,True,845,142.68023586273193,0.9387755102040817,0.9299363057324841,0.9545454545454546,84,4,11,146
True,False,845,142.68023586273193,0.8301886792452831,0.8970588235294118,0.7105263157894737,27,11,7,61
False,True,845,772.2644119262695,0.9387755102040817,0.9299363057324841,0.9545454545454546,84,4,11,146
False,False,845,772.2644119262695,0.8207547169811321,0.8823529411764706,0.7105263157894737,27,11,8,60
True,True,1014,139.6650230884552,0.9346938775510204,0.9745222929936306,0.8636363636363636,76,12,4,153
True,False,1014,139.6650230884552,0.8584905660377359,0.9411764705882353,0.7105263157894737,27,11,4,64
False,True,1014,786.0420081615448,0.9387755102040817,0.9808917197452229,0.8636363636363636,76,12,3,154
False,False,1014,786.0420081615448,0.8584905660377359,0.9411764705882353,0.7105263157894737,27,11,4,64
True,True,1183,118.82319808006287,0.9551020408163265,1.0,0.875,77,11,0,157
True,False,1183,118.82319808006287,0.8867924528301887,0.9705882352941176,0.7368421052631579,28,10,2,66
False,True,1183,665.5402271747589,0.9551020408163265,1.0,0.875,77,11,0,157
False,False,1183,665.5402271747589,0.8867924528301887,0.9705882352941176,0.7368421052631579,28,10,2,66
True,True,1352,131.8825397491455,0.9306122448979591,0.9936305732484076,0.8181818181818182,72,16,1,156
True,False,1352,131.8825397491455,0.9056603773584906,0.9558823529411765,0.8157894736842105,31,7,3,65
False,True,1352,702.6809031963348,0.9346938775510204,0.9936305732484076,0.8295454545454546,73,15,1,156
False,False,1352,702.6809031963348,0.9150943396226415,0.9558823529411765,0.8421052631578947,32,6,3,65
True,True,1521,111.26077580451965,0.9551020408163265,0.9936305732484076,0.8863636363636364,78,10,1,156
True,False,1521,111.26077580451965,0.8584905660377359,0.9117647058823529,0.7631578947368421,29,9,6,62
False,True,1521,649.02889585495,0.9591836734693877,1.0,0.8863636363636364,78,10,0,157
False,False,1521,649.02889585495,0.8301886792452831,0.9264705882352942,0.6578947368421053,25,13,5,63
True,True,1690,107.05221676826477,0.926530612244898,0.9299363057324841,0.9204545454545454,81,7,11,146
True,False,1690,107.05221676826477,0.839622641509434,0.9117647058823529,0.7105263157894737,27,11,6,62
False,True,1690,534.1501445770264,0.926530612244898,0.9299363057324841,0.9204545454545454,81,7,11,146
False,False,1690,534.1501445770264,0.839622641509434,0.9117647058823529,0.7105263157894737,27,11,6,62
True,True,1859,98.38838505744934,0.963265306122449,0.9681528662420382,0.9545454545454546,84,4,5,152
True,False,1859,98.38838505744934,0.8207547169811321,0.8970588235294118,0.6842105263157895,26,12,7,61
False,True,1859,474.9340603351593,0.9714285714285714,0.9872611464968153,0.9431818181818182,83,5,2,155
False,False,1859,474.9340603351593,0.8773584905660378,0.9705882352941176,0.7105263157894737,27,11,2,66
True,True,2028,204.7078037261963,0.9428571428571428,0.9872611464968153,0.8636363636363636,76,12,2,155
True,False,2028,204.7078037261963,0.8867924528301887,0.9558823529411765,0.7631578947368421,29,9,3,65
False,True,2028,997.528900384903,0.9428571428571428,0.9872611464968153,0.8636363636363636,76,12,2,155
False,False,2028,997.528900384903,0.8867924528301887,0.9558823529411765,0.7631578947368421,29,9,3,65
True,True,2197,148.68272614479065,0.9346938775510204,0.9872611464968153,0.8409090909090909,74,14,2,155
True,False,2197,148.68272614479065,0.8490566037735849,0.8823529411764706,0.7894736842105263,30,8,8,60
False,True,2197,828.0624341964722,0.9346938775510204,0.9872611464968153,0.8409090909090909,74,14,2,155
False,False,2197,828.0624341964722,0.8490566037735849,0.8823529411764706,0.7894736842105263,30,8,8,60
True,True,2366,252.06634855270386,0.9387755102040817,0.9617834394904459,0.8977272727272727,79,9,6,151
True,False,2366,252.06634855270386,0.8679245283018868,0.8823529411764706,0.8421052631578947,32,6,8,60
False,True,2366,1395.0467281341553,0.9428571428571428,0.9681528662420382,0.8977272727272727,79,9,5,152
False,False,2366,1395.0467281341553,0.8867924528301887,0.9117647058823529,0.8421052631578947,32,6,6,62
True,True,2535,88.54720640182495,0.9510204081632653,0.9745222929936306,0.9090909090909091,80,8,4,153
True,False,2535,88.54720640182495,0.7924528301886793,0.8970588235294118,0.6052631578947368,23,15,7,61
False,True,2535,360.897207736969,0.963265306122449,0.9936305732484076,0.9090909090909091,80,8,1,156
False,False,2535,360.897207736969,0.839622641509434,0.9705882352941176,0.6052631578947368,23,15,2,66
True,True,2704,161.77589082717896,0.963265306122449,0.9808917197452229,0.9318181818181818,82,6,3,154
True,False,2704,161.77589082717896,0.839622641509434,0.9705882352941176,0.6052631578947368,23,15,2,66
False,True,2704,835.5233430862427,0.963265306122449,0.9808917197452229,0.9318181818181818,82,6,3,154
False,False,2704,835.5233430862427,0.8490566037735849,0.9705882352941176,0.631578947368421,24,14,2,66
True,True,2873,197.73637342453003,0.9387755102040817,0.9426751592356688,0.9318181818181818,82,6,9,148
True,False,2873,197.73637342453003,0.8679245283018868,0.8823529411764706,0.8421052631578947,32,6,8,60
False,True,2873,967.6752128601074,0.9428571428571428,0.9426751592356688,0.9431818181818182,83,5,9,148
False,False,2873,967.6752128601074,0.8679245283018868,0.8676470588235294,0.868421052631579,33,5,9,59
True,True,3042,123.7612726688385,0.9387755102040817,0.9554140127388535,0.9090909090909091,80,8,7,150
True,False,3042,123.7612726688385,0.8773584905660378,0.9264705882352942,0.7894736842105263,30,8,5,63
False,True,3042,663.9187142848969,0.9387755102040817,0.9554140127388535,0.9090909090909091,80,8,7,150
False,False,3042,663.9187142848969,0.8773584905660378,0.9264705882352942,0.7894736842105263,30,8,5,63
True,True,3211,103.01742386817932,0.9306122448979591,0.9681528662420382,0.8636363636363636,76,12,5,152
True,False,3211,103.01742386817932,0.8962264150943396,0.9411764705882353,0.8157894736842105,31,7,4,64
False,True,3211,1333.6046495437622,0.9428571428571428,0.9872611464968153,0.8636363636363636,76,12,2,155
False,False,3211,1333.6046495437622,0.9150943396226415,0.9705882352941176,0.8157894736842105,31,7,2,66
True,True,3380,83.69193601608276,0.9224489795918367,0.9363057324840764,0.8977272727272727,79,9,10,147
True,False,3380,83.69193601608276,0.8113207547169812,0.8529411764705882,0.7368421052631579,28,10,10,58
False,True,3380,421.17636585235596,0.9224489795918367,0.9363057324840764,0.8977272727272727,79,9,10,147
False,False,3380,421.17636585235596,0.8113207547169812,0.8529411764705882,0.7368421052631579,28,10,10,58
True,True,3549,221.30847644805908,0.9591836734693877,0.9808917197452229,0.9204545454545454,81,7,3,154
True,False,3549,221.30847644805908,0.8490566037735849,0.9117647058823529,0.7368421052631579,28,10,6,62
False,True,3549,1049.0492868423462,0.9591836734693877,0.9808917197452229,0.9204545454545454,81,7,3,154
False,False,3549,1049.0492868423462,0.8490566037735849,0.9117647058823529,0.7368421052631579,28,10,6,62
True,True,3718,215.8017613887787,0.9346938775510204,0.9490445859872612,0.9090909090909091,80,8,8,149
True,False,3718,215.8017613887787,0.8490566037735849,0.9411764705882353,0.6842105263157895,26,12,4,64
False,True,3718,947.3992595672607,0.9428571428571428,0.9617834394904459,0.9090909090909091,80,8,6,151
False,False,3718,947.3992595672607,0.8490566037735849,0.9411764705882353,0.6842105263157895,26,12,4,64
True,True,3887,211.0354359149933,0.9224489795918367,0.9745222929936306,0.8295454545454546,73,15,4,153
True,False,3887,211.0354359149933,0.839622641509434,0.9558823529411765,0.631578947368421,24,14,3,65
False,True,3887,1089.8090200424194,0.926530612244898,0.9745222929936306,0.8409090909090909,74,14,4,153
False,False,3887,1089.8090200424194,0.839622641509434,0.9558823529411765,0.631578947368421,24,14,3,65
True,True,4056,129.30429530143738,0.9673469387755103,0.9872611464968153,0.9318181818181818,82,6,2,155
True,False,4056,129.30429530143738,0.8679245283018868,0.8823529411764706,0.8421052631578947,32,6,8,60
False,True,4056,586.1196556091309,0.9714285714285714,0.9936305732484076,0.9318181818181818,82,6,1,156
False,False,4056,586.1196556091309,0.8679245283018868,0.8823529411764706,0.8421052631578947,32,6,8,60
True,True,4225,79.1786482334137,0.9469387755102041,0.9235668789808917,0.9886363636363636,87,1,12,145
True,False,4225,79.1786482334137,0.9056603773584906,0.9705882352941176,0.7894736842105263,30,8,2,66
False,True,4225,347.6231780052185,0.963265306122449,0.9872611464968153,0.9204545454545454,81,7,2,155
False,False,4225,347.6231780052185,0.8679245283018868,0.9705882352941176,0.6842105263157895,26,12,2,66
True,True,4394,170.21744632720947,0.9714285714285714,1.0,0.9204545454545454,81,7,0,157
True,False,4394,170.21744632720947,0.8773584905660378,0.9705882352941176,0.7105263157894737,27,11,2,66
False,True,4394,929.2688801288605,0.9714285714285714,1.0,0.9204545454545454,81,7,0,157
False,False,4394,929.2688801288605,0.8773584905660378,0.9705882352941176,0.7105263157894737,27,11,2,66
True,True,4563,318.14772486686707,0.9510204081632653,0.9936305732484076,0.875,77,11,1,156
True,False,4563,318.14772486686707,0.8962264150943396,0.9705882352941176,0.7631578947368421,29,9,2,66
False,True,4563,1739.2088732719421,0.9510204081632653,0.9936305732484076,0.875,77,11,1,156
False,False,4563,1739.2088732719421,0.8962264150943396,0.9705882352941176,0.7631578947368421,29,9,2,66
True,True,4732,84.05637860298157,0.926530612244898,0.9171974522292994,0.9431818181818182,83,5,13,144
True,False,4732,84.05637860298157,0.8584905660377359,0.8823529411764706,0.8157894736842105,31,7,8,60
False,True,4732,197.65583443641663,0.9306122448979591,0.9171974522292994,0.9545454545454546,84,4,13,144
False,False,4732,197.65583443641663,0.8584905660377359,0.8823529411764706,0.8157894736842105,31,7,8,60
True,True,4901,75.91166496276855,0.9836734693877551,0.9936305732484076,0.9659090909090909,85,3,1,156
True,False,4901,75.91166496276855,0.8773584905660378,0.9705882352941176,0.7105263157894737,27,11,2,66
False,True,4901,328.9488101005554,0.9836734693877551,0.9936305732484076,0.9659090909090909,85,3,1,156
False,False,4901,328.9488101005554,0.8773584905660378,0.9705882352941176,0.7105263157894737,27,11,2,66
