member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,136.3624291419983,0.8519793459552496,0.8475177304964538,0.8561872909698997,256,43,43,239
True,False,0,136.3624291419983,0.8072289156626506,0.8264462809917356,0.7890625,101,27,21,100
False,True,0,1051.8806264400482,0.8519793459552496,0.8475177304964538,0.8561872909698997,256,43,43,239
False,False,0,1051.8806264400482,0.8072289156626506,0.8264462809917356,0.7890625,101,27,21,100
True,True,169,76.34422731399536,0.8519793459552496,0.8900709219858156,0.8160535117056856,244,55,31,251
True,False,169,76.34422731399536,0.8232931726907631,0.7851239669421488,0.859375,110,18,26,95
False,True,169,345.5886495113373,0.8519793459552496,0.8900709219858156,0.8160535117056856,244,55,31,251
False,False,169,345.5886495113373,0.8232931726907631,0.7851239669421488,0.859375,110,18,26,95
True,True,338,83.05440783500671,0.8364888123924269,0.8404255319148937,0.8327759197324415,249,50,45,237
True,False,338,83.05440783500671,0.8514056224899599,0.9173553719008265,0.7890625,101,27,10,111
False,True,338,546.3443768024445,0.8433734939759037,0.8368794326241135,0.8494983277591973,254,45,46,236
False,False,338,546.3443768024445,0.8554216867469879,0.9173553719008265,0.796875,102,26,10,111
True,True,507,628.0703349113464,0.8399311531841652,0.851063829787234,0.8294314381270903,248,51,42,240
True,False,507,628.0703349113464,0.8032128514056225,0.8099173553719008,0.796875,102,26,23,98
False,True,507,3547.879744052887,0.8416523235800344,0.8439716312056738,0.8394648829431438,251,48,44,238
False,False,507,3547.879744052887,0.8072289156626506,0.7933884297520661,0.8203125,105,23,25,96
True,True,676,68.41630625724792,0.8485370051635112,0.8617021276595744,0.8361204013377926,250,49,39,243
True,False,676,68.41630625724792,0.8433734939759037,0.8512396694214877,0.8359375,107,21,18,103
False,True,676,313.4568874835968,0.8485370051635112,0.8617021276595744,0.8361204013377926,250,49,39,243
False,False,676,313.4568874835968,0.8433734939759037,0.8512396694214877,0.8359375,107,21,18,103
True,True,845,185.4945523738861,0.8502581755593803,0.875886524822695,0.8260869565217391,247,52,35,247
True,False,845,185.4945523738861,0.8273092369477911,0.8677685950413223,0.7890625,101,27,16,105
False,True,845,1150.4924025535583,0.8502581755593803,0.875886524822695,0.8260869565217391,247,52,35,247
False,False,845,1150.4924025535583,0.8273092369477911,0.8677685950413223,0.7890625,101,27,16,105
True,True,1014,103.13460803031921,0.8519793459552496,0.8617021276595744,0.842809364548495,252,47,39,243
True,False,1014,103.13460803031921,0.8353413654618473,0.859504132231405,0.8125,104,24,17,104
False,True,1014,552.5536117553711,0.8519793459552496,0.8617021276595744,0.842809364548495,252,47,39,243
False,False,1014,552.5536117553711,0.8353413654618473,0.859504132231405,0.8125,104,24,17,104
True,True,1183,99.79831862449646,0.8364888123924269,0.900709219858156,0.7759197324414716,232,67,28,254
True,False,1183,99.79831862449646,0.8192771084337349,0.8760330578512396,0.765625,98,30,15,106
False,True,1183,507.5211215019226,0.8382099827882961,0.9042553191489362,0.7759197324414716,232,67,27,255
False,False,1183,507.5211215019226,0.8032128514056225,0.8760330578512396,0.734375,94,34,15,106
True,True,1352,290.42789006233215,0.8278829604130808,0.9113475177304965,0.7491638795986622,224,75,25,257
True,False,1352,290.42789006233215,0.7871485943775101,0.8677685950413223,0.7109375,91,37,16,105
False,True,1352,1481.2198779582977,0.8278829604130808,0.9113475177304965,0.7491638795986622,224,75,25,257
False,False,1352,1481.2198779582977,0.7871485943775101,0.8677685950413223,0.7109375,91,37,16,105
True,True,1521,141.17793655395508,0.846815834767642,0.8049645390070922,0.8862876254180602,265,34,55,227
True,False,1521,141.17793655395508,0.8594377510040161,0.8181818181818182,0.8984375,115,13,22,99
False,True,1521,757.0831940174103,0.846815834767642,0.8049645390070922,0.8862876254180602,265,34,55,227
False,False,1521,757.0831940174103,0.8594377510040161,0.8181818181818182,0.8984375,115,13,22,99
True,True,1690,328.00101804733276,0.8382099827882961,0.8829787234042553,0.7959866220735786,238,61,33,249
True,False,1690,328.00101804733276,0.8313253012048193,0.8677685950413223,0.796875,102,26,16,105
False,True,1690,1902.2799043655396,0.8399311531841652,0.8829787234042553,0.7993311036789298,239,60,33,249
False,False,1690,1902.2799043655396,0.8313253012048193,0.8677685950413223,0.796875,102,26,16,105
True,True,1859,435.27439641952515,0.8192771084337349,0.9361702127659575,0.7090301003344481,212,87,18,264
True,False,1859,435.27439641952515,0.7751004016064257,0.8512396694214877,0.703125,90,38,18,103
False,True,1859,2770.631979703903,0.8192771084337349,0.9361702127659575,0.7090301003344481,212,87,18,264
False,False,1859,2770.631979703903,0.7751004016064257,0.8512396694214877,0.703125,90,38,18,103
True,True,2028,100.40427947044373,0.8519793459552496,0.8652482269503546,0.8394648829431438,251,48,38,244
True,False,2028,100.40427947044373,0.8152610441767069,0.8512396694214877,0.78125,100,28,18,103
False,True,2028,539.3425025939941,0.8519793459552496,0.8652482269503546,0.8394648829431438,251,48,38,244
False,False,2028,539.3425025939941,0.8152610441767069,0.8512396694214877,0.78125,100,28,18,103
True,True,2197,123.76584315299988,0.8416523235800344,0.8546099290780141,0.8294314381270903,248,51,41,241
True,False,2197,123.76584315299988,0.8514056224899599,0.8677685950413223,0.8359375,107,21,16,105
False,True,2197,859.4798495769501,0.8416523235800344,0.8546099290780141,0.8294314381270903,248,51,41,241
False,False,2197,859.4798495769501,0.8554216867469879,0.8760330578512396,0.8359375,107,21,15,106
True,True,2366,148.45483350753784,0.8502581755593803,0.8652482269503546,0.8361204013377926,250,49,38,244
True,False,2366,148.45483350753784,0.8273092369477911,0.8429752066115702,0.8125,104,24,19,102
False,True,2366,793.1420428752899,0.8519793459552496,0.8652482269503546,0.8394648829431438,251,48,38,244
False,False,2366,793.1420428752899,0.8273092369477911,0.8429752066115702,0.8125,104,24,19,102
True,True,2535,97.16937136650085,0.8537005163511188,0.8723404255319149,0.8361204013377926,250,49,36,246
True,False,2535,97.16937136650085,0.8313253012048193,0.8347107438016529,0.828125,106,22,20,101
False,True,2535,461.3602542877197,0.8537005163511188,0.8723404255319149,0.8361204013377926,250,49,36,246
False,False,2535,461.3602542877197,0.8313253012048193,0.8347107438016529,0.828125,106,22,20,101
True,True,2704,356.8067190647125,0.8537005163511188,0.8723404255319149,0.8361204013377926,250,49,36,246
True,False,2704,356.8067190647125,0.7991967871485943,0.8512396694214877,0.75,96,32,18,103
False,True,2704,2227.4182052612305,0.8537005163511188,0.8723404255319149,0.8361204013377926,250,49,36,246
False,False,2704,2227.4182052612305,0.7991967871485943,0.8512396694214877,0.75,96,32,18,103
True,True,2873,162.65691113471985,0.8450946643717728,0.7872340425531915,0.8996655518394648,269,30,60,222
True,False,2873,162.65691113471985,0.8634538152610441,0.7933884297520661,0.9296875,119,9,25,96
False,True,2873,893.9119226932526,0.8450946643717728,0.7872340425531915,0.8996655518394648,269,30,60,222
False,False,2873,893.9119226932526,0.8634538152610441,0.7933884297520661,0.9296875,119,9,25,96
True,True,3042,307.63140058517456,0.8244406196213425,0.8971631205673759,0.7558528428093646,226,73,29,253
True,False,3042,307.63140058517456,0.8032128514056225,0.8842975206611571,0.7265625,93,35,14,107
False,True,3042,1897.9343056678772,0.8330464716006885,0.8936170212765957,0.7759197324414716,232,67,30,252
False,False,3042,1897.9343056678772,0.8112449799196787,0.8842975206611571,0.7421875,95,33,14,107
True,True,3211,103.28053879737854,0.8588640275387264,0.8439716312056738,0.8729096989966555,261,38,44,238
True,False,3211,103.28053879737854,0.8232931726907631,0.8347107438016529,0.8125,104,24,20,101
False,True,3211,534.1264390945435,0.8588640275387264,0.8439716312056738,0.8729096989966555,261,38,44,238
False,False,3211,534.1264390945435,0.8232931726907631,0.8347107438016529,0.8125,104,24,20,101
True,True,3380,118.3179099559784,0.8089500860585198,0.8546099290780141,0.7658862876254181,229,70,41,241
True,False,3380,118.3179099559784,0.8192771084337349,0.8760330578512396,0.765625,98,30,15,106
False,True,3380,1149.559235572815,0.810671256454389,0.851063829787234,0.7725752508361204,231,68,42,240
False,False,3380,1149.559235572815,0.8192771084337349,0.8677685950413223,0.7734375,99,29,16,105
True,True,3549,144.75059008598328,0.8347676419965576,0.8333333333333334,0.8361204013377926,250,49,47,235
True,False,3549,144.75059008598328,0.8674698795180723,0.8512396694214877,0.8828125,113,15,18,103
False,True,3549,803.3291215896606,0.8382099827882961,0.8333333333333334,0.842809364548495,252,47,47,235
False,False,3549,803.3291215896606,0.8634538152610441,0.8429752066115702,0.8828125,113,15,19,102
True,True,3718,107.44234585762024,0.8605851979345955,0.8723404255319149,0.8494983277591973,254,45,36,246
True,False,3718,107.44234585762024,0.8232931726907631,0.8264462809917356,0.8203125,105,23,21,100
False,True,3718,614.1400439739227,0.8623063683304647,0.8723404255319149,0.8528428093645485,255,44,36,246
False,False,3718,614.1400439739227,0.8192771084337349,0.8181818181818182,0.8203125,105,23,22,99
True,True,3887,281.85879349708557,0.8399311531841652,0.8546099290780141,0.8260869565217391,247,52,41,241
True,False,3887,281.85879349708557,0.8313253012048193,0.8925619834710744,0.7734375,99,29,13,108
False,True,3887,1749.6644654273987,0.8399311531841652,0.8546099290780141,0.8260869565217391,247,52,41,241
False,False,3887,1749.6644654273987,0.8313253012048193,0.8925619834710744,0.7734375,99,29,13,108
True,True,4056,151.47418642044067,0.8227194492254734,0.875886524822695,0.7725752508361204,231,68,35,247
True,False,4056,151.47418642044067,0.8192771084337349,0.8677685950413223,0.7734375,99,29,16,105
False,True,4056,1112.6659643650055,0.8227194492254734,0.875886524822695,0.7725752508361204,231,68,35,247
False,False,4056,1112.6659643650055,0.8192771084337349,0.8677685950413223,0.7734375,99,29,16,105
True,True,4225,143.20431900024414,0.8330464716006885,0.7304964539007093,0.9297658862876255,278,21,76,206
True,False,4225,143.20431900024414,0.8353413654618473,0.743801652892562,0.921875,118,10,31,90
False,True,4225,913.9804368019104,0.8330464716006885,0.7304964539007093,0.9297658862876255,278,21,76,206
False,False,4225,913.9804368019104,0.8353413654618473,0.743801652892562,0.921875,118,10,31,90
True,True,4394,237.94037127494812,0.8158347676419966,0.9042553191489362,0.7324414715719063,219,80,27,255
True,False,4394,237.94037127494812,0.7831325301204819,0.8677685950413223,0.703125,90,38,16,105
False,True,4394,1290.5808300971985,0.8175559380378657,0.9042553191489362,0.7357859531772575,220,79,27,255
False,False,4394,1290.5808300971985,0.7831325301204819,0.8677685950413223,0.703125,90,38,16,105
True,True,4563,204.08201837539673,0.846815834767642,0.8617021276595744,0.8327759197324415,249,50,39,243
