member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,48.860581159591675,0.8888888888888888,0.8526315789473684,0.9196428571428571,103,9,14,81
True,False,0,48.860581159591675,0.7444444444444445,0.6666666666666666,0.8125,39,9,14,28
False,True,0,217.5690939426422,0.8888888888888888,0.8526315789473684,0.9196428571428571,103,9,14,81
False,False,0,217.5690939426422,0.7444444444444445,0.6666666666666666,0.8125,39,9,14,28
True,True,169,61.12533116340637,0.8599033816425121,0.8105263157894737,0.9017857142857143,101,11,18,77
True,False,169,61.12533116340637,0.7555555555555555,0.6428571428571429,0.8541666666666666,41,7,15,27
False,True,169,305.2937195301056,0.8599033816425121,0.8105263157894737,0.9017857142857143,101,11,18,77
False,False,169,305.2937195301056,0.7555555555555555,0.6428571428571429,0.8541666666666666,41,7,15,27
True,True,338,83.4516248703003,0.8985507246376812,0.8842105263157894,0.9107142857142857,102,10,11,84
True,False,338,83.4516248703003,0.7,0.6190476190476191,0.7708333333333334,37,11,16,26
False,True,338,474.7038516998291,0.9033816425120773,0.8947368421052632,0.9107142857142857,102,10,10,85
False,False,338,474.7038516998291,0.7,0.6190476190476191,0.7708333333333334,37,11,16,26
True,True,507,38.10858774185181,0.8647342995169082,0.8631578947368421,0.8660714285714286,97,15,13,82
True,False,507,38.10858774185181,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
False,True,507,174.19257426261902,0.8840579710144928,0.8210526315789474,0.9375,105,7,17,78
False,False,507,174.19257426261902,0.8111111111111111,0.7380952380952381,0.875,42,6,11,31
True,True,676,41.47451591491699,0.8357487922705314,0.7894736842105263,0.875,98,14,20,75
True,False,676,41.47451591491699,0.8666666666666667,0.8333333333333334,0.8958333333333334,43,5,7,35
False,True,676,200.31636118888855,0.8357487922705314,0.7894736842105263,0.875,98,14,20,75
False,False,676,200.31636118888855,0.8666666666666667,0.8333333333333334,0.8958333333333334,43,5,7,35
True,True,845,40.150493144989014,0.855072463768116,0.7789473684210526,0.9196428571428571,103,9,21,74
True,False,845,40.150493144989014,0.7777777777777778,0.7380952380952381,0.8125,39,9,11,31
False,True,845,155.27045488357544,0.855072463768116,0.7789473684210526,0.9196428571428571,103,9,21,74
False,False,845,155.27045488357544,0.7777777777777778,0.7380952380952381,0.8125,39,9,11,31
True,True,1014,37.54662871360779,0.8743961352657005,0.8631578947368421,0.8839285714285714,99,13,13,82
True,False,1014,37.54662871360779,0.7777777777777778,0.7857142857142857,0.7708333333333334,37,11,9,33
False,True,1014,177.6191689968109,0.8743961352657005,0.8631578947368421,0.8839285714285714,99,13,13,82
False,False,1014,177.6191689968109,0.7666666666666667,0.7619047619047619,0.7708333333333334,37,11,10,32
True,True,1183,50.217472553253174,0.8743961352657005,0.9157894736842105,0.8392857142857143,94,18,8,87
True,False,1183,50.217472553253174,0.7777777777777778,0.8809523809523809,0.6875,33,15,5,37
False,True,1183,218.68530344963074,0.8743961352657005,0.9157894736842105,0.8392857142857143,94,18,8,87
False,False,1183,218.68530344963074,0.7777777777777778,0.8809523809523809,0.6875,33,15,5,37
True,True,1352,52.51175332069397,0.8743961352657005,0.8421052631578947,0.9017857142857143,101,11,15,80
True,False,1352,52.51175332069397,0.8333333333333334,0.8095238095238095,0.8541666666666666,41,7,8,34
False,True,1352,284.40207743644714,0.8792270531400966,0.8421052631578947,0.9107142857142857,102,10,15,80
False,False,1352,284.40207743644714,0.8333333333333334,0.8095238095238095,0.8541666666666666,41,7,8,34
True,True,1521,65.15637874603271,0.8840579710144928,0.8210526315789474,0.9375,105,7,17,78
True,False,1521,65.15637874603271,0.7555555555555555,0.7857142857142857,0.7291666666666666,35,13,9,33
False,True,1521,354.34950733184814,0.8840579710144928,0.8210526315789474,0.9375,105,7,17,78
False,False,1521,354.34950733184814,0.7555555555555555,0.7857142857142857,0.7291666666666666,35,13,9,33
True,True,1690,37.853516817092896,0.8743961352657005,0.8421052631578947,0.9017857142857143,101,11,15,80
True,False,1690,37.853516817092896,0.7555555555555555,0.7142857142857143,0.7916666666666666,38,10,12,30
False,True,1690,147.23602771759033,0.8743961352657005,0.8421052631578947,0.9017857142857143,101,11,15,80
False,False,1690,147.23602771759033,0.7555555555555555,0.7142857142857143,0.7916666666666666,38,10,12,30
True,True,1859,94.85531401634216,0.8695652173913043,0.8947368421052632,0.8482142857142857,95,17,10,85
True,False,1859,94.85531401634216,0.8,0.7380952380952381,0.8541666666666666,41,7,11,31
False,True,1859,557.1312448978424,0.8743961352657005,0.8842105263157894,0.8660714285714286,97,15,11,84
False,False,1859,557.1312448978424,0.8,0.7619047619047619,0.8333333333333334,40,8,10,32
True,True,2028,48.86640977859497,0.8309178743961353,0.8105263157894737,0.8482142857142857,95,17,18,77
True,False,2028,48.86640977859497,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
False,True,2028,247.80386352539062,0.8357487922705314,0.8105263157894737,0.8571428571428571,96,16,18,77
False,False,2028,247.80386352539062,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
True,True,2197,157.38189125061035,0.8792270531400966,0.8210526315789474,0.9285714285714286,104,8,17,78
True,False,2197,157.38189125061035,0.8111111111111111,0.7380952380952381,0.875,42,6,11,31
False,True,2197,904.4529685974121,0.8792270531400966,0.8210526315789474,0.9285714285714286,104,8,17,78
False,False,2197,904.4529685974121,0.8111111111111111,0.7380952380952381,0.875,42,6,11,31
True,True,2366,180.00259590148926,0.8792270531400966,0.8736842105263158,0.8839285714285714,99,13,12,83
True,False,2366,180.00259590148926,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
False,True,2366,880.5011441707611,0.8792270531400966,0.8736842105263158,0.8839285714285714,99,13,12,83
False,False,2366,880.5011441707611,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
True,True,2535,102.57702589035034,0.8792270531400966,0.8210526315789474,0.9285714285714286,104,8,17,78
True,False,2535,102.57702589035034,0.8555555555555555,0.8095238095238095,0.8958333333333334,43,5,8,34
False,True,2535,490.03298687934875,0.8792270531400966,0.8210526315789474,0.9285714285714286,104,8,17,78
False,False,2535,490.03298687934875,0.8555555555555555,0.8095238095238095,0.8958333333333334,43,5,8,34
True,True,2704,40.369558572769165,0.8454106280193237,0.8526315789473684,0.8392857142857143,94,18,14,81
True,False,2704,40.369558572769165,0.8222222222222222,0.8095238095238095,0.8333333333333334,40,8,8,34
False,True,2704,132.76083731651306,0.8454106280193237,0.8526315789473684,0.8392857142857143,94,18,14,81
False,False,2704,132.76083731651306,0.8222222222222222,0.8095238095238095,0.8333333333333334,40,8,8,34
True,True,2873,63.04857587814331,0.8405797101449275,0.8315789473684211,0.8482142857142857,95,17,16,79
True,False,2873,63.04857587814331,0.8555555555555555,0.8571428571428571,0.8541666666666666,41,7,6,36
False,True,2873,347.46759819984436,0.8405797101449275,0.8315789473684211,0.8482142857142857,95,17,16,79
False,False,2873,347.46759819984436,0.8555555555555555,0.8571428571428571,0.8541666666666666,41,7,6,36
True,True,3042,49.794782876968384,0.8454106280193237,0.8105263157894737,0.875,98,14,18,77
True,False,3042,49.794782876968384,0.8222222222222222,0.7619047619047619,0.875,42,6,10,32
False,True,3042,203.96185684204102,0.8502415458937198,0.8105263157894737,0.8839285714285714,99,13,18,77
False,False,3042,203.96185684204102,0.8,0.7380952380952381,0.8541666666666666,41,7,11,31
True,True,3211,67.02046275138855,0.8502415458937198,0.8,0.8928571428571429,100,12,19,76
True,False,3211,67.02046275138855,0.8,0.7142857142857143,0.875,42,6,12,30
False,True,3211,293.55048418045044,0.8502415458937198,0.8,0.8928571428571429,100,12,19,76
False,False,3211,293.55048418045044,0.8111111111111111,0.7380952380952381,0.875,42,6,11,31
True,True,3380,58.17250394821167,0.8695652173913043,0.7894736842105263,0.9375,105,7,20,75
True,False,3380,58.17250394821167,0.8444444444444444,0.7380952380952381,0.9375,45,3,11,31
False,True,3380,264.02333879470825,0.8695652173913043,0.7894736842105263,0.9375,105,7,20,75
False,False,3380,264.02333879470825,0.8444444444444444,0.7380952380952381,0.9375,45,3,11,31
True,True,3549,65.81338310241699,0.8647342995169082,0.8105263157894737,0.9107142857142857,102,10,18,77
True,False,3549,65.81338310241699,0.8111111111111111,0.8095238095238095,0.8125,39,9,8,34
False,True,3549,358.619047164917,0.8647342995169082,0.8105263157894737,0.9107142857142857,102,10,18,77
False,False,3549,358.619047164917,0.8111111111111111,0.8095238095238095,0.8125,39,9,8,34
True,True,3718,40.16534686088562,0.8502415458937198,0.7894736842105263,0.9017857142857143,101,11,20,75
True,False,3718,40.16534686088562,0.8,0.6666666666666666,0.9166666666666666,44,4,14,28
False,True,3718,177.64516878128052,0.8502415458937198,0.7894736842105263,0.9017857142857143,101,11,20,75
False,False,3718,177.64516878128052,0.8111111111111111,0.6666666666666666,0.9375,45,3,14,28
True,True,3887,44.41179943084717,0.8599033816425121,0.7789473684210526,0.9285714285714286,104,8,21,74
True,False,3887,44.41179943084717,0.8666666666666667,0.8095238095238095,0.9166666666666666,44,4,8,34
False,True,3887,184.36178851127625,0.8599033816425121,0.7789473684210526,0.9285714285714286,104,8,21,74
False,False,3887,184.36178851127625,0.8666666666666667,0.8095238095238095,0.9166666666666666,44,4,8,34
True,True,4056,55.29118800163269,0.9033816425120773,0.8421052631578947,0.9553571428571429,107,5,15,80
True,False,4056,55.29118800163269,0.7777777777777778,0.7619047619047619,0.7916666666666666,38,10,10,32
False,True,4056,294.3443212509155,0.9033816425120773,0.8421052631578947,0.9553571428571429,107,5,15,80
