,gen,evals,avg,min,max,nevals
0,0,500.0,[0.21907395 0.77233533],[0. 0.],[1. 1.],
1,1,,[0.23031511 0.7600479 ],[0. 0.],[1. 1.],384.0
2,2,,[0.24167203 0.74526946],[0. 0.],[1. 1.],370.0
3,3,,[0.25281029 0.73168862],[0. 0.],[1. 1.],368.0
4,4,,[0.26990354 0.71317365],[0. 0.],[1. 1.],389.0
5,5,,[0.29111897 0.69420359],[0. 0.],[1. 1.],373.0
6,6,,[0.29078457 0.69701796],[0. 0.],[1. 1.],372.0
7,7,,[0.29879743 0.69210778],[0. 0.],[1. 1.],370.0
8,8,,[0.29488103 0.70010778],[0. 0.],[1. 1.],381.0
9,9,,[0.28553055 0.69865868],[0. 0.],[1. 1.],370.0
10,10,,[0.29059807 0.68808383],[0. 0.],[1. 1.],375.0
11,11,,[0.2950418  0.68953293],[0. 0.],[1. 1.],387.0
12,12,,[0.30242444 0.68518563],[0. 0.],[1. 1.],371.0
13,13,,[0.30484887 0.6822994 ],[0. 0.],[1. 1.],360.0
14,14,,[0.30106109 0.67208383],[0. 0.],[1. 1.],380.0
15,15,,[0.30396141 0.67071856],[0. 0.],[1. 1.],374.0
16,16,,[0.31176849 0.66843114],[0. 0.],[1. 1.],390.0
17,17,,[0.31378778 0.66176048],[0. 0.],[1. 1.],393.0
18,18,,[0.32201929 0.65226347],[0. 0.],[1. 1.],382.0
19,19,,[0.32886817 0.64079042],[0. 0.],[1. 1.],383.0
20,20,,[0.3322701  0.63734132],[0. 0.],[1. 1.],398.0
21,21,,[0.32803215 0.63470659],[0. 0.],[1. 1.],361.0
22,22,,[0.33745338 0.62764072],[0. 0.],[1. 1.],376.0
23,23,,[0.32644373 0.64100599],[0. 0.],[1. 1.],365.0
24,24,,[0.33716399 0.62638323],[0. 0.],[1. 1.],374.0
25,25,,[0.33338264 0.62991617],[0. 0.],[1. 1.],361.0
26,26,,[0.32628939 0.63205988],[0. 0.],[1. 1.],385.0
27,27,,[0.33149839 0.63108982],[0. 0.],[1. 1.],381.0
28,28,,[0.33953055 0.63483832],[0. 0.],[1. 1.],380.0
29,29,,[0.33781994 0.63864671],[0. 0.],[1. 1.],384.0
30,30,,[0.33526045 0.64298204],[0. 0.],[1. 1.],371.0
31,31,,[0.34328617 0.65453892],[0. 0.],[1. 1.],374.0
32,32,,[0.34543408 0.65398802],[0. 0.],[1. 1.],382.0
33,33,,[0.35930547 0.65966467],[0. 0.],[1. 1.],381.0
34,34,,[0.3614791  0.65722156],[0. 0.],[1. 1.],380.0
35,35,,[0.35689389 0.65336527],[0. 0.],[1. 1.],408.0
36,36,,[0.36255949 0.64210778],[0. 0.],[1. 1.],371.0
37,37,,[0.35862379 0.64453892],[0. 0.],[1. 1.],367.0
38,38,,[0.34816077 0.64819162],[0. 0.],[1. 1.],373.0
39,39,,[0.34317685 0.64964072],[0. 0.],[1. 1.],363.0
40,40,,[0.34933119 0.64481437],[0. 0.],[1. 1.],372.0
41,41,,[0.34736334 0.64064671],[0. 0.],[1. 1.],388.0
42,42,,[0.34636013 0.64210778],[0. 0.],[1. 1.],398.0
43,43,,[0.34307395 0.63994012],[0. 0.],[1. 1.],366.0
44,44,,[0.35355627 0.62009581],[0. 0.],[1. 1.],386.0
45,45,,[0.34310611 0.62900599],[0. 0.],[1. 1.],386.0
46,46,,[0.34485531 0.63607186],[0. 0.],[1. 1.],391.0
47,47,,[0.34344695 0.6379521 ],[0. 0.],[1. 1.],371.0
48,48,,[0.33237299 0.64621557],[0. 0.],[1. 1.],372.0
49,49,,[0.33362058 0.64828743],[0. 0.],[1. 1.],381.0
50,50,,[0.33519614 0.63906587],[0. 0.],[1. 1.],381.0
