,gen,evals,avg,min,max,nevals
0,0,500.0,[0.2218796  0.77038298],[0. 0.],[1. 1.],
1,1,,[0.23499666 0.76292199],[0. 0.],[1. 1.],385.0
2,2,,[0.24571906 0.75233333],[0. 0.],[1. 1.],396.0
3,3,,[0.25247492 0.74500709],[0. 0.],[1. 1.],383.0
4,4,,[0.27957191 0.71421277],[0. 0.],[1. 1.],399.0
5,5,,[0.28074247 0.71543972],[0. 0.],[1. 1.],387.0
6,6,,[0.28147826 0.72261702],[0. 0.],[1. 1.],385.0
7,7,,[0.304      0.69991489],[0. 0.],[1. 1.],383.0
8,8,,[0.30879599 0.70541135],[0. 0.],[1. 1.],367.0
9,9,,[0.31541137 0.6972766 ],[0. 0.],[1. 1.],374.0
10,10,,[0.31240134 0.69407801],[0. 0.],[1. 1.],359.0
11,11,,[0.31765217 0.69408511],[0. 0.],[1. 1.],385.0
12,12,,[0.31542475 0.69346809],[0. 0.],[1. 1.],389.0
13,13,,[0.32655518 0.68428369],[0. 0.],[1. 1.],396.0
14,14,,[0.32908361 0.67596454],[0. 0.],[1. 1.],387.0
15,15,,[0.33729097 0.66950355],[0. 0.],[1. 1.],365.0
16,16,,[0.35256187 0.65847518],[0. 0.],[1. 1.],379.0
17,17,,[0.34457525 0.66585106],[0. 0.],[1. 1.],397.0
18,18,,[0.3412709  0.66353191],[0. 0.],[1. 1.],385.0
19,19,,[0.34692977 0.65838298],[0. 0.],[1. 1.],404.0
20,20,,[0.34380602 0.65341135],[0. 0.],[1. 1.],398.0
21,21,,[0.3381204  0.64953901],[0. 0.],[1. 1.],374.0
22,22,,[0.32578595 0.65803546],[0. 0.],[1. 1.],374.0
23,23,,[0.32497659 0.66679433],[0. 0.],[1. 1.],391.0
24,24,,[0.34243478 0.65007092],[0. 0.],[1. 1.],373.0
25,25,,[0.34632107 0.64051064],[0. 0.],[1. 1.],370.0
26,26,,[0.3679398  0.61610638],[0. 0.],[1. 1.],375.0
27,27,,[0.36206689 0.62689362],[0. 0.],[1. 1.],388.0
28,28,,[0.37935117 0.61419858],[0. 0.],[1. 1.],371.0
29,29,,[0.37632107 0.62095035],[0. 0.],[1. 1.],372.0
30,30,,[0.34972575 0.63683688],[0. 0.],[1. 1.],379.0
