,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.55364082 -0.01261678],[ 0.22857143 -0.01274583],[ 0.83265306 -0.01253006],
1,1,,[ 0.55586939 -0.01258513],[ 0.18367347 -0.01274583],[ 0.83265306 -0.01253006],381.0
2,2,,[ 0.5584    -0.0125794],[ 0.22040816 -0.01271375],[ 0.82857143 -0.01254934],390.0
3,3,,[ 0.55929796 -0.01257954],[ 0.22040816 -0.01274583],[ 0.82857143 -0.01254783],387.0
4,4,,[ 0.56274286 -0.01257966],[ 0.18367347 -0.01274113],[ 0.81632653 -0.01254819],391.0
5,5,,[ 0.56288163 -0.01258059],[ 0.22857143 -0.01271998],[ 0.83265306 -0.01253006],374.0
6,6,,[ 0.56627755 -0.01257919],[ 0.22857143 -0.01268389],[ 0.83673469 -0.01255087],411.0
7,7,,[ 0.56605714 -0.01258089],[ 0.22857143 -0.01271032],[ 0.83673469 -0.01253505],364.0
8,8,,[ 0.56421224 -0.01258101],[ 0.25714286 -0.01271375],[ 0.83673469 -0.01255709],381.0
9,9,,[ 0.56390204 -0.01258262],[ 0.19591837 -0.01271375],[ 0.83673469 -0.01254934],377.0
10,10,,[ 0.55964082 -0.01258002],[ 0.19591837 -0.01270206],[ 0.83673469 -0.01254934],364.0
11,11,,[ 0.55890612 -0.01258081],[ 0.24897959 -0.01271998],[ 0.83265306 -0.01255087],373.0
12,12,,[ 0.55959184 -0.01257996],[ 0.27346939 -0.01271998],[ 0.85306122 -0.01254827],387.0
13,13,,[ 0.56326531 -0.01257927],[ 0.26938776 -0.01268025],[ 0.86530612 -0.01253505],384.0
14,14,,[ 0.56115918 -0.01257911],[ 0.2122449  -0.01268861],[ 0.86530612 -0.01253006],388.0
15,15,,[ 0.56594286 -0.01257911],[ 0.19183673 -0.01274583],[ 0.86530612 -0.01255348],365.0
16,16,,[ 0.56268571 -0.01257942],[ 0.1877551  -0.01270796],[ 0.85306122 -0.01254789],391.0
17,17,,[ 0.56428571 -0.01257836],[ 0.20408163 -0.01274583],[ 0.85306122 -0.01254998],394.0
18,18,,[ 0.56612245 -0.01257739],[ 0.19183673 -0.012673  ],[ 0.85306122 -0.01255223],375.0
19,19,,[ 0.56737143 -0.01257968],[ 0.18367347 -0.01270084],[ 0.86122449 -0.01254789],388.0
20,20,,[ 0.57032653 -0.0125797 ],[ 0.19183673 -0.01267834],[ 0.86122449 -0.01254819],369.0
21,21,,[ 0.57102857 -0.0125801 ],[ 0.1877551  -0.01270796],[ 0.86122449 -0.01253505],366.0
22,22,,[ 0.57237551 -0.01257781],[ 0.1877551  -0.01268509],[ 0.86122449 -0.01253505],395.0
23,23,,[ 0.57235102 -0.01257858],[ 0.27346939 -0.01267721],[ 0.86122449 -0.01253505],386.0
24,24,,[ 0.56843265 -0.01258073],[ 0.26122449 -0.01271032],[ 0.86122449 -0.01255087],378.0
25,25,,[ 0.57171429 -0.01257955],[ 0.29795918 -0.01271998],[ 0.86122449 -0.01256195],388.0
26,26,,[ 0.56845714 -0.01257961],[ 0.28163265 -0.01271998],[ 0.86122449 -0.01253628],380.0
27,27,,[ 0.57043265 -0.01257835],[ 0.28163265 -0.01268642],[ 0.86122449 -0.01255328],382.0
28,28,,[ 0.56862857 -0.01257946],[ 0.30204082 -0.01274583],[ 0.83265306 -0.01255223],372.0
29,29,,[ 0.57052245 -0.01257794],[ 0.24489796 -0.01268642],[ 0.82857143 -0.01254789],388.0
30,30,,[ 0.56754286 -0.01257957],[ 0.24489796 -0.01271426],[ 0.84489796 -0.01253006],371.0
31,31,,[ 0.56905306 -0.01257992],[ 0.2122449  -0.01274583],[ 0.84897959 -0.01254789],390.0
