,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49553613 -0.12448535],[ 0.09480717 -0.12524193],[ 0.93103183 -0.12419066],
1,1,,[ 0.49162418 -0.12431386],[ 0.07700676 -0.12520259],[ 0.93103183 -0.12419066],388.0
2,2,,[ 0.49435539 -0.12427199],[ 0.07700676 -0.12518595],[ 0.87348133 -0.12421095],378.0
3,3,,[ 0.50044829 -0.12427062],[ 0.07700676 -0.12520686],[ 0.90420124 -0.12421095],391.0
4,4,,[ 0.50479121 -0.12426216],[ 0.07700676 -0.12503706],[ 0.90342145 -0.12419066],385.0
5,5,,[ 0.50740047 -0.12426254],[ 0.06896817 -0.12520477],[ 0.92942411 -0.12421095],387.0
6,6,,[ 0.50719262 -0.1242595 ],[ 0.09430656 -0.12524193],[ 0.92942411 -0.12420866],405.0
7,7,,[ 0.50662572 -0.12426687],[ 0.09579876 -0.12524193],[ 0.90203516 -0.12422226],379.0
8,8,,[ 0.50655356 -0.12426046],[ 0.09579876 -0.12521291],[ 0.90203516 -0.12419147],375.0
9,9,,[ 0.50784574 -0.12426472],[ 0.0523904  -0.12521291],[ 0.90203516 -0.12419066],383.0
10,10,,[ 0.50654015 -0.12427997],[ 0.08138707 -0.12521644],[ 0.90203516 -0.12420451],396.0
11,11,,[ 0.51118401 -0.12426468],[ 0.07877814 -0.1252133 ],[ 0.90203516 -0.12420451],378.0
12,12,,[ 0.51336151 -0.12427583],[ 0.08643164 -0.1252133 ],[ 0.90691607 -0.12420183],393.0
13,13,,[ 0.51122535 -0.1242711 ],[ 0.08643164 -0.1252133 ],[ 0.91899802 -0.12419147],404.0
14,14,,[ 0.50317053 -0.12426773],[ 0.08643164 -0.12524193],[ 0.92299324 -0.12419147],395.0
15,15,,[ 0.49834802 -0.12426871],[ 0.08643164 -0.1252133 ],[ 0.9328032  -0.12420879],365.0
16,16,,[ 0.50148216 -0.12425449],[ 0.08643164 -0.12521644],[ 0.9328032  -0.12420866],378.0
17,17,,[ 0.50006664 -0.12425036],[ 0.08643164 -0.12521644],[ 0.9250438  -0.12420183],371.0
18,18,,[ 0.4972634  -0.12426272],[ 0.08643164 -0.12521644],[ 0.9250438  -0.12420183],377.0
19,19,,[ 0.49827422 -0.12426922],[ 0.09286251 -0.1252133 ],[ 0.9250438  -0.12421503],381.0
20,20,,[ 0.49721667 -0.12426548],[ 0.09286251 -0.12520259],[ 0.93696209 -0.12419824],387.0
21,21,,[ 0.49598722 -0.12428682],[ 0.06896817 -0.12520753],[ 0.91994147 -0.12419824],366.0
22,22,,[ 0.49307883 -0.12427698],[ 0.06896817 -0.12524193],[ 0.88151992 -0.12419066],383.0
23,23,,[ 0.48901773 -0.12427153],[ 0.06896817 -0.1252133 ],[ 0.90802318 -0.12421296],354.0
24,24,,[ 0.4871305  -0.12426641],[ 0.06896817 -0.12524193],[ 0.89582571 -0.12419147],376.0
25,25,,[ 0.48551726 -0.12428314],[ 0.0793365  -0.12518595],[ 0.90203516 -0.12420451],388.0
26,26,,[ 0.4885296  -0.12427156],[ 0.06530989 -0.12520477],[ 0.91007374 -0.12420879],401.0
27,27,,[ 0.48553324 -0.12429168],[ 0.07129792 -0.12522131],[ 0.93103183 -0.12420866],378.0
28,28,,[ 0.48386068 -0.12427757],[ 0.02733119 -0.12520477],[ 0.91007374 -0.12420879],386.0
29,29,,[ 0.48520922 -0.1242636 ],[ 0.02893891 -0.12521644],[ 0.91007374 -0.12420879],354.0
30,30,,[ 0.48217242 -0.12428063],[ 0.06896817 -0.12521644],[ 0.90203516 -0.12419066],374.0
31,31,,[ 0.47907717 -0.12427209],[ 0.06896817 -0.12521644],[ 0.90269942 -0.12419066],349.0
32,32,,[ 0.47721287 -0.12426748],[ 0.03653465 -0.12520795],[ 0.90269942 -0.12419066],384.0
