,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49353242 -0.11825048],[ 0.20586945 -0.11902115],[ 0.81280391 -0.11793367],
1,1,,[ 0.49629268 -0.11809393],[ 0.20586945 -0.11900682],[ 0.81280391 -0.11794978],382.0
2,2,,[ 0.49731914 -0.11806668],[ 0.20586945 -0.11900487],[ 0.81280391 -0.11794318],373.0
3,3,,[ 0.49774367 -0.1180719 ],[ 0.20586945 -0.11898712],[ 0.81280391 -0.11794318],380.0
4,4,,[ 0.49917417 -0.11807199],[ 0.20586945 -0.11898424],[ 0.81457696 -0.11794318],388.0
5,5,,[ 0.49804866 -0.11806812],[ 0.19005432 -0.11902115],[ 0.81457696 -0.1179585 ],376.0
6,6,,[ 0.49526697 -0.11807001],[ 0.19005432 -0.11899629],[ 0.81457696 -0.1179665 ],389.0
7,7,,[ 0.49584732 -0.1180745 ],[ 0.19005432 -0.11899629],[ 0.81457696 -0.1179617 ],378.0
8,8,,[ 0.49250023 -0.11805967],[ 0.19005432 -0.11899842],[ 0.81457696 -0.11796687],384.0
9,9,,[ 0.49658941 -0.11806849],[ 0.19005432 -0.11902115],[ 0.81457696 -0.11796813],378.0
10,10,,[ 0.49688596 -0.11807791],[ 0.19005432 -0.11899629],[ 0.81457696 -0.11794978],385.0
11,11,,[ 0.49691926 -0.11806635],[ 0.20586945 -0.11902115],[ 0.81457696 -0.11796692],376.0
12,12,,[ 0.49476666 -0.11807266],[ 0.20538912 -0.11898016],[ 0.81457696 -0.11793367],366.0
13,13,,[ 0.49723924 -0.11808905],[ 0.20528831 -0.11900682],[ 0.81457696 -0.1179585 ],387.0
14,14,,[ 0.49614519 -0.11806042],[ 0.22025546 -0.11900682],[ 0.81280391 -0.1179665 ],365.0
15,15,,[ 0.4983411  -0.11804955],[ 0.21864252 -0.11899842],[ 0.81280391 -0.1179537 ],390.0
16,16,,[ 0.50221641 -0.1180635 ],[ 0.21864252 -0.11900487],[ 0.81280391 -0.11793367],371.0
17,17,,[ 0.49928568 -0.11805533],[ 0.21864252 -0.11898337],[ 0.77851704 -0.11793367],375.0
18,18,,[ 0.50122209 -0.11806487],[ 0.22025546 -0.11899842],[ 0.78734078 -0.1179585 ],368.0
19,19,,[ 0.49782691 -0.11806502],[ 0.22202851 -0.11899629],[ 0.78734078 -0.1179665 ],390.0
20,20,,[ 0.49906145 -0.11806315],[ 0.22148296 -0.11902115],[ 0.78734078 -0.11793367],387.0
21,21,,[ 0.49876304 -0.1180722 ],[ 0.22148296 -0.11898523],[ 0.78176072 -0.11793367],379.0
22,22,,[ 0.4999049  -0.11807189],[ 0.21686947 -0.11899629],[ 0.78176072 -0.1179537 ],388.0
23,23,,[ 0.50077048 -0.11807825],[ 0.21676866 -0.11899629],[ 0.78176072 -0.11796656],375.0
24,24,,[ 0.49999265 -0.11807758],[ 0.21666785 -0.11898897],[ 0.78209872 -0.1179585 ],370.0
25,25,,[ 0.4965101  -0.11806722],[ 0.21549966 -0.11900487],[ 0.78209872 -0.1179585 ],400.0
26,26,,[ 0.50155223 -0.11806437],[ 0.21549966 -0.118983  ],[ 0.78490358 -0.11793367],402.0
27,27,,[ 0.50145854 -0.11805938],[ 0.21549966 -0.11897369],[ 0.81280391 -0.11793367],360.0
28,28,,[ 0.50023462 -0.1180718 ],[ 0.21549966 -0.11899629],[ 0.81280391 -0.11793367],383.0
29,29,,[ 0.50318645 -0.1180804 ],[ 0.21549966 -0.11899842],[ 0.81280391 -0.11796496],360.0
30,30,,[ 0.50501737 -0.11807568],[ 0.21549966 -0.11900682],[ 0.80051709 -0.11794318],372.0
31,31,,[ 0.51247526 -0.11806969],[ 0.21686947 -0.11898523],[ 0.80051709 -0.11793367],400.0
32,32,,[ 0.51023236 -0.11805627],[ 0.19958372 -0.11902115],[ 0.78500439 -0.11797492],375.0
33,33,,[ 0.51080354 -0.11806009],[ 0.21620532 -0.11900979],[ 0.78500439 -0.11793367],385.0
34,34,,[ 0.5137186  -0.11807804],[ 0.21620532 -0.11899004],[ 0.81103086 -0.11793367],404.0
35,35,,[ 0.51651832 -0.11805689],[ 0.22148296 -0.11902115],[ 0.78500439 -0.11794318],393.0
36,36,,[ 0.51004561 -0.11806801],[ 0.22015465 -0.11898523],[ 0.78490358 -0.11794318],373.0
37,37,,[ 0.51093427 -0.11806049],[ 0.22015465 -0.11898007],[ 0.78490358 -0.11796496],383.0
38,38,,[ 0.51361531 -0.118056  ],[ 0.22015465 -0.11898523],[ 0.78490358 -0.11796496],372.0
39,39,,[ 0.50787937 -0.11805762],[ 0.22015465 -0.11899842],[ 0.78176072 -0.1179585 ],381.0
40,40,,[ 0.50610886 -0.11807097],[ 0.22015465 -0.11899842],[ 0.77851704 -0.11795615],380.0
41,41,,[ 0.50581659 -0.11806265],[ 0.20308831 -0.11899842],[ 0.77851704 -0.11795615],379.0
42,42,,[ 0.50367251 -0.11807456],[ 0.20308831 -0.11900487],[ 0.77851704 -0.11794318],383.0
43,43,,[ 0.50641699 -0.11806198],[ 0.22148296 -0.11897369],[ 0.77851704 -0.1179585 ],377.0
44,44,,[ 0.50285231 -0.11806511],[ 0.18542304 -0.11902115],[ 0.78838445 -0.11793367],395.0
45,45,,[ 0.50213488 -0.11804812],[ 0.18542304 -0.11898007],[ 0.78838445 -0.11795615],385.0
46,46,,[ 0.5015335  -0.11806717],[ 0.21880856 -0.11902115],[ 0.78838445 -0.11793367],376.0
47,47,,[ 0.50725754 -0.1180512 ],[ 0.22158377 -0.11898016],[ 0.79172893 -0.11793367],381.0
48,48,,[ 0.50765986 -0.11806806],[ 0.22158377 -0.11900682],[ 0.79162812 -0.11796496],377.0
49,49,,[ 0.50694382 -0.11808161],[ 0.22148296 -0.11902115],[ 0.79162812 -0.11794978],378.0
50,50,,[ 0.50684201 -0.11805997],[ 0.22148296 -0.11898337],[ 0.7923575 -0.1179537],386.0
