,gen,evals,avg,min,max,nevals
0,0,500.0,[0.43184091 0.62411465],[0. 0.],[1. 1.],
1,1,,[0.46111364 0.60815287],[0. 0.],[1. 1.],361.0
2,2,,[0.48506818 0.59234395],[0. 0.],[1. 1.],377.0
3,3,,[0.50038636 0.59071338],[0. 0.],[1. 1.],369.0
4,4,,[0.50672727 0.59007643],[0. 0.],[1. 1.],381.0
5,5,,[0.51386364 0.58740127],[0. 0.],[1. 1.],373.0
6,6,,[0.51697727 0.58988535],[0. 0.],[1. 1.],383.0
7,7,,[0.52886364 0.58140127],[0. 0.],[1. 1.],373.0
8,8,,[0.54231818 0.57321019],[0. 0.],[1. 1.],392.0
9,9,,[0.5485     0.57286624],[0. 0.],[1. 1.],385.0
10,10,,[0.55620455 0.57648408],[0. 0.],[1. 1.],385.0
11,11,,[0.56693182 0.56536306],[0. 0.],[1. 1.],371.0
12,12,,[0.57302273 0.56838217],[0. 0.],[1. 1.],387.0
13,13,,[0.57202273 0.55966879],[0. 0.],[1. 1.],375.0
14,14,,[0.56565909 0.5583949 ],[0. 0.],[1. 1.],364.0
15,15,,[0.56888636 0.55206369],[0. 0.],[1. 1.],382.0
16,16,,[0.56447727 0.55787261],[0. 0.],[1. 1.],368.0
17,17,,[0.56177273 0.56216561],[0. 0.],[1. 1.],372.0
18,18,,[0.56727273 0.56349045],[0. 0.],[1. 1.],380.0
19,19,,[0.57345455 0.55456051],[0. 0.],[1. 1.],367.0
20,20,,[0.57215909 0.5489172 ],[0. 0.],[1. 1.],380.0
21,21,,[0.57506818 0.55105732],[0. 0.],[1. 1.],383.0
22,22,,[0.57611364 0.55774522],[0. 0.],[1. 1.],386.0
23,23,,[0.57486364 0.5626879 ],[0. 0.],[1. 1.],373.0
24,24,,[0.58293182 0.55214013],[0. 0.],[1. 1.],369.0
25,25,,[0.58120455 0.56210191],[0. 0.],[1. 1.],393.0
26,26,,[0.57995455 0.56312102],[0. 0.],[1. 1.],384.0
27,27,,[0.58009091 0.56980892],[0. 0.],[1. 1.],391.0
28,28,,[0.58277273 0.56864968],[0. 0.],[1. 1.],383.0
29,29,,[0.58172727 0.5682293 ],[0. 0.],[1. 1.],385.0
30,30,,[0.57984091 0.56791083],[0. 0.],[1. 1.],390.0
31,31,,[0.58681818 0.56150318],[0. 0.],[1. 1.],382.0
32,32,,[0.58675    0.56252229],[0. 0.],[1. 1.],375.0
33,33,,[0.58670455 0.56973248],[0. 0.],[1. 1.],374.0
34,34,,[0.58793182 0.57034395],[0. 0.],[1. 1.],373.0
35,35,,[0.58602273 0.57394904],[0. 0.],[1. 1.],383.0
36,36,,[0.58675    0.56820382],[0. 0.],[1. 1.],370.0
37,37,,[0.58947727 0.56710828],[0. 0.],[1. 1.],366.0
38,38,,[0.58997727 0.56224204],[0. 0.],[1. 1.],369.0
39,39,,[0.58938636 0.56628025],[0. 0.],[1. 1.],357.0
40,40,,[0.59163636 0.56161783],[0. 0.],[1. 1.],388.0
41,41,,[0.59072727 0.56206369],[0. 0.],[1. 1.],367.0
42,42,,[0.58395455 0.56617834],[0. 0.],[1. 1.],353.0
43,43,,[0.58604545 0.57343949],[0. 0.],[1. 1.],374.0
44,44,,[0.58531818 0.5686242 ],[0. 0.],[1. 1.],400.0
45,45,,[0.58188636 0.56755414],[0. 0.],[1. 1.],387.0
46,46,,[0.58       0.57187261],[0. 0.],[1. 1.],383.0
47,47,,[0.57675    0.57770701],[0. 0.],[1. 1.],403.0
48,48,,[0.57704545 0.57766879],[0. 0.],[1. 1.],375.0
49,49,,[0.58006818 0.57152866],[0. 0.],[1. 1.],374.0
50,50,,[0.57675    0.56505732],[0. 0.],[1. 1.],397.0
