,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.51667594 -0.04914935],[ 0.2006109  -0.04959988],[ 0.73674812 -0.04889432],
1,1,,[ 0.52304793 -0.04901245],[ 0.22246241 -0.04959988],[ 0.76527256 -0.04890628],388.0
2,2,,[ 0.52497209 -0.0489841 ],[ 0.25737782 -0.04959988],[ 0.77979323 -0.04890985],379.0
3,3,,[ 0.52829173 -0.04898333],[ 0.25737782 -0.04958643],[ 0.77979323 -0.04890985],366.0
4,4,,[ 0.5270032  -0.04897613],[ 0.25737782 -0.04958643],[ 0.77979323 -0.04889735],369.0
5,5,,[ 0.52886908 -0.04897421],[ 0.24544173 -0.04956969],[ 0.77979323 -0.04891333],383.0
6,6,,[ 0.53169248 -0.04897261],[ 0.24544173 -0.0495709 ],[ 0.77979323 -0.04890493],386.0
7,7,,[ 0.53469897 -0.04899037],[ 0.24718045 -0.04955999],[ 0.77979323 -0.04890493],375.0
8,8,,[ 0.53244051 -0.04898897],[ 0.25737782 -0.04957381],[ 0.77979323 -0.04891203],370.0
9,9,,[ 0.53597199 -0.04897654],[ 0.2806391  -0.04957381],[ 0.77979323 -0.04891292],395.0
10,10,,[ 0.53532538 -0.04898033],[ 0.26470865 -0.04957204],[ 0.77979323 -0.04890128],382.0
11,11,,[ 0.53842209 -0.04898771],[ 0.24365602 -0.04954901],[ 0.80625    -0.04891419],381.0
12,12,,[ 0.5378281  -0.04898364],[ 0.2531015  -0.04957871],[ 0.7600094  -0.04890493],370.0
13,13,,[ 0.53839652 -0.04897801],[ 0.27222744 -0.04959988],[ 0.7600094  -0.04890493],370.0
14,14,,[ 0.54005    -0.04898117],[ 0.2924812  -0.04959988],[ 0.77979323 -0.04890981],391.0
15,15,,[ 0.54336269 -0.04898695],[ 0.26743421 -0.04957381],[ 0.77979323 -0.04890981],364.0
16,16,,[ 0.54169897 -0.04897793],[ 0.26743421 -0.0495709 ],[ 0.77979323 -0.04890803],371.0
17,17,,[ 0.54336071 -0.04897807],[ 0.2468515  -0.04957381],[ 0.76940789 -0.04891292],379.0
18,18,,[ 0.5415594  -0.04897827],[ 0.22020677 -0.04957381],[ 0.77993421 -0.0489181 ],371.0
19,19,,[ 0.54400085 -0.04897649],[ 0.22020677 -0.04958643],[ 0.8143797  -0.04890493],372.0
20,20,,[ 0.54249962 -0.04897974],[ 0.22020677 -0.04958643],[ 0.8143797  -0.04889432],373.0
21,21,,[ 0.54042979 -0.04898024],[ 0.22020677 -0.04958643],[ 0.8143797  -0.04891423],376.0
22,22,,[ 0.54147096 -0.04899183],[ 0.22020677 -0.04958643],[ 0.8143797  -0.04890803],361.0
23,23,,[ 0.54337594 -0.04898361],[ 0.26296992 -0.04958643],[ 0.77979323 -0.04890985],402.0
24,24,,[ 0.54522406 -0.04898263],[ 0.26743421 -0.04958643],[ 0.78679511 -0.04890128],376.0
25,25,,[ 0.54391006 -0.04897329],[ 0.26743421 -0.04956633],[ 0.78679511 -0.04890128],375.0
26,26,,[ 0.54192538 -0.04898017],[ 0.28482143 -0.04957469],[ 0.78679511 -0.0489159 ],379.0
27,27,,[ 0.53947002 -0.04897425],[ 0.22579887 -0.04957469],[ 0.77979323 -0.04889432],368.0
28,28,,[ 0.53864586 -0.04898311],[ 0.22579887 -0.04957871],[ 0.77979323 -0.04889432],399.0
29,29,,[ 0.54298167 -0.04898083],[ 0.22579887 -0.04957871],[ 0.77979323 -0.04890128],373.0
30,30,,[ 0.54272782 -0.04900278],[ 0.25625    -0.04959988],[ 0.77979323 -0.04889735],367.0
31,31,,[ 0.54434652 -0.04898966],[ 0.25625    -0.04957204],[ 0.8143797  -0.04890406],393.0
