,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49539047 -0.31714756],[ 0.17321331 -0.33512878],[ 0.79541735 -0.30136548],
1,1,,[ 0.49994636 -0.32328111],[ 0.21473469 -0.33512878],[ 0.79541735 -0.30226828],377.0
2,2,,[ 0.50055893 -0.32479668],[ 0.21473469 -0.33512878],[ 0.79541735 -0.30310019],393.0
3,3,,[ 0.49947838 -0.32539814],[ 0.17321331 -0.33512878],[ 0.79541735 -0.30136548],388.0
4,4,,[ 0.50132541 -0.32503915],[ 0.21473469 -0.32987405],[ 0.79541735 -0.30339988],384.0
5,5,,[ 0.50386901 -0.32520599],[ 0.21473469 -0.33244553],[ 0.79541735 -0.30339988],361.0
6,6,,[ 0.50351921 -0.32529129],[ 0.17321331 -0.33088771],[ 0.79541735 -0.30274263],368.0
7,7,,[ 0.50631068 -0.32506194],[ 0.21473469 -0.33088771],[ 0.79698878 -0.30536004],376.0
8,8,,[ 0.50412005 -0.32524992],[ 0.20697834 -0.32692488],[ 0.79698878 -0.30226828],377.0
9,9,,[ 0.50883772 -0.32522468],[ 0.20697834 -0.3272915 ],[ 0.79698878 -0.30246148],378.0
10,10,,[ 0.50797476 -0.32525036],[ 0.20693683 -0.32806897],[ 0.79698878 -0.30756455],394.0
11,11,,[ 0.50681135 -0.32531753],[ 0.18159231 -0.33244553],[ 0.79698878 -0.30339988],363.0
12,12,,[ 0.50522117 -0.32551934],[ 0.18159231 -0.33222449],[ 0.79698878 -0.30678606],380.0
13,13,,[ 0.50226759 -0.32504918],[ 0.18159231 -0.32987405],[ 0.79698878 -0.30339988],393.0
14,14,,[ 0.50375662 -0.32506393],[ 0.18159231 -0.33108949],[ 0.79698878 -0.30136548],387.0
15,15,,[ 0.50110025 -0.32502656],[ 0.18159231 -0.32692488],[ 0.79698878 -0.30246148],381.0
16,16,,[ 0.50016465 -0.32544218],[ 0.18159231 -0.32755436],[ 0.79698878 -0.30310019],385.0
17,17,,[ 0.49854501 -0.32514458],[ 0.18159231 -0.33244553],[ 0.79698878 -0.30526345],392.0
18,18,,[ 0.49827131 -0.32492815],[ 0.18159231 -0.33512878],[ 0.79698878 -0.30339988],389.0
19,19,,[ 0.49564825 -0.32517484],[ 0.18159231 -0.33512878],[ 0.79698878 -0.30136548],364.0
20,20,,[ 0.49913182 -0.32507745],[ 0.18159231 -0.32838953],[ 0.79698878 -0.30136548],383.0
21,21,,[ 0.50156038 -0.32509176],[ 0.19273465 -0.33222449],[ 0.79541735 -0.30454914],375.0
22,22,,[ 0.49814505 -0.32517603],[ 0.19273465 -0.33244553],[ 0.79541735 -0.30536004],376.0
23,23,,[ 0.4955628  -0.32525521],[ 0.19273465 -0.33222449],[ 0.78814725 -0.30246148],371.0
24,24,,[ 0.49867575 -0.32533202],[ 0.19273465 -0.32836538],[ 0.78814725 -0.30136548],364.0
25,25,,[ 0.50421676 -0.32532923],[ 0.19273465 -0.32692488],[ 0.78814725 -0.30274263],402.0
26,26,,[ 0.50069213 -0.32499794],[ 0.19273465 -0.32692488],[ 0.78657582 -0.30454914],367.0
27,27,,[ 0.50329184 -0.3250589 ],[ 0.19273465 -0.32692488],[ 0.78657582 -0.30310019],353.0
28,28,,[ 0.49804426 -0.32515787],[ 0.19273465 -0.33088771],[ 0.78657582 -0.30488504],380.0
29,29,,[ 0.49552298 -0.32516912],[ 0.19273465 -0.33088771],[ 0.78657582 -0.30454914],375.0
30,30,,[ 0.49353049 -0.32549922],[ 0.19273465 -0.33088771],[ 0.78657582 -0.30563314],377.0
31,31,,[ 0.49552779 -0.32518642],[ 0.19273465 -0.33088771],[ 0.78814725 -0.30526345],374.0
32,32,,[ 0.497908   -0.32527824],[ 0.19273465 -0.33088771],[ 0.78931545 -0.30136548],378.0
33,33,,[ 0.49166835 -0.32517697],[ 0.19273465 -0.33088771],[ 0.78969496 -0.30526345],372.0
34,34,,[ 0.49065338 -0.32499591],[ 0.2136258  -0.32838953],[ 0.79747503 -0.30578078],384.0
35,35,,[ 0.49069919 -0.3252263 ],[ 0.17321331 -0.33108949],[ 0.805433   -0.30488504],360.0
36,36,,[ 0.49123739 -0.32512867],[ 0.17321331 -0.32987405],[ 0.805433   -0.30590839],375.0
37,37,,[ 0.49377499 -0.32513773],[ 0.17321331 -0.33222449],[ 0.79747503 -0.30310019],388.0
38,38,,[ 0.49617773 -0.32463817],[ 0.17321331 -0.33222449],[ 0.79747503 -0.30246148],377.0
39,39,,[ 0.4975156  -0.32492531],[ 0.17321331 -0.33222449],[ 0.79747503 -0.30339988],369.0
40,40,,[ 0.4998341  -0.32496879],[ 0.17321331 -0.33222449],[ 0.79904647 -0.30339988],391.0
41,41,,[ 0.49703511 -0.32500871],[ 0.17321331 -0.33088771],[ 0.79904647 -0.30339988],382.0
42,42,,[ 0.49430257 -0.32493116],[ 0.17321331 -0.32694923],[ 0.79904647 -0.30246148],401.0
43,43,,[ 0.49593955 -0.32523956],[ 0.20681824 -0.33222449],[ 0.79904647 -0.30657772],388.0
44,44,,[ 0.49748381 -0.32505903],[ 0.20301122 -0.33512878],[ 0.79904647 -0.30310019],381.0
45,45,,[ 0.49911645 -0.32526442],[ 0.20301122 -0.33222449],[ 0.79747503 -0.30855415],378.0
46,46,,[ 0.50078398 -0.32499866],[ 0.20301122 -0.33244553],[ 0.79747503 -0.30136548],381.0
47,47,,[ 0.49845483 -0.32518541],[ 0.20301122 -0.32984622],[ 0.78891221 -0.30454914],391.0
48,48,,[ 0.49524992 -0.32504608],[ 0.17321331 -0.32692488],[ 0.78891221 -0.30339988],359.0
49,49,,[ 0.49736514 -0.32471143],[ 0.17321331 -0.32692488],[ 0.78480277 -0.30578078],368.0
50,50,,[ 0.4980765 -0.3249169],[ 0.17321331 -0.33222449],[ 0.78834887 -0.30578078],378.0
