,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49275218 -0.31819734],[ 0.04529526 -0.34032141],[ 0.9250438  -0.29634142],
1,1,,[ 0.49766482 -0.3104898 ],[ 0.04529526 -0.34032141],[ 0.90603038 -0.30093711],365.0
2,2,,[ 0.49288268 -0.30829556],[ 0.04529526 -0.33449729],[ 0.90076439 -0.29974459],370.0
3,3,,[ 0.4957358  -0.30786669],[ 0.05522075 -0.33423949],[ 0.93197528 -0.30526062],367.0
4,4,,[ 0.49419381 -0.30797049],[ 0.08205133 -0.33570507],[ 0.93197528 -0.29634142],378.0
5,5,,[ 0.4973904  -0.30804668],[ 0.08205133 -0.33589651],[ 0.93197528 -0.29974459],384.0
6,6,,[ 0.49658382 -0.308135  ],[ 0.08205133 -0.33581304],[ 0.92759497 -0.30196198],359.0
7,7,,[ 0.49027655 -0.30798846],[ 0.06758188 -0.33570507],[ 0.9250438  -0.30490047],389.0
8,8,,[ 0.49124503 -0.30815154],[ 0.08205133 -0.33219686],[ 0.91966228 -0.29974459],379.0
9,9,,[ 0.49194832 -0.30807579],[ 0.08205133 -0.33581304],[ 0.95215357 -0.30490047],389.0
10,10,,[ 0.48922254 -0.30810973],[ 0.04690298 -0.33581304],[ 0.95215357 -0.30490047],367.0
11,11,,[ 0.49199238 -0.30834766],[ 0.08582513 -0.33627945],[ 0.95215357 -0.29974459],392.0
12,12,,[ 0.48836985 -0.3084012 ],[ 0.06259507 -0.33259281],[ 0.95215357 -0.29974459],362.0
13,13,,[ 0.48908243 -0.30825474],[ 0.06259507 -0.3354425 ],[ 0.95215357 -0.30093711],375.0
14,14,,[ 0.48998594 -0.3084039 ],[ 0.06259507 -0.3354425 ],[ 0.91196064 -0.30093711],378.0
15,15,,[ 0.49295572 -0.30800571],[ 0.06259507 -0.33627945],[ 0.91794867 -0.29974459],367.0
16,16,,[ 0.49090049 -0.30836732],[ 0.05821476 -0.33627945],[ 0.91794867 -0.29974459],378.0
17,17,,[ 0.49518162 -0.30827708],[ 0.05821476 -0.33570507],[ 0.91999923 -0.29974459],383.0
18,18,,[ 0.49755881 -0.30824283],[ 0.05821476 -0.34032141],[ 0.91999923 -0.30093711],374.0
19,19,,[ 0.50221994 -0.30797276],[ 0.05821476 -0.3354425 ],[ 0.91839151 -0.30055483],403.0
20,20,,[ 0.50047282 -0.30851974],[ 0.05821476 -0.34032141],[ 0.89693282 -0.30055483],389.0
21,21,,[ 0.50556037 -0.30830884],[ 0.05821476 -0.33589651],[ 0.93862757 -0.29634142],394.0
22,22,,[ 0.50534024 -0.30840933],[ 0.05821476 -0.34032141],[ 0.89693282 -0.30093711],367.0
23,23,,[ 0.50597778 -0.30799462],[ 0.05172613 -0.34032141],[ 0.93679843 -0.30366443],366.0
24,24,,[ 0.49847454 -0.30831037],[ 0.05172613 -0.33219686],[ 0.9264301  -0.30196198],384.0
