,gen,evals,avg,min,max,nevals
0,0,500.0,[0.46484091 0.61352866],[0. 0.],[1. 1.],
1,1,,[0.47836364 0.60785987],[0. 0.],[1. 1.],385.0
2,2,,[0.49868182 0.59773248],[0. 0.],[1. 1.],367.0
3,3,,[0.51402273 0.58467516],[0. 0.],[1. 1.],386.0
4,4,,[0.52047727 0.57821656],[0. 0.],[1. 1.],398.0
5,5,,[0.52836364 0.57614013],[0. 0.],[1. 1.],380.0
6,6,,[0.53697727 0.57552866],[0. 0.],[1. 1.],380.0
7,7,,[0.54554545 0.57969427],[0. 0.],[1. 1.],369.0
8,8,,[0.55290909 0.57107006],[0. 0.],[1. 1.],381.0
9,9,,[0.55415909 0.57345223],[0. 0.],[1. 1.],383.0
10,10,,[0.55609091 0.57217834],[0. 0.],[0.97727273 1.        ],383.0
11,11,,[0.56209091 0.56858599],[0. 0.],[0.97727273 1.        ],383.0
12,12,,[0.56968182 0.56499363],[0. 0.],[1. 1.],386.0
13,13,,[0.57227273 0.56005096],[0. 0.],[1. 1.],379.0
14,14,,[0.57372727 0.56359236],[0. 0.],[1. 1.],377.0
15,15,,[0.578      0.55351592],[0. 0.],[1. 1.],380.0
16,16,,[0.57956818 0.55261146],[0. 0.],[0.97727273 1.        ],375.0
17,17,,[0.58015909 0.54700637],[0. 0.],[0.93181818 1.        ],379.0
18,18,,[0.58193182 0.5493121 ],[0. 0.],[1. 1.],384.0
19,19,,[0.58004545 0.55517197],[0.         0.01273885],[0.95454545 1.        ],374.0
20,20,,[0.58288636 0.55149045],[0. 0.],[0.94318182 1.        ],370.0
21,21,,[0.57761364 0.55396178],[0. 0.],[1. 1.],398.0
22,22,,[0.58195455 0.55712102],[0. 0.],[1. 1.],384.0
23,23,,[0.58593182 0.55510828],[0. 0.],[1. 1.],388.0
24,24,,[0.59009091 0.55110828],[0. 0.],[1. 1.],393.0
25,25,,[0.58972727 0.55684076],[0. 0.],[1. 1.],380.0
26,26,,[0.59186364 0.55426752],[0. 0.],[1. 1.],388.0
27,27,,[0.58861364 0.56113376],[0. 0.],[1. 1.],383.0
28,28,,[0.58829545 0.56597452],[0. 0.],[1. 1.],388.0
29,29,,[0.58504545 0.56820382],[0.         0.01910828],[0.96590909 1.        ],384.0
30,30,,[0.58384091 0.56459873],[0. 0.],[1. 1.],381.0
