,gen,evals,avg,min,max,nevals
0,0,500.0,[0.30616071 0.72926316],[0. 0.],[1. 1.],
1,1,,[0.31889286 0.71214737],[0. 0.],[1. 1.],394.0
2,2,,[0.34026786 0.69303158],[0. 0.],[1. 1.],378.0
3,3,,[0.37692857 0.66469474],[0. 0.],[1. 1.],382.0
4,4,,[0.39303571 0.64968421],[0. 0.],[1. 1.],390.0
5,5,,[0.41975    0.62585263],[0. 0.],[1. 1.],359.0
6,6,,[0.42621429 0.62978947],[0. 0.],[1. 1.],377.0
7,7,,[0.42958929 0.63069474],[0. 0.],[1. 1.],378.0
8,8,,[0.44310714 0.61964211],[0. 0.],[1. 1.],378.0
9,9,,[0.43855357 0.62345263],[0. 0.],[1. 1.],379.0
10,10,,[0.46571429 0.60223158],[0. 0.],[1. 1.],364.0
11,11,,[0.46405357 0.60475789],[0. 0.],[1. 1.],373.0
12,12,,[0.47121429 0.58987368],[0. 0.],[1. 1.],398.0
13,13,,[0.49130357 0.56831579],[0. 0.],[1. 1.],377.0
14,14,,[0.482875   0.58033684],[0. 0.],[1. 1.],374.0
15,15,,[0.48783929 0.58277895],[0. 0.],[1. 1.],374.0
16,16,,[0.493      0.57669474],[0. 0.],[1. 1.],387.0
17,17,,[0.49353571 0.57374737],[0. 0.],[1. 1.],347.0
18,18,,[0.49689286 0.57054737],[0. 0.],[1. 1.],380.0
19,19,,[0.48742857 0.58583158],[0. 0.],[1. 1.],397.0
20,20,,[0.50494643 0.56608421],[0. 0.],[1. 1.],361.0
21,21,,[0.50975    0.55941053],[0. 0.],[1. 1.],359.0
22,22,,[0.501625   0.57221053],[0. 0.],[1. 1.],379.0
23,23,,[0.49392857 0.58456842],[0. 0.],[1. 1.],390.0
24,24,,[0.51266071 0.56452632],[0. 0.],[1. 1.],368.0
25,25,,[0.50442857 0.57370526],[0. 0.],[1. 1.],391.0
26,26,,[0.49853571 0.57273684],[0. 0.],[1. 1.],394.0
27,27,,[0.506625   0.56764211],[0. 0.],[1. 1.],373.0
28,28,,[0.50326786 0.57435789],[0. 0.],[1. 1.],383.0
29,29,,[0.49546429 0.58381053],[0. 0.],[1. 1.],375.0
30,30,,[0.490875   0.58966316],[0. 0.],[1. 1.],391.0
31,31,,[0.48369643 0.59713684],[0. 0.],[1. 1.],396.0
32,32,,[0.48705357 0.58677895],[0. 0.],[1. 1.],387.0
33,33,,[0.47303571 0.60126316],[0. 0.],[1. 1.],373.0
34,34,,[0.48596429 0.59002105],[0. 0.],[1. 1.],368.0
35,35,,[0.48751786 0.58444211],[0. 0.],[1. 1.],401.0
36,36,,[0.48535714 0.58610526],[0. 0.],[1. 1.],359.0
37,37,,[0.49317857 0.57808421],[0. 0.],[1. 1.],382.0
38,38,,[0.49851786 0.57766316],[0. 0.],[1. 1.],403.0
39,39,,[0.50021429 0.57585263],[0. 0.],[1. 1.],399.0
40,40,,[0.48351786 0.58930526],[0. 0.],[1. 1.],391.0
41,41,,[0.49376786 0.58212632],[0. 0.],[1. 1.],392.0
42,42,,[0.47878571 0.58934737],[0. 0.],[1. 1.],388.0
43,43,,[0.47946429 0.59932632],[0. 0.],[1. 1.],366.0
44,44,,[0.48975    0.59484211],[0. 0.],[1. 1.],386.0
45,45,,[0.488125   0.59578947],[0. 0.],[1. 1.],376.0
46,46,,[0.478125   0.60669474],[0. 0.],[1. 1.],377.0
47,47,,[0.47017857 0.61246316],[0. 0.],[1. 1.],363.0
48,48,,[0.47094643 0.60913684],[0. 0.],[1. 1.],375.0
49,49,,[0.48192857 0.60031579],[0. 0.],[1. 1.],389.0
50,50,,[0.48742857 0.59945263],[0. 0.],[1. 1.],367.0
