,gen,evals,avg,min,max,nevals
0,0,500.0,[0.37651786 0.66477895],[0. 0.],[1. 1.],
1,1,,[0.39333929 0.6548    ],[0. 0.],[1. 1.],361.0
2,2,,[0.417875   0.62267368],[0. 0.],[1. 1.],374.0
3,3,,[0.41582143 0.62463158],[0. 0.],[1. 1.],391.0
4,4,,[0.43160714 0.61313684],[0. 0.],[1. 1.],378.0
5,5,,[0.44467857 0.60061053],[0. 0.],[1. 1.],388.0
6,6,,[0.46833929 0.58429474],[0. 0.],[1. 1.],383.0
7,7,,[0.49058929 0.57048421],[0. 0.],[1. 1.],397.0
8,8,,[0.49441071 0.56949474],[0. 0.],[1. 1.],378.0
9,9,,[0.50016071 0.55915789],[0. 0.],[1. 1.],385.0
10,10,,[0.49489286 0.56178947],[0. 0.],[1. 1.],362.0
11,11,,[0.502375 0.5568  ],[0. 0.],[1. 1.],380.0
12,12,,[0.52707143 0.536     ],[0. 0.],[1. 1.],395.0
13,13,,[0.51575 0.5408 ],[0. 0.],[1. 1.],368.0
14,14,,[0.53919643 0.52764211],[0. 0.],[1. 1.],403.0
15,15,,[0.53648214 0.53252632],[0. 0.],[1. 1.],385.0
16,16,,[0.53544643 0.53189474],[0. 0.],[1. 1.],378.0
17,17,,[0.52989286 0.53863158],[0. 0.],[1. 1.],378.0
18,18,,[0.52785714 0.54014737],[0. 0.],[1. 1.],364.0
19,19,,[0.52519643 0.54429474],[0. 0.],[1. 1.],389.0
20,20,,[0.53282143 0.54037895],[0. 0.],[1. 1.],375.0
21,21,,[0.52716071 0.54404211],[0. 0.],[1. 1.],367.0
22,22,,[0.52783929 0.54349474],[0. 0.],[1. 1.],342.0
23,23,,[0.52598214 0.54082105],[0. 0.],[1. 1.],378.0
24,24,,[0.52694643 0.53907368],[0. 0.],[1. 1.],364.0
25,25,,[0.51830357 0.54787368],[0. 0.],[1. 1.],383.0
26,26,,[0.51608929 0.55052632],[0. 0.],[1. 1.],395.0
27,27,,[0.49796429 0.56656842],[0. 0.],[1. 1.],364.0
28,28,,[0.50194643 0.56945263],[0. 0.],[1. 1.],394.0
29,29,,[0.50175    0.56488421],[0. 0.],[1. 1.],379.0
30,30,,[0.50266071 0.56442105],[0. 0.],[1. 1.],375.0
31,31,,[0.49982143 0.57069474],[0. 0.],[1. 1.],368.0
32,32,,[0.49758929 0.56730526],[0. 0.],[1. 1.],392.0
33,33,,[0.51142857 0.55981053],[0. 0.],[1. 1.],378.0
34,34,,[0.503      0.56391579],[0. 0.],[1. 1.],385.0
35,35,,[0.49771429 0.57157895],[0. 0.],[1. 1.],381.0
36,36,,[0.51191071 0.56216842],[0. 0.],[1. 1.],389.0
37,37,,[0.51633929 0.56157895],[0. 0.],[1. 1.],367.0
38,38,,[0.51983929 0.55772632],[0. 0.],[1. 1.],363.0
39,39,,[0.507625   0.56785263],[0. 0.],[1. 1.],367.0
40,40,,[0.49183929 0.57509474],[0. 0.],[1. 1.],384.0
41,41,,[0.50069643 0.57301053],[0. 0.],[1. 1.],382.0
42,42,,[0.508      0.57273684],[0. 0.],[1. 1.],383.0
43,43,,[0.50133929 0.57082105],[0. 0.],[1. 1.],376.0
44,44,,[0.4975     0.57406316],[0. 0.],[1. 1.],387.0
45,45,,[0.49208929 0.57553684],[0. 0.],[1. 1.],377.0
46,46,,[0.488875   0.57191579],[0. 0.],[1. 1.],389.0
47,47,,[0.48348214 0.56707368],[0. 0.],[1. 1.],381.0
48,48,,[0.48601786 0.57178947],[0. 0.],[1. 1.],359.0
49,49,,[0.47951786 0.56656842],[0. 0.],[1. 1.],380.0
50,50,,[0.46832143 0.58408421],[0. 0.],[1. 1.],371.0
