training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,0,724.5595180988312,0.8089500860585198,0.8971631205673759,0.725752508361204,217,82,29,253
False,0,724.5595180988312,0.751004016064257,0.8181818181818182,0.6875,88,40,22,99
True,169,841.560426235199,0.8003442340791739,0.9078014184397163,0.6989966555183946,209,90,26,256
False,169,841.560426235199,0.7670682730923695,0.8429752066115702,0.6953125,89,39,19,102
True,338,800.6334073543549,0.7951807228915663,0.8262411347517731,0.7658862876254181,229,70,49,233
False,338,800.6334073543549,0.7951807228915663,0.8429752066115702,0.75,96,32,19,102
True,507,845.9211316108704,0.7969018932874354,0.8652482269503546,0.7324414715719063,219,80,38,244
False,507,845.9211316108704,0.7831325301204819,0.8512396694214877,0.71875,92,36,18,103
True,676,853.2737264633179,0.7865748709122203,0.875886524822695,0.7023411371237458,210,89,35,247
False,676,853.2737264633179,0.8152610441767069,0.9090909090909091,0.7265625,93,35,11,110
True,845,818.7707893848419,0.7917383820998278,0.8404255319148937,0.745819397993311,223,76,45,237
False,845,818.7707893848419,0.7871485943775101,0.8099173553719008,0.765625,98,30,23,98
True,1014,793.7686941623688,0.8089500860585198,0.8794326241134752,0.7424749163879598,222,77,34,248
False,1014,793.7686941623688,0.7751004016064257,0.859504132231405,0.6953125,89,39,17,104
True,1183,814.0970990657806,0.7951807228915663,0.9113475177304965,0.68561872909699,205,94,25,257
False,1183,814.0970990657806,0.7550200803212851,0.8842975206611571,0.6328125,81,47,14,107
True,1352,764.4464960098267,0.8072289156626506,0.8368794326241135,0.7792642140468228,233,66,46,236
False,1352,764.4464960098267,0.7670682730923695,0.8181818181818182,0.71875,92,36,22,99
True,1521,907.9752917289734,0.8072289156626506,0.8687943262411347,0.7491638795986622,224,75,37,245
False,1521,907.9752917289734,0.8232931726907631,0.8512396694214877,0.796875,102,26,18,103
True,1690,796.2423613071442,0.8037865748709122,0.8652482269503546,0.745819397993311,223,76,38,244
False,1690,796.2423613071442,0.7791164658634538,0.8181818181818182,0.7421875,95,33,22,99
True,1859,962.1188628673553,0.8003442340791739,0.8971631205673759,0.7090301003344481,212,87,29,253
False,1859,962.1188628673553,0.7791164658634538,0.859504132231405,0.703125,90,38,17,104
True,2028,729.940416097641,0.810671256454389,0.8333333333333334,0.7892976588628763,236,63,47,235
False,2028,729.940416097641,0.7951807228915663,0.8677685950413223,0.7265625,93,35,16,105
True,2197,717.3689987659454,0.8072289156626506,0.900709219858156,0.7190635451505016,215,84,28,254
False,2197,717.3689987659454,0.7871485943775101,0.9008264462809917,0.6796875,87,41,12,109
True,2366,744.441388130188,0.8089500860585198,0.9042553191489362,0.7190635451505016,215,84,27,255
False,2366,744.441388130188,0.7871485943775101,0.8760330578512396,0.703125,90,38,15,106
True,2535,836.0379958152771,0.8209982788296041,0.900709219858156,0.745819397993311,223,76,28,254
False,2535,836.0379958152771,0.7831325301204819,0.8347107438016529,0.734375,94,34,20,101
True,2704,859.4136970043182,0.8003442340791739,0.9042553191489362,0.7023411371237458,210,89,27,255
False,2704,859.4136970043182,0.7590361445783133,0.8925619834710744,0.6328125,81,47,13,108
True,2873,857.2578558921814,0.8003442340791739,0.8120567375886525,0.7892976588628763,236,63,53,229
False,2873,857.2578558921814,0.8152610441767069,0.8016528925619835,0.828125,106,22,24,97
True,3042,904.4601898193359,0.8037865748709122,0.8368794326241135,0.7725752508361204,231,68,46,236
False,3042,904.4601898193359,0.7911646586345381,0.8429752066115702,0.7421875,95,33,19,102
True,3211,919.8451056480408,0.8055077452667814,0.8865248226950354,0.7290969899665551,218,81,32,250
False,3211,919.8451056480408,0.7831325301204819,0.9338842975206612,0.640625,82,46,8,113
True,3380,726.159407377243,0.7865748709122203,0.9042553191489362,0.6755852842809364,202,97,27,255
False,3380,726.159407377243,0.7911646586345381,0.9090909090909091,0.6796875,87,41,11,110
True,3549,832.8266694545746,0.802065404475043,0.6985815602836879,0.8996655518394648,269,30,85,197
False,3549,832.8266694545746,0.8313253012048193,0.7355371900826446,0.921875,118,10,32,89
True,3718,829.7946965694427,0.8123924268502581,0.8971631205673759,0.7324414715719063,219,80,29,253
False,3718,829.7946965694427,0.7871485943775101,0.8842975206611571,0.6953125,89,39,14,107
True,3887,692.5168685913086,0.7865748709122203,0.8546099290780141,0.7224080267558528,216,83,41,241
False,3887,692.5168685913086,0.7831325301204819,0.9256198347107438,0.6484375,83,45,9,112
True,4056,821.5177974700928,0.7814113597246127,0.8936170212765957,0.6755852842809364,202,97,30,252
False,4056,821.5177974700928,0.8112449799196787,0.9173553719008265,0.7109375,91,37,10,111
True,4225,837.9238584041595,0.8244406196213425,0.7198581560283688,0.9230769230769231,276,23,79,203
False,4225,837.9238584041595,0.8353413654618473,0.743801652892562,0.921875,118,10,31,90
True,4394,790.3721871376038,0.7951807228915663,0.9042553191489362,0.6923076923076923,207,92,27,255
False,4394,790.3721871376038,0.7429718875502008,0.8512396694214877,0.640625,82,46,18,103
True,4563,816.2845983505249,0.7951807228915663,0.8936170212765957,0.7023411371237458,210,89,30,252
False,4563,816.2845983505249,0.8112449799196787,0.8842975206611571,0.7421875,95,33,14,107
True,4732,732.1779582500458,0.8055077452667814,0.8936170212765957,0.7224080267558528,216,83,30,252
False,4732,732.1779582500458,0.7911646586345381,0.9173553719008265,0.671875,86,42,10,111
True,4901,793.6142477989197,0.8209982788296041,0.8687943262411347,0.7759197324414716,232,67,37,245
False,4901,793.6142477989197,0.7550200803212851,0.8016528925619835,0.7109375,91,37,24,97
