training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,0,762.060177564621,0.9707112970711297,0.9820359281437125,0.9646302250803859,300,11,3,164
False,0,762.060177564621,0.9658536585365853,0.9722222222222222,0.9624060150375939,128,5,2,70
True,169,751.7416551113129,0.9748953974895398,0.9940119760479041,0.9646302250803859,300,11,1,166
False,169,751.7416551113129,0.9219512195121952,0.9861111111111112,0.8872180451127819,118,15,1,71
True,338,722.9223086833954,0.9623430962343096,0.9940119760479041,0.9453376205787781,294,17,1,166
False,338,722.9223086833954,0.9560975609756097,0.9861111111111112,0.9398496240601504,125,8,1,71
True,507,693.1846058368683,0.9518828451882845,0.9700598802395209,0.9421221864951769,293,18,5,162
False,507,693.1846058368683,0.9707317073170731,1.0,0.9548872180451128,127,6,0,72
True,676,798.0943603515625,0.9644351464435147,0.9940119760479041,0.9485530546623794,295,16,1,166
False,676,798.0943603515625,0.9658536585365853,1.0,0.9473684210526315,126,7,0,72
True,845,922.8986673355103,0.9560669456066946,0.9640718562874252,0.9517684887459807,296,15,6,161
False,845,922.8986673355103,0.9853658536585366,0.9861111111111112,0.9849624060150376,131,2,1,71
True,1014,735.4409143924713,0.9560669456066946,0.9700598802395209,0.9485530546623794,295,16,5,162
False,1014,735.4409143924713,0.9560975609756097,0.9444444444444444,0.9624060150375939,128,5,4,68
True,1183,692.7184028625488,0.9686192468619247,0.9700598802395209,0.9678456591639871,301,10,5,162
False,1183,692.7184028625488,0.975609756097561,0.9861111111111112,0.9699248120300752,129,4,1,71
True,1352,789.0051574707031,0.9686192468619247,0.9461077844311377,0.9807073954983923,305,6,9,158
False,1352,789.0051574707031,0.9414634146341463,0.9166666666666666,0.9548872180451128,127,6,6,66
True,1521,833.204475402832,0.9497907949790795,0.9820359281437125,0.932475884244373,290,21,3,164
False,1521,833.204475402832,0.975609756097561,1.0,0.9624060150375939,128,5,0,72
True,1690,727.7287817001343,0.9581589958158996,0.9580838323353293,0.9581993569131833,298,13,7,160
False,1690,727.7287817001343,0.9804878048780488,0.9861111111111112,0.9774436090225563,130,3,1,71
True,1859,862.3004145622253,0.9497907949790795,0.9520958083832335,0.9485530546623794,295,16,8,159
False,1859,862.3004145622253,0.9707317073170731,0.9722222222222222,0.9699248120300752,129,4,2,70
True,2028,822.4257135391235,0.9623430962343096,0.9580838323353293,0.9646302250803859,300,11,7,160
False,2028,822.4257135391235,0.9463414634146341,0.9861111111111112,0.924812030075188,123,10,1,71
True,2197,786.7702634334564,0.9644351464435147,0.9700598802395209,0.9614147909967846,299,12,5,162
False,2197,786.7702634334564,0.975609756097561,0.9583333333333334,0.9849624060150376,131,2,3,69
True,2366,749.2384631633759,0.9644351464435147,0.9580838323353293,0.9678456591639871,301,10,7,160
False,2366,749.2384631633759,0.9317073170731708,0.875,0.9624060150375939,128,5,9,63
True,2535,655.0038480758667,0.9644351464435147,0.9880239520958084,0.9517684887459807,296,15,2,165
False,2535,655.0038480758667,0.9170731707317074,0.9583333333333334,0.8947368421052632,119,14,3,69
True,2704,724.7643899917603,0.9581589958158996,0.9640718562874252,0.954983922829582,297,14,6,161
False,2704,724.7643899917603,0.975609756097561,0.9861111111111112,0.9699248120300752,129,4,1,71
True,2873,809.4541184902191,0.9560669456066946,0.9580838323353293,0.954983922829582,297,14,7,160
False,2873,809.4541184902191,0.9414634146341463,1.0,0.9097744360902256,121,12,0,72
True,3042,802.6405563354492,0.9623430962343096,0.9640718562874252,0.9614147909967846,299,12,6,161
False,3042,802.6405563354492,0.9463414634146341,0.9583333333333334,0.9398496240601504,125,8,3,69
True,3211,702.5967206954956,0.9581589958158996,0.9700598802395209,0.9517684887459807,296,15,5,162
False,3211,702.5967206954956,0.9804878048780488,1.0,0.9699248120300752,129,4,0,72
True,3380,775.9796845912933,0.9560669456066946,0.9700598802395209,0.9485530546623794,295,16,5,162
False,3380,775.9796845912933,0.9609756097560975,0.9861111111111112,0.9473684210526315,126,7,1,71
True,3549,771.0971555709839,0.9623430962343096,0.9461077844311377,0.9710610932475884,302,9,9,158
False,3549,771.0971555709839,0.9609756097560975,0.9722222222222222,0.9548872180451128,127,6,2,70
True,3718,769.4774024486542,0.9581589958158996,0.9640718562874252,0.954983922829582,297,14,6,161
False,3718,769.4774024486542,0.975609756097561,0.9583333333333334,0.9849624060150376,131,2,3,69
True,3887,736.0536684989929,0.9686192468619247,0.9580838323353293,0.9742765273311897,303,8,7,160
False,3887,736.0536684989929,0.9414634146341463,0.8888888888888888,0.9699248120300752,129,4,8,64
True,4056,799.1795308589935,0.9769874476987448,0.9940119760479041,0.9678456591639871,301,10,1,166
False,4056,799.1795308589935,0.9512195121951219,0.9583333333333334,0.9473684210526315,126,7,3,69
True,4225,703.0593609809875,0.9728033472803347,0.9820359281437125,0.9678456591639871,301,10,3,164
False,4225,703.0593609809875,0.9317073170731708,0.9444444444444444,0.924812030075188,123,10,4,68
True,4394,713.7822904586792,0.9623430962343096,0.9760479041916168,0.954983922829582,297,14,4,163
False,4394,713.7822904586792,0.9609756097560975,0.9861111111111112,0.9473684210526315,126,7,1,71
True,4563,757.7344224452972,0.9769874476987448,0.9640718562874252,0.9839228295819936,306,5,6,161
False,4563,757.7344224452972,0.9414634146341463,0.9305555555555556,0.9473684210526315,126,7,5,67
True,4732,802.7354257106781,0.9707112970711297,0.9700598802395209,0.9710610932475884,302,9,5,162
False,4732,802.7354257106781,0.9414634146341463,0.9444444444444444,0.9398496240601504,125,8,4,68
True,4901,868.8441655635834,0.9748953974895398,0.9820359281437125,0.9710610932475884,302,9,3,164
False,4901,868.8441655635834,0.9609756097560975,0.9583333333333334,0.9624060150375939,128,5,3,69
